Wavelength (nm),Sum(calc),Nd I (3.8e-3),Nd II (8.9e-1)
530.113,9.797e+6,,9.797e+6
530.121,1.843e+7,,1.843e+7
530.129,3.312e+7,,3.312e+7
530.137,5.686e+7,,5.686e+7
530.145,9.329e+7,,9.329e+7
530.153,1.463e+8,,1.463e+8
530.161,2.191e+8,,2.191e+8
530.170,3.269e+8,,3.269e+8
530.178,4.445e+8,,4.445e+8
530.186,5.775e+8,,5.775e+8
530.194,7.169e+8,,7.169e+8
530.202,8.504e+8,,8.504e+8
530.210,9.638e+8,,9.638e+8
530.218,1.044e+9,,1.044e+9
530.226,1.080e+9,,1.080e+9
530.235,1.063e+9,,1.063e+9
530.243,9.983e+8,,9.983e+8
530.251,8.960e+8,,8.960e+8
530.259,7.684e+8,,7.684e+8
530.267,6.296e+8,,6.296e+8
530.275,4.930e+8,,4.930e+8
530.283,3.688e+8,,3.688e+8
530.291,2.636e+8,,2.636e+8
530.300,1.711e+8,,1.711e+8
530.308,1.110e+8,,1.110e+8
530.316,6.883e+7,,6.883e+7
530.324,4.077e+7,,4.077e+7
530.332,2.308e+7,,2.308e+7
530.340,1.248e+7,,1.248e+7
530.348,6.450e+6,,6.450e+6
530.357,2.907e+6,,2.907e+6
530.365,1.364e+6,,1.364e+6
530.373,6.112e+5,,6.112e+5
530.381,2.618e+5,,2.618e+5
530.389,1.071e+5,,1.071e+5
530.397,4.189e+4,,4.189e+4
530.405,1.565e+4,,1.565e+4
530.413,5.586e+3,,5.586e+3
530.422,1.660e+3,,1.660e+3
530.430,5.380e+2,,5.380e+2
530.438,1.666e+2,,1.666e+2
530.446,4.929e+1,,4.929e+1
530.454,1.393e+1,,1.393e+1
530.462,3.763e+0,,3.763e+0
530.470,9.713e-1,,9.713e-1
530.478,2.395e-1,,2.395e-1
530.487,4.695e-2,,4.695e-2
530.495,1.051e-2,,1.051e-2
530.503,2.248e-3,,2.248e-3
530.511,4.595e-4,,4.595e-4
530.519,8.972e-5,,8.972e-5
530.527,1.674e-5,,1.674e-5
530.535,2.985e-6,,2.985e-6
530.543,5.084e-7,,5.084e-7
530.820,4.745e-8,,4.745e-8
530.828,2.930e-7,,2.930e-7
530.836,1.729e-6,,1.729e-6
530.844,9.750e-6,,9.750e-6
530.852,5.255e-5,,5.255e-5
530.861,3.311e-4,,3.311e-4
530.869,1.620e-3,,1.620e-3
530.877,7.579e-3,,7.579e-3
530.885,3.387e-2,,3.387e-2
530.893,1.447e-1,,1.447e-1
530.901,5.905e-1,,5.905e-1
530.909,2.303e+0,,2.303e+0
530.917,8.586e+0,,8.586e+0
530.926,3.574e+1,,3.574e+1
530.934,1.210e+2,,1.210e+2
530.942,3.913e+2,,3.913e+2
530.950,1.210e+3,,1.210e+3
530.958,3.574e+3,,3.574e+3
530.966,1.009e+4,,1.009e+4
530.974,2.722e+4,,2.722e+4
530.982,7.018e+4,,7.018e+4
530.991,1.929e+5,,1.929e+5
530.999,4.518e+5,,4.518e+5
531.007,1.011e+6,,1.011e+6
531.015,2.161e+6,,2.161e+6
531.023,4.416e+6,,4.416e+6
531.031,8.624e+6,,8.624e+6
531.039,1.609e+7,,1.609e+7
531.047,2.870e+7,,2.870e+7
531.056,5.211e+7,,5.211e+7
531.064,8.440e+7,,8.440e+7
531.072,1.306e+8,,1.306e+8
531.080,1.932e+8,,1.932e+8
531.088,2.730e+8,,2.730e+8
531.096,3.687e+8,,3.687e+8
531.104,4.759e+8,,4.759e+8
531.113,6.008e+8,,6.008e+8
531.121,7.041e+8,,7.041e+8
531.129,7.887e+8,,7.887e+8
531.137,8.443e+8,,8.443e+8
531.145,8.636e+8,,8.636e+8
531.153,8.443e+8,,8.443e+8
531.161,7.887e+8,,7.887e+8
531.169,7.041e+8,,7.041e+8
531.178,5.871e+8,,5.871e+8
531.186,4.759e+8,,4.759e+8
531.194,3.687e+8,,3.687e+8
531.202,2.730e+8,,2.730e+8
531.210,1.932e+8,,1.932e+8
531.218,1.306e+8,,1.306e+8
531.226,8.440e+7,,8.440e+7
531.234,5.211e+7,,5.211e+7
531.243,2.870e+7,,2.870e+7
531.251,1.609e+7,,1.609e+7
531.259,8.624e+6,,8.624e+6
531.267,4.416e+6,,4.416e+6
531.275,2.161e+6,,2.161e+6
531.283,1.011e+6,,1.011e+6
531.291,4.518e+5,,4.518e+5
531.299,1.929e+5,,1.929e+5
531.308,7.018e+4,,7.018e+4
531.316,2.722e+4,,2.722e+4
531.324,1.009e+4,,1.009e+4
531.332,3.574e+3,,3.574e+3
531.340,1.210e+3,,1.210e+3
531.348,3.913e+2,,3.913e+2
531.356,1.210e+2,,1.210e+2
531.365,3.059e+1,,3.059e+1
531.373,8.586e+0,,8.586e+0
531.381,2.303e+0,,2.303e+0
531.389,5.905e-1,,5.905e-1
531.397,1.447e-1,,1.447e-1
531.405,3.387e-2,,3.387e-2
531.413,7.579e-3,,7.579e-3
531.421,1.620e-3,,1.620e-3
531.430,2.706e-4,,2.706e-4
531.438,5.255e-5,,5.255e-5
531.446,9.750e-6,,9.750e-6
531.454,1.729e-6,,1.729e-6
531.462,2.930e-7,,2.930e-7
531.657,1.984e-7,,1.984e-7
531.665,1.211e-6,,1.211e-6
531.673,7.068e-6,,7.068e-6
531.682,4.871e-5,,4.871e-5
531.690,2.582e-4,,2.582e-4
531.698,1.308e-3,,1.308e-3
531.706,6.334e-3,,6.334e-3
