Wavelength (nm),Sum(calc),Si I (1.1e-1),Si II (8.9e-1),Si III (7.3e-4)
199.976,1.281e-21,,,1.281e-21
199.981,3.171e-20,,,3.171e-20
199.986,6.929e-19,,,6.929e-19
199.991,1.336e-17,,,1.336e-17
199.996,2.275e-16,,,2.275e-16
200.001,3.417e-15,,,3.417e-15
200.006,4.531e-14,,,4.531e-14
200.011,5.303e-13,,,5.303e-13
200.016,5.478e-12,,,5.478e-12
200.021,4.994e-11,,,4.994e-11
200.026,4.018e-10,,,4.018e-10
200.031,2.854e-9,,,2.854e-9
200.036,1.789e-8,,,1.789e-8
200.041,9.898e-8,,,9.898e-8
200.046,4.833e-7,,,4.833e-7
200.051,2.083e-6,,,2.083e-6
200.056,7.924e-6,,,7.924e-6
200.061,2.661e-5,,,2.661e-5
200.066,7.884e-5,,,7.884e-5
200.071,2.062e-4,,,2.062e-4
200.076,4.761e-4,,,4.761e-4
200.081,9.700e-4,,,9.700e-4
200.086,1.744e-3,,,1.744e-3
200.091,2.769e-3,,,2.769e-3
200.096,3.879e-3,,,3.879e-3
200.101,4.796e-3,,,4.796e-3
200.106,5.234e-3,,,5.234e-3
200.111,5.042e-3,,,5.042e-3
200.116,4.286e-3,,,4.286e-3
200.121,3.216e-3,,,3.216e-3
200.126,2.130e-3,,,2.130e-3
200.131,1.245e-3,,,1.245e-3
200.136,6.424e-4,,,6.424e-4
200.141,2.925e-4,,,2.925e-4
200.146,1.176e-4,,,1.176e-4
200.151,4.171e-5,,,4.171e-5
200.156,1.306e-5,,,1.306e-5
200.161,3.608e-6,,,3.608e-6
200.166,8.801e-7,,,8.801e-7
200.171,1.895e-7,,,1.895e-7
200.176,3.600e-8,,,3.600e-8
200.181,6.037e-9,,,6.037e-9
200.186,8.935e-10,,,8.935e-10
200.191,1.167e-10,,,1.167e-10
200.196,1.346e-11,,,1.346e-11
200.201,1.370e-12,,,1.370e-12
200.206,1.230e-13,,,1.230e-13
200.211,9.754e-15,,,9.754e-15
200.216,6.825e-16,,,6.825e-16
200.221,4.215e-17,,,4.215e-17
200.226,2.298e-18,,,2.298e-18
200.231,1.105e-19,,,1.105e-19
200.236,4.694e-21,,,4.694e-21
200.241,1.759e-22,,,1.759e-22
200.361,2.457e-14,,2.457e-14,2.053e-22
200.366,6.473e-13,,6.473e-13,2.065e-22
200.371,1.506e-11,,1.506e-11,2.077e-22
200.376,3.094e-10,,3.094e-10,2.089e-22
200.381,5.612e-9,,5.612e-9,2.102e-22
200.386,8.990e-8,,8.990e-8,2.114e-22
200.391,1.272e-6,,1.272e-6,2.126e-22
200.396,1.588e-5,,1.588e-5,2.138e-22
200.401,1.752e-4,,1.752e-4,2.151e-22
200.406,1.706e-3,,1.706e-3,2.163e-22
200.411,1.468e-2,,1.468e-2,2.175e-22
200.416,1.115e-1,,1.115e-1,2.187e-22
200.421,7.475e-1,,7.475e-1,2.199e-22
200.426,4.427e+0,,4.427e+0,2.212e-22
200.431,2.315e+1,,2.315e+1,2.224e-22
200.436,1.069e+2,,1.069e+2,2.236e-22
200.441,4.359e+2,,4.359e+2,2.248e-22
200.446,1.570e+3,,1.570e+3,2.261e-22
200.451,4.990e+3,,4.990e+3,2.273e-22
200.456,1.401e+4,,1.401e+4,2.285e-22
200.461,3.474e+4,,3.474e+4,2.297e-22
200.466,7.606e+4,,7.606e+4,2.309e-22
200.471,1.470e+5,,1.470e+5,2.322e-22
200.476,2.510e+5,,2.510e+5,2.334e-22
200.481,3.784e+5,,3.784e+5,2.346e-22
200.486,5.038e+5,,5.038e+5,2.358e-22
200.491,5.922e+5,,5.922e+5,2.371e-22
200.496,6.147e+5,,6.147e+5,2.383e-22
200.501,5.635e+5,,5.635e+5,2.395e-22
200.506,4.561e+5,,4.561e+5,2.407e-22
200.511,3.260e+5,,3.260e+5,2.420e-22
200.516,2.057e+5,,2.057e+5,2.432e-22
200.521,1.147e+5,,1.147e+5,2.444e-22
200.526,5.643e+4,,5.643e+4,2.456e-22
200.531,2.452e+4,,2.452e+4,2.468e-22
200.536,9.411e+3,,9.411e+3,2.481e-22
200.541,3.189e+3,,3.189e+3,2.493e-22
200.546,9.543e+2,,9.543e+2,2.505e-22
200.551,2.522e+2,,2.522e+2,2.517e-22
200.555,7.950e+1,,7.950e+1,2.527e-22
200.560,1.679e+1,,1.679e+1,2.539e-22
200.565,3.133e+0,,3.133e+0,2.552e-22
200.570,5.160e-1,,5.160e-1,2.564e-22
200.575,7.504e-2,,7.504e-2,2.576e-22
200.580,9.638e-3,,9.638e-3,2.588e-22
200.585,1.093e-3,,1.093e-3,2.600e-22
200.590,1.095e-4,,1.095e-4,2.613e-22
200.595,9.682e-6,,9.682e-6,2.625e-22
200.600,7.561e-7,,7.561e-7,2.637e-22
200.605,5.214e-8,,5.214e-8,2.649e-22
200.610,3.175e-9,,3.175e-9,2.662e-22
200.615,1.707e-10,,1.707e-10,2.674e-22
200.620,8.106e-12,,8.106e-12,2.686e-22
200.625,3.399e-13,,3.399e-13,2.698e-22
200.780,3.077e-22,,3.235e-13,3.077e-22
200.785,7.997e-21,,3.229e-13,7.997e-21
200.790,1.836e-19,,3.224e-13,1.836e-19
200.795,3.725e-18,,3.219e-13,3.725e-18
200.800,6.676e-17,,3.214e-13,6.676e-17
200.805,1.057e-15,,3.208e-13,1.057e-15
200.810,1.479e-14,,3.203e-13,1.479e-14
200.815,1.828e-13,,3.198e-13,1.828e-13
200.820,1.996e-12,,3.192e-13,1.996e-12
200.825,1.926e-11,,3.187e-13,1.926e-11
200.830,1.642e-10,,3.182e-13,1.642e-10
200.835,1.236e-9,,3.176e-13,1.236e-9
200.840,8.225e-9,,3.171e-13,8.225e-9
200.845,4.835e-8,,3.166e-13,4.835e-8
200.850,2.511e-7,,3.161e-13,2.511e-7
200.855,1.152e-6,,3.155e-13,1.152e-6
200.860,4.671e-6,,3.150e-13,4.671e-6
200.865,1.673e-5,,3.145e-13,1.673e-5
200.870,5.294e-5,,3.139e-13,5.294e-5
200.875,1.480e-4,,3.134e-13,1.480e-4
200.880,3.656e-4,,3.129e-13,3.656e-4
200.885,7.977e-4,,3.124e-13,7.977e-4
200.890,1.538e-3,,3.118e-13,1.538e-3
200.895,2.620e-3,,3.113e-13,2.620e-3
200.900,3.943e-3,,3.108e-13,3.943e-3
200.905,5.242e-3,,3.102e-13,5.242e-3
200.910,6.158e-3,,3.097e-13,6.158e-3
200.915,6.391e-3,,3.092e-13,6.391e-3
200.920,5.861e-3,,3.087e-13,5.861e-3
200.925,4.748e-3,,3.081e-13,4.748e-3
200.930,3.399e-3,,3.076e-13,3.399e-3
200.935,2.150e-3,,3.071e-13,2.150e-3
200.940,1.206e-3,,3.065e-13,1.206e-3
200.945,6.094e-4,,3.060e-13,6.094e-4
200.950,3.065e-4,,3.055e-13,3.065e-4
200.955,2.211e-4,,3.049e-13,2.211e-4
200.960,3.056e-4,,3.044e-13,3.056e-4
200.965,5.468e-4,,3.039e-13,5.468e-4
200.970,9.394e-4,,3.034e-13,9.394e-4
200.975,1.445e-3,,3.028e-13,1.445e-3
200.980,1.968e-3,,3.023e-13,1.968e-3
200.985,2.370e-3,,3.018e-13,2.370e-3
200.990,2.521e-3,,3.012e-13,2.521e-3
200.995,2.370e-3,,3.007e-13,2.370e-3
201.000,1.968e-3,,3.002e-13,1.968e-3
201.005,1.444e-3,,2.997e-13,1.444e-3
201.010,9.366e-4,,2.991e-13,9.366e-4
201.015,5.366e-4,,2.986e-13,5.366e-4
201.020,2.717e-4,,2.981e-13,2.717e-4
201.025,1.215e-4,,2.975e-13,1.215e-4
201.030,4.803e-5,,2.970e-13,4.803e-5
201.035,1.677e-5,,2.965e-13,1.677e-5
201.040,5.175e-6,,2.960e-13,5.175e-6
201.045,1.411e-6,,2.954e-13,1.411e-6
201.050,3.399e-7,,2.949e-13,3.399e-7
201.055,7.235e-8,,2.944e-13,7.235e-8
201.060,1.361e-8,,2.938e-13,1.361e-8
201.065,2.261e-9,,2.933e-13,2.261e-9
201.070,3.320e-10,,2.928e-13,3.320e-10
201.075,4.308e-11,,2.923e-13,4.308e-11
201.080,4.938e-12,,2.917e-13,4.938e-12
201.085,5.002e-13,,2.912e-13,5.002e-13
201.090,4.476e-14,,2.907e-13,4.476e-14
201.095,3.540e-15,,2.901e-13,3.540e-15
201.100,2.473e-16,,2.896e-13,2.473e-16
201.105,1.527e-17,,2.891e-13,1.527e-17
201.110,8.330e-19,,2.885e-13,8.330e-19
201.115,4.015e-20,,2.880e-13,4.015e-20
201.120,1.710e-21,,2.875e-13,1.710e-21
201.359,2.622e-13,,2.622e-13,3.501e-21
201.364,6.525e-12,,6.525e-12,3.539e-21
201.369,1.436e-10,,1.436e-10,3.576e-21
201.374,2.793e-9,,2.793e-9,3.614e-21
201.379,4.804e-8,,4.804e-8,3.651e-21
201.384,7.306e-7,,7.306e-7,3.688e-21
201.389,9.823e-6,,9.823e-6,3.726e-21
201.394,1.168e-4,,1.168e-4,3.763e-21
201.399,1.227e-3,,1.227e-3,3.801e-21
201.404,1.140e-2,,1.140e-2,3.838e-21
201.409,9.366e-2,,9.366e-2,3.876e-21
201.414,6.803e-1,,6.803e-1,3.913e-21
201.419,4.368e+0,,4.368e+0,3.951e-21
201.424,2.480e+1,,2.480e+1,3.988e-21
201.429,1.245e+2,,1.245e+2,4.026e-21
201.434,5.525e+2,,5.525e+2,4.063e-21
201.439,2.168e+3,,2.168e+3,4.101e-21
201.444,7.520e+3,,7.520e+3,4.138e-21
201.449,2.306e+4,,2.306e+4,4.176e-21
201.454,6.254e+4,,6.254e+4,4.213e-21
201.459,1.499e+5,,1.499e+5,4.251e-21
201.464,3.178e+5,,3.178e+5,4.288e-21
201.469,5.956e+5,,5.956e+5,4.326e-21
201.474,9.869e+5,,9.869e+5,4.363e-21
201.479,1.446e+6,,1.446e+6,4.400e-21
201.484,1.872e+6,,1.872e+6,4.438e-21
201.489,2.144e+6,,2.144e+6,4.475e-21
201.494,2.171e+6,,2.171e+6,4.513e-21
201.499,1.943e+6,,1.943e+6,4.550e-21
201.504,1.537e+6,,1.537e+6,4.588e-21
201.509,1.076e+6,,1.076e+6,4.625e-21
201.514,6.654e+5,,6.654e+5,4.663e-21
201.519,3.639e+5,,3.639e+5,4.700e-21
201.524,1.760e+5,,1.760e+5,4.738e-21
201.529,7.523e+4,,7.523e+4,4.775e-21
201.534,2.844e+4,,2.844e+4,4.813e-21
201.539,9.503e+3,,9.503e+3,4.850e-21
201.544,2.808e+3,,2.808e+3,4.888e-21
201.549,7.334e+2,,7.334e+2,4.925e-21
201.554,1.694e+2,,1.694e+2,4.963e-21
201.559,3.459e+1,,3.459e+1,5.000e-21
201.564,6.244e+0,,6.244e+0,5.038e-21
201.569,9.969e-1,,9.969e-1,5.075e-21
201.574,1.448e-1,,1.448e-1,5.112e-21
201.579,5.479e-2,,5.479e-2,5.150e-21
201.584,2.994e-1,,2.994e-1,5.187e-21
201.589,2.101e+0,,2.101e+0,5.225e-21
201.594,1.312e+1,,1.312e+1,5.262e-21
201.599,7.246e+1,,7.246e+1,5.300e-21
201.604,3.539e+2,,3.539e+2,5.337e-21
201.609,1.529e+3,,1.529e+3,5.375e-21
201.614,5.838e+3,,5.838e+3,5.412e-21
201.619,1.972e+4,,1.972e+4,5.450e-21
201.624,5.889e+4,,5.889e+4,5.487e-21
201.629,1.556e+5,,1.556e+5,5.525e-21
201.634,3.633e+5,,3.633e+5,5.562e-21
201.639,7.504e+5,,7.504e+5,5.600e-21
201.644,1.371e+6,,1.371e+6,5.637e-21
201.649,2.214e+6,,2.214e+6,5.675e-21
201.654,3.162e+6,,3.162e+6,5.712e-21
201.659,3.995e+6,,3.995e+6,5.750e-21
201.664,4.462e+6,,4.462e+6,5.787e-21
201.669,4.407e+6,,4.407e+6,5.825e-21
201.674,3.850e+6,,3.850e+6,5.862e-21
201.679,2.974e+6,,2.974e+6,5.899e-21
201.684,2.031e+6,,2.031e+6,5.937e-21
201.689,1.227e+6,,1.227e+6,5.974e-21
201.694,6.555e+5,,6.555e+5,6.012e-21
201.699,3.097e+5,,3.097e+5,6.049e-21
201.704,1.294e+5,,1.294e+5,6.087e-21
201.709,4.779e+4,,4.779e+4,6.124e-21
201.714,1.561e+4,,1.561e+4,6.162e-21
201.719,4.510e+3,,4.510e+3,6.199e-21
201.724,1.152e+3,,1.152e+3,6.237e-21
201.729,2.603e+2,,2.603e+2,6.274e-21
201.734,5.199e+1,,5.199e+1,6.312e-21
201.739,9.186e+0,,9.186e+0,6.349e-21
201.744,1.435e+0,,1.435e+0,6.387e-21
201.749,1.983e-1,,1.983e-1,6.424e-21
201.754,2.422e-2,,2.422e-2,6.462e-21
201.759,2.617e-3,,2.617e-3,6.499e-21
201.764,2.500e-4,,2.500e-4,6.537e-21
201.769,2.112e-5,,2.112e-5,6.574e-21
201.774,1.578e-6,,1.578e-6,6.611e-21
201.779,1.043e-7,,1.043e-7,6.649e-21
201.784,6.092e-9,,6.092e-9,6.686e-21
201.789,3.148e-10,,3.148e-10,6.724e-21
201.794,1.438e-11,,1.438e-11,6.761e-21
201.799,5.811e-13,,5.811e-13,6.799e-21
204.855,2.970e-20,,2.345e-13,2.970e-20
204.860,6.954e-19,,2.340e-13,6.954e-19
204.864,7.953e-18,,2.335e-13,7.953e-18
204.869,1.503e-16,,2.329e-13,1.503e-16
204.874,2.521e-15,,2.324e-13,2.521e-15
204.879,3.756e-14,,2.318e-13,3.756e-14
204.884,4.967e-13,,2.312e-13,4.967e-13
204.889,5.831e-12,,2.307e-13,5.831e-12
204.894,6.078e-11,,2.301e-13,6.078e-11
204.899,5.625e-10,,2.295e-13,5.625e-10
204.904,4.621e-9,,2.290e-13,4.621e-9
204.909,3.371e-8,,2.284e-13,3.371e-8
204.914,2.183e-7,,2.278e-13,2.183e-7
204.919,1.255e-6,,2.273e-13,1.255e-6
204.924,6.407e-6,,2.267e-13,6.407e-6
204.929,2.904e-5,,2.261e-13,2.904e-5
204.934,1.168e-4,,2.256e-13,1.168e-4
204.939,4.173e-4,,2.250e-13,4.173e-4
204.944,1.324e-3,,2.244e-13,1.324e-3
204.949,3.727e-3,,2.239e-13,3.727e-3
204.954,9.316e-3,,2.233e-13,9.316e-3
204.959,2.067e-2,,2.227e-13,2.067e-2
204.964,4.074e-2,,2.222e-13,4.074e-2
204.969,7.126e-2,,2.216e-13,7.126e-2
204.974,1.107e-1,,2.210e-13,1.107e-1
204.979,1.526e-1,,2.205e-13,1.526e-1
204.984,1.868e-1,,2.199e-13,1.868e-1
204.989,2.031e-1,,2.193e-13,2.031e-1
204.994,1.959e-1,,2.188e-13,1.959e-1
204.999,1.679e-1,,2.182e-13,1.679e-1
205.004,1.277e-1,,2.176e-13,1.277e-1
205.009,8.621e-2,,2.171e-13,8.621e-2
205.014,5.168e-2,,2.165e-13,5.168e-2
205.019,2.751e-2,,2.159e-13,2.751e-2
205.024,1.300e-2,,2.154e-13,1.300e-2
205.029,5.453e-3,,2.148e-13,5.453e-3
205.034,2.031e-3,,2.142e-13,2.031e-3
205.039,6.717e-4,,2.137e-13,6.717e-4
205.044,1.972e-4,,2.131e-13,1.972e-4
205.049,5.140e-5,,2.125e-13,5.140e-5
205.054,1.190e-5,,2.120e-13,1.190e-5
205.059,2.444e-6,,2.114e-13,2.444e-6
205.064,4.458e-7,,2.108e-13,4.458e-7
205.069,7.219e-8,,2.103e-13,7.219e-8
205.074,1.038e-8,,2.097e-13,1.038e-8
205.079,1.325e-9,,2.091e-13,1.325e-9
205.084,1.501e-10,,2.086e-13,1.501e-10
205.089,1.511e-11,,2.080e-13,1.511e-11
205.094,1.349e-12,,2.074e-13,1.349e-12
205.099,1.070e-13,,2.068e-13,1.070e-13
205.104,7.535e-15,,2.063e-13,7.535e-15
205.109,4.710e-16,,2.057e-13,4.710e-16
205.114,2.614e-17,,2.051e-13,2.614e-17
205.119,1.288e-18,,2.046e-13,1.288e-18
205.124,5.634e-20,,2.040e-13,5.634e-20
205.678,5.587e-10,5.587e-10,1.412e-13,4.295e-20
205.683,1.275e-8,1.275e-8,1.406e-13,4.283e-20
205.688,2.588e-7,2.588e-7,1.401e-13,4.271e-20
205.693,4.665e-6,4.665e-6,1.395e-13,4.259e-20
205.698,7.474e-5,7.474e-5,1.389e-13,4.247e-20
205.703,1.064e-3,1.064e-3,1.384e-13,4.235e-20
205.708,1.346e-2,1.346e-2,1.378e-13,4.223e-20
205.713,1.514e-1,1.514e-1,1.372e-13,4.210e-20
205.718,1.512e+0,1.512e+0,1.367e-13,4.198e-20
205.723,1.343e+1,1.343e+1,1.361e-13,4.186e-20
205.728,1.060e+2,1.060e+2,1.355e-13,4.174e-20
205.733,7.430e+2,7.430e+2,1.350e-13,4.162e-20
205.738,4.630e+3,4.630e+3,1.344e-13,4.150e-20
205.743,2.564e+4,2.564e+4,1.338e-13,4.138e-20
205.748,1.262e+5,1.262e+5,1.333e-13,4.126e-20
205.753,5.517e+5,5.517e+5,1.327e-13,4.114e-20
205.758,2.144e+6,2.144e+6,1.321e-13,4.102e-20
205.763,7.405e+6,7.405e+6,1.316e-13,4.090e-20
205.768,2.273e+7,2.273e+7,1.310e-13,4.078e-20
205.773,6.198e+7,6.198e+7,1.304e-13,4.065e-20
205.778,1.502e+8,1.502e+8,1.299e-13,4.053e-20
205.783,3.236e+8,3.236e+8,1.293e-13,4.041e-20
205.788,6.193e+8,6.193e+8,1.287e-13,4.029e-20
205.793,1.053e+9,1.053e+9,1.282e-13,4.017e-20
205.798,1.592e+9,1.592e+9,1.276e-13,4.005e-20
205.803,2.139e+9,2.139e+9,1.270e-13,3.993e-20
205.808,2.553e+9,2.553e+9,1.265e-13,3.981e-20
205.813,2.708e+9,2.708e+9,1.259e-13,3.969e-20
205.818,2.553e+9,2.553e+9,1.253e-13,3.957e-20
205.823,2.139e+9,2.139e+9,1.248e-13,3.945e-20
205.828,1.592e+9,1.592e+9,1.242e-13,3.933e-20
205.833,1.053e+9,1.053e+9,1.236e-13,3.920e-20
205.838,6.193e+8,6.193e+8,1.231e-13,3.908e-20
205.843,3.236e+8,3.236e+8,1.225e-13,3.896e-20
205.848,1.502e+8,1.502e+8,1.219e-13,3.884e-20
205.853,6.198e+7,6.198e+7,1.213e-13,3.872e-20
205.858,2.273e+7,2.273e+7,1.208e-13,3.860e-20
205.863,7.405e+6,7.405e+6,1.202e-13,3.848e-20
205.868,2.144e+6,2.144e+6,1.196e-13,3.836e-20
205.873,5.517e+5,5.517e+5,1.191e-13,3.824e-20
205.878,1.262e+5,1.262e+5,1.185e-13,3.812e-20
205.883,2.564e+4,2.564e+4,1.179e-13,3.800e-20
205.888,4.630e+3,4.630e+3,1.174e-13,3.787e-20
205.893,7.430e+2,7.430e+2,1.168e-13,3.775e-20
205.898,1.060e+2,1.060e+2,1.162e-13,3.763e-20
205.903,1.343e+1,1.343e+1,1.157e-13,3.751e-20
205.908,1.512e+0,1.512e+0,1.151e-13,3.739e-20
205.913,1.514e-1,1.514e-1,1.145e-13,3.727e-20
205.918,1.346e-2,1.346e-2,1.140e-13,3.715e-20
205.923,1.064e-3,1.064e-3,1.134e-13,3.703e-20
205.928,7.474e-5,7.474e-5,1.128e-13,3.691e-20
205.933,4.665e-6,4.665e-6,1.123e-13,3.679e-20
205.938,2.588e-7,2.588e-7,1.117e-13,3.667e-20
205.943,1.275e-8,1.275e-8,1.111e-13,3.655e-20
205.948,5.587e-10,5.587e-10,1.106e-13,3.642e-20
206.083,9.527e-14,5.509e-10,9.527e-14,3.316e-20
206.088,2.305e-12,5.506e-10,2.305e-12,3.304e-20
206.093,4.959e-11,5.504e-10,4.959e-11,3.292e-20
206.098,9.485e-10,5.501e-10,9.485e-10,3.280e-20
206.103,1.613e-8,5.498e-10,1.613e-8,3.268e-20
206.108,2.438e-7,5.495e-10,2.438e-7,3.256e-20
206.113,3.278e-6,5.492e-10,3.278e-6,3.244e-20
206.118,3.917e-5,5.489e-10,3.917e-5,3.232e-20
206.123,4.162e-4,5.486e-10,4.162e-4,3.220e-20
206.128,3.931e-3,5.483e-10,3.931e-3,3.207e-20
206.133,3.302e-2,5.480e-10,3.302e-2,3.195e-20
206.138,2.465e-1,5.478e-10,2.465e-1,3.183e-20
206.143,1.637e+0,5.475e-10,1.637e+0,3.171e-20
206.148,9.660e+0,5.472e-10,9.660e+0,3.159e-20
206.153,5.069e+1,5.469e-10,5.069e+1,3.147e-20
206.158,2.365e+2,5.466e-10,2.365e+2,3.135e-20
206.163,9.811e+2,5.463e-10,9.811e+2,3.123e-20
206.168,3.618e+3,5.460e-10,3.618e+3,3.111e-20
206.173,1.186e+4,5.457e-10,1.186e+4,3.099e-20
206.178,3.458e+4,5.454e-10,3.458e+4,3.087e-20
206.183,8.963e+4,5.452e-10,8.963e+4,3.075e-20
206.188,2.065e+5,5.449e-10,2.065e+5,3.062e-20
206.193,4.231e+5,5.446e-10,4.231e+5,3.050e-20
206.198,7.707e+5,5.443e-10,7.707e+5,3.038e-20
206.203,1.248e+6,5.440e-10,1.248e+6,3.026e-20
206.208,1.797e+6,5.437e-10,1.797e+6,3.014e-20
206.213,2.300e+6,5.434e-10,2.300e+6,3.002e-20
206.218,2.618e+6,5.431e-10,2.618e+6,2.990e-20
206.223,2.648e+6,5.429e-10,2.648e+6,2.978e-20
206.228,2.383e+6,5.426e-10,2.383e+6,2.966e-20
206.233,1.906e+6,5.423e-10,1.906e+6,2.954e-20
206.238,1.355e+6,5.420e-10,1.355e+6,2.942e-20
206.243,8.567e+5,5.417e-10,8.567e+5,2.929e-20
206.248,4.815e+5,5.414e-10,4.815e+5,2.917e-20
206.253,2.406e+5,5.411e-10,2.406e+5,2.905e-20
206.258,1.069e+5,5.408e-10,1.069e+5,2.893e-20
206.263,4.223e+4,5.405e-10,4.223e+4,2.881e-20
206.268,1.483e+4,5.403e-10,1.483e+4,2.869e-20
206.273,4.631e+3,5.400e-10,4.631e+3,2.857e-20
206.278,1.286e+3,5.397e-10,1.286e+3,2.845e-20
206.283,3.173e+2,5.394e-10,3.173e+2,2.833e-20
206.288,6.963e+1,5.391e-10,6.963e+1,2.821e-20
206.293,1.359e+1,5.388e-10,1.359e+1,2.809e-20
206.297,3.377e+0,5.386e-10,3.377e+0,2.799e-20
206.302,5.332e-1,5.383e-10,5.332e-1,2.787e-20
206.307,7.484e-2,5.380e-10,7.484e-2,2.775e-20
206.312,9.340e-3,5.377e-10,9.340e-3,2.763e-20
206.317,1.036e-3,5.374e-10,1.036e-3,2.751e-20
206.322,1.022e-4,5.371e-10,1.022e-4,2.739e-20
206.327,8.967e-6,5.369e-10,8.967e-6,2.726e-20
206.332,6.992e-7,5.366e-10,6.992e-7,2.714e-20
206.337,4.848e-8,5.363e-10,4.848e-8,2.702e-20
206.342,2.988e-9,5.360e-10,2.988e-9,2.690e-20
206.347,1.637e-10,5.357e-10,1.637e-10,2.678e-20
206.352,7.978e-12,5.354e-10,7.978e-12,2.666e-20
207.066,5.882e-11,4.942e-10,5.882e-11,9.404e-21
207.071,1.318e-9,4.939e-10,1.318e-9,9.283e-21
207.076,2.630e-8,4.937e-10,2.630e-8,9.162e-21
207.081,4.669e-7,4.934e-10,4.669e-7,9.041e-21
207.086,7.377e-6,4.931e-10,7.377e-6,8.920e-21
207.091,1.038e-4,4.928e-10,1.038e-4,8.799e-21
207.096,1.299e-3,4.925e-10,1.299e-3,8.679e-21
207.101,1.447e-2,4.922e-10,1.447e-2,8.558e-21
207.106,1.435e-1,4.919e-10,1.435e-1,8.437e-21
207.111,1.267e+0,4.916e-10,1.267e+0,8.316e-21
207.116,9.955e+0,4.913e-10,9.955e+0,8.195e-21
207.121,6.962e+1,4.911e-10,6.962e+1,8.074e-21
207.126,4.333e+2,4.908e-10,4.333e+2,7.954e-21
207.131,2.401e+3,4.905e-10,2.401e+3,7.833e-21
207.136,1.184e+4,4.902e-10,1.184e+4,7.712e-21
207.141,5.195e+4,4.899e-10,5.195e+4,7.591e-21
207.146,2.029e+5,4.896e-10,2.029e+5,7.470e-21
207.151,7.056e+5,4.893e-10,7.056e+5,7.349e-21
207.156,2.184e+6,4.890e-10,2.184e+6,7.228e-21
207.161,6.015e+6,4.888e-10,6.015e+6,7.108e-21
207.166,1.475e+7,4.885e-10,1.475e+7,6.987e-21
207.171,3.218e+7,4.882e-10,3.218e+7,6.866e-21
207.176,6.249e+7,4.879e-10,6.249e+7,6.745e-21
207.181,1.080e+8,4.876e-10,1.080e+8,6.624e-21
207.186,1.662e+8,4.873e-10,1.662e+8,6.503e-21
207.191,2.277e+8,4.870e-10,2.277e+8,6.383e-21
207.196,2.775e+8,4.867e-10,2.775e+8,6.262e-21
207.201,3.011e+8,4.864e-10,3.011e+8,6.141e-21
207.206,2.908e+8,4.862e-10,2.908e+8,6.020e-21
207.211,2.500e+8,4.859e-10,2.500e+8,5.899e-21
207.216,1.917e+8,4.856e-10,1.917e+8,5.778e-21
207.221,1.318e+8,4.853e-10,1.318e+8,5.657e-21
207.226,8.380e+7,4.850e-10,8.380e+7,5.537e-21
207.231,5.544e+7,4.847e-10,5.544e+7,5.416e-21
207.236,5.053e+7,4.844e-10,5.053e+7,5.295e-21
207.241,7.132e+7,4.841e-10,7.132e+7,5.174e-21
207.246,1.191e+8,4.838e-10,1.191e+8,5.053e-21
207.251,1.919e+8,4.836e-10,1.919e+8,4.932e-21
207.256,2.802e+8,4.833e-10,2.802e+8,4.812e-21
207.261,3.654e+8,4.830e-10,3.654e+8,4.691e-21
207.266,4.245e+8,4.827e-10,4.245e+8,4.570e-21
207.271,4.390e+8,4.824e-10,4.390e+8,4.449e-21
207.276,4.042e+8,4.821e-10,4.042e+8,4.328e-21
207.281,3.313e+8,4.818e-10,3.313e+8,4.207e-21
207.286,2.417e+8,4.815e-10,2.417e+8,4.086e-21
207.291,1.570e+8,4.813e-10,1.570e+8,3.966e-21
207.296,9.075e+7,4.810e-10,9.075e+7,3.845e-21
207.301,4.670e+7,4.807e-10,4.670e+7,3.724e-21
207.306,2.139e+7,4.804e-10,2.139e+7,3.603e-21
207.311,8.722e+6,4.801e-10,8.722e+6,3.482e-21
207.316,3.166e+6,4.798e-10,3.166e+6,3.361e-21
207.321,1.023e+6,4.795e-10,1.023e+6,3.241e-21
207.326,2.941e+5,4.792e-10,2.941e+5,3.120e-21
207.331,7.530e+4,4.789e-10,7.530e+4,2.999e-21
207.336,1.716e+4,4.787e-10,1.716e+4,2.878e-21
207.341,3.481e+3,4.784e-10,3.481e+3,2.757e-21
207.346,6.285e+2,4.781e-10,6.285e+2,2.636e-21
207.351,1.010e+2,4.778e-10,1.010e+2,2.515e-21
207.356,1.445e+1,4.775e-10,1.445e+1,2.395e-21
207.361,1.841e+0,4.772e-10,1.841e+0,2.274e-21
207.366,2.087e-1,4.769e-10,2.087e-1,2.153e-21
207.371,2.106e-2,4.766e-10,2.106e-2,5.213e-20
207.376,1.891e-3,4.764e-10,1.891e-3,1.073e-18
207.381,1.512e-4,4.761e-10,1.512e-4,1.969e-17
207.386,1.076e-5,4.758e-10,1.076e-5,3.218e-16
207.391,6.820e-7,4.755e-10,6.820e-7,4.688e-15
207.396,3.846e-8,4.752e-10,3.846e-8,6.085e-14
207.401,1.931e-9,4.749e-10,1.931e-9,7.041e-13
207.406,7.261e-12,4.746e-10,1.930e-9,7.261e-12
207.411,6.674e-11,4.743e-10,1.929e-9,6.674e-11
207.416,5.469e-10,4.740e-10,1.929e-9,5.469e-10
207.421,3.996e-9,4.738e-10,1.928e-9,3.996e-9
207.426,2.603e-8,4.735e-10,1.927e-9,2.603e-8
207.431,1.512e-7,4.732e-10,1.927e-9,1.512e-7
207.436,7.831e-7,4.729e-10,1.926e-9,7.831e-7
