Wavelength (nm),Sum(calc),Si I (1.1e-1),Si II (8.9e-1),Si III (7.3e-4)
243.091,2.163e-20,1.689e-9,2.093e-12,2.163e-20
243.356,1.565e-9,1.565e-9,2.019e-12,1.972e-20
243.361,2.192e-8,2.192e-8,2.018e-12,1.968e-20
243.366,2.821e-7,2.821e-7,2.016e-12,1.964e-20
243.371,3.336e-6,3.336e-6,2.015e-12,1.961e-20
243.376,3.627e-5,3.627e-5,2.014e-12,1.957e-20
243.381,3.625e-4,3.625e-4,2.012e-12,1.954e-20
243.386,3.329e-3,3.329e-3,2.011e-12,1.950e-20
243.391,2.810e-2,2.810e-2,2.009e-12,1.946e-20
243.396,2.181e-1,2.181e-1,2.008e-12,1.943e-20
243.401,1.555e+0,1.555e+0,2.007e-12,1.939e-20
243.406,1.020e+1,1.020e+1,2.005e-12,1.936e-20
243.411,6.143e+1,6.143e+1,2.004e-12,1.932e-20
243.416,3.402e+2,3.402e+2,2.002e-12,1.928e-20
243.421,1.732e+3,1.732e+3,2.001e-12,1.925e-20
243.426,8.102e+3,8.102e+3,2.000e-12,1.921e-20
243.431,3.484e+4,3.484e+4,1.998e-12,1.918e-20
243.436,1.377e+5,1.377e+5,1.997e-12,1.914e-20
243.441,5.003e+5,5.003e+5,1.995e-12,1.910e-20
243.446,1.671e+6,1.671e+6,1.994e-12,1.907e-20
243.451,5.128e+6,5.128e+6,1.992e-12,1.903e-20
243.456,1.447e+7,1.447e+7,1.991e-12,1.900e-20
243.461,3.751e+7,3.751e+7,1.990e-12,1.896e-20
243.466,8.939e+7,8.939e+7,1.988e-12,1.892e-20
243.471,1.958e+8,1.958e+8,1.987e-12,1.889e-20
243.476,3.943e+8,3.943e+8,1.985e-12,1.885e-20
243.481,7.296e+8,7.296e+8,1.984e-12,1.882e-20
243.486,1.241e+9,1.241e+9,1.983e-12,1.878e-20
243.491,1.940e+9,1.940e+9,1.981e-12,1.874e-20
243.496,2.788e+9,2.788e+9,1.980e-12,1.871e-20
243.501,3.683e+9,3.683e+9,1.978e-12,1.867e-20
243.506,4.471e+9,4.471e+9,1.977e-12,1.864e-20
243.511,4.989e+9,4.989e+9,1.976e-12,1.860e-20
243.516,5.117e+9,5.117e+9,1.974e-12,1.856e-20
243.521,4.823e+9,4.823e+9,1.973e-12,1.853e-20
243.526,4.179e+9,4.179e+9,1.971e-12,1.849e-20
243.531,3.328e+9,3.328e+9,1.970e-12,1.846e-20
243.536,2.436e+9,2.436e+9,1.969e-12,1.842e-20
243.541,1.639e+9,1.639e+9,1.967e-12,1.838e-20
243.546,1.014e+9,1.014e+9,1.966e-12,1.835e-20
243.551,5.762e+8,5.762e+8,1.964e-12,1.831e-20
243.556,3.010e+8,3.010e+8,1.963e-12,1.828e-20
243.561,1.445e+8,1.445e+8,1.962e-12,1.824e-20
243.566,6.380e+7,6.380e+7,1.960e-12,1.820e-20
243.571,2.588e+7,2.588e+7,1.959e-12,1.817e-20
243.576,9.651e+6,9.651e+6,1.957e-12,1.813e-20
243.581,3.308e+6,3.308e+6,1.956e-12,1.810e-20
243.586,1.042e+6,1.042e+6,1.955e-12,1.806e-20
243.591,3.017e+5,3.017e+5,1.953e-12,1.802e-20
243.596,8.028e+4,8.028e+4,1.952e-12,1.799e-20
243.601,1.964e+4,1.964e+4,1.950e-12,1.795e-20
243.606,4.415e+3,4.415e+3,1.949e-12,1.792e-20
243.610,1.259e+3,1.259e+3,1.948e-12,1.789e-20
243.615,2.432e+2,2.432e+2,1.947e-12,1.785e-20
243.620,4.318e+1,4.318e+1,1.945e-12,1.781e-20
243.625,7.047e+0,7.047e+0,1.944e-12,1.778e-20
243.630,1.057e+0,1.057e+0,1.942e-12,1.774e-20
243.635,1.457e-1,1.457e-1,1.941e-12,1.771e-20
243.640,1.847e-2,1.847e-2,1.940e-12,1.767e-20
