Wavelength (nm),Sum(calc),Ni I (6.8e-2),Ni II (9.3e-1),Ni III (6.9e-4)
221.905,1.660e-6,6.249e-10,1.660e-6,
221.910,2.439e-5,6.245e-10,2.439e-5,
221.915,3.238e-4,6.242e-10,3.238e-4,
221.920,3.885e-3,6.238e-10,3.885e-3,
221.925,4.212e-2,6.235e-10,4.212e-2,
221.930,4.125e-1,6.232e-10,4.125e-1,
221.935,3.651e+0,6.228e-10,3.651e+0,
221.940,2.920e+1,6.225e-10,2.920e+1,
221.945,2.110e+2,6.221e-10,2.110e+2,
221.950,1.377e+3,6.218e-10,1.377e+3,
221.955,8.125e+3,6.214e-10,8.125e+3,
221.960,4.331e+4,6.211e-10,4.331e+4,
221.965,2.086e+5,6.208e-10,2.086e+5,
221.970,9.076e+5,6.204e-10,9.076e+5,
221.975,3.568e+6,6.201e-10,3.568e+6,
221.980,1.268e+7,6.197e-10,1.268e+7,
221.985,4.070e+7,6.194e-10,4.070e+7,
221.990,1.180e+8,6.190e-10,1.180e+8,
221.995,3.093e+8,6.187e-10,3.093e+8,
222.000,7.325e+8,6.184e-10,7.325e+8,
222.005,1.567e+9,6.180e-10,1.567e+9,
222.010,3.030e+9,6.177e-10,3.030e+9,
222.015,5.293e+9,6.173e-10,5.293e+9,
222.020,8.354e+9,6.170e-10,8.354e+9,
222.025,1.191e+10,6.166e-10,1.191e+10,
222.030,1.535e+10,6.163e-10,1.535e+10,
222.035,1.787e+10,6.160e-10,1.787e+10,
222.040,1.880e+10,6.156e-10,1.880e+10,
222.045,1.787e+10,6.153e-10,1.787e+10,
222.050,1.535e+10,6.149e-10,1.535e+10,
222.055,1.191e+10,6.146e-10,1.191e+10,
222.060,8.354e+9,6.142e-10,8.354e+9,
222.065,5.293e+9,6.139e-10,5.293e+9,
222.070,3.030e+9,6.136e-10,3.030e+9,
222.075,1.567e+9,6.132e-10,1.567e+9,
222.080,7.325e+8,6.129e-10,7.325e+8,
222.085,3.093e+8,6.125e-10,3.093e+8,
222.090,1.180e+8,6.122e-10,1.180e+8,
222.095,4.070e+7,6.118e-10,4.070e+7,
222.100,1.268e+7,6.115e-10,1.268e+7,
222.105,3.568e+6,6.112e-10,3.568e+6,
222.110,9.076e+5,6.108e-10,9.076e+5,
222.115,2.086e+5,6.105e-10,2.086e+5,
222.120,4.331e+4,6.101e-10,4.331e+4,
222.125,8.125e+3,6.098e-10,8.125e+3,
222.130,1.377e+3,6.094e-10,1.377e+3,
222.135,2.110e+2,6.091e-10,2.110e+2,
222.140,2.920e+1,6.088e-10,2.920e+1,
222.145,3.651e+0,6.084e-10,3.651e+0,
222.150,4.125e-1,6.081e-10,4.125e-1,
222.155,4.212e-2,6.077e-10,4.212e-2,
222.160,3.891e-3,6.074e-10,3.891e-3,
222.165,4.113e-4,6.070e-10,4.113e-4,
222.170,1.179e-3,6.067e-10,1.179e-3,
222.175,1.377e-2,6.064e-10,1.377e-2,
222.180,1.485e-1,6.060e-10,1.485e-1,
222.185,1.447e+0,6.057e-10,1.447e+0,
222.190,1.274e+1,6.053e-10,1.274e+1,
222.195,1.014e+2,6.050e-10,1.014e+2,
222.200,7.293e+2,6.046e-10,7.293e+2,
222.205,4.741e+3,6.043e-10,4.741e+3,
222.210,2.785e+4,6.040e-10,2.785e+4,
222.215,1.479e+5,6.036e-10,1.479e+5,
222.220,7.097e+5,6.033e-10,7.097e+5,
222.225,3.078e+6,6.029e-10,3.078e+6,
222.230,1.206e+7,6.026e-10,1.206e+7,
222.235,4.274e+7,6.022e-10,4.274e+7,
222.240,1.368e+8,6.019e-10,1.368e+8,
222.245,3.959e+8,6.016e-10,3.959e+8,
222.250,1.035e+9,6.012e-10,1.035e+9,
222.255,2.447e+9,6.009e-10,2.447e+9,
222.260,5.225e+9,6.005e-10,5.225e+9,
222.265,1.009e+10,6.002e-10,1.009e+10,
222.270,1.760e+10,5.998e-10,1.760e+10,
222.275,2.775e+10,5.995e-10,2.775e+10,
222.280,3.954e+10,5.992e-10,3.954e+10,
222.285,5.092e+10,5.988e-10,5.092e+10,
222.290,5.926e+10,5.985e-10,5.926e+10,
222.295,6.234e+10,5.981e-10,6.234e+10,
222.300,5.926e+10,5.978e-10,5.926e+10,
222.305,5.092e+10,5.974e-10,5.092e+10,
222.310,3.954e+10,5.971e-10,3.954e+10,
222.315,2.775e+10,5.968e-10,2.775e+10,
222.320,1.760e+10,5.964e-10,1.760e+10,
222.325,1.009e+10,5.961e-10,1.009e+10,
222.330,5.225e+9,5.957e-10,5.225e+9,
222.335,2.447e+9,5.954e-10,2.447e+9,
222.340,1.035e+9,5.950e-10,1.035e+9,
222.345,3.959e+8,5.947e-10,3.959e+8,
222.350,1.368e+8,5.944e-10,1.368e+8,
222.355,4.275e+7,5.940e-10,4.275e+7,
222.360,1.212e+7,5.937e-10,1.212e+7,
222.365,3.321e+6,5.933e-10,3.321e+6,
222.370,1.679e+6,5.930e-10,1.679e+6,
222.375,3.647e+6,5.926e-10,3.647e+6,
222.380,1.144e+7,5.923e-10,1.144e+7,
222.385,3.366e+7,5.920e-10,3.366e+7,
222.390,8.970e+7,5.916e-10,8.970e+7,
222.395,2.161e+8,5.913e-10,2.161e+8,
222.400,4.705e+8,5.909e-10,4.705e+8,
222.405,9.261e+8,5.906e-10,9.261e+8,
222.410,1.648e+9,5.902e-10,1.648e+9,
222.415,2.651e+9,5.899e-10,2.651e+9,
222.420,3.860e+9,5.896e-10,3.860e+9,
222.425,5.096e+9,5.892e-10,5.096e+9,
222.430,6.130e+9,5.889e-10,6.130e+9,
222.435,6.814e+9,5.885e-10,6.814e+9,
222.440,7.233e+9,5.882e-10,7.233e+9,
222.445,7.844e+9,5.878e-10,7.844e+9,
222.450,9.484e+9,5.875e-10,9.484e+9,
222.455,1.322e+10,5.872e-10,1.322e+10,
222.460,2.000e+10,5.868e-10,2.000e+10,
222.465,3.008e+10,5.865e-10,3.008e+10,
222.470,4.263e+10,5.861e-10,4.263e+10,
222.475,5.547e+10,5.858e-10,5.547e+10,
222.480,6.563e+10,5.854e-10,6.563e+10,
222.485,7.036e+10,5.851e-10,7.036e+10,
222.490,6.822e+10,5.848e-10,6.822e+10,
222.495,5.982e+10,5.844e-10,5.982e+10,
222.500,4.742e+10,5.841e-10,4.742e+10,
222.505,3.397e+10,5.837e-10,3.397e+10,
222.510,2.200e+10,5.834e-10,2.200e+10,
222.515,1.288e+10,5.830e-10,1.288e+10,
222.520,6.818e+9,5.827e-10,6.818e+9,
222.525,3.261e+9,5.824e-10,3.261e+9,
222.530,1.410e+9,5.820e-10,1.410e+9,
222.535,5.512e+8,5.817e-10,5.512e+8,
222.540,1.948e+8,5.813e-10,1.948e+8,
222.545,6.220e+7,5.810e-10,6.220e+7,
222.550,1.799e+7,5.806e-10,1.799e+7,
222.555,4.874e+6,5.803e-10,4.874e+6,
222.560,1.968e+6,5.800e-10,1.968e+6,
222.565,3.814e+6,5.796e-10,3.814e+6,
222.570,1.346e+7,5.793e-10,1.346e+7,
222.575,4.548e+7,5.789e-10,4.548e+7,
222.580,1.393e+8,5.786e-10,1.393e+8,
222.585,3.859e+8,5.782e-10,3.859e+8,
222.590,9.664e+8,5.779e-10,9.664e+8,
222.595,2.188e+9,5.776e-10,2.188e+9,
222.600,4.478e+9,5.772e-10,4.478e+9,
222.605,8.285e+9,5.769e-10,8.285e+9,
222.610,1.386e+10,5.765e-10,1.386e+10,
222.615,2.096e+10,5.762e-10,2.096e+10,
222.620,2.865e+10,5.758e-10,2.865e+10,
222.625,3.541e+10,5.755e-10,3.541e+10,
222.630,3.957e+10,5.752e-10,3.957e+10,
222.635,3.997e+10,5.748e-10,3.997e+10,
222.640,3.650e+10,5.745e-10,3.650e+10,
222.645,3.014e+10,5.741e-10,3.014e+10,
222.650,2.249e+10,5.738e-10,2.249e+10,
222.655,1.518e+10,5.734e-10,1.518e+10,
222.660,9.258e+9,5.731e-10,9.258e+9,
222.665,5.105e+9,5.728e-10,5.105e+9,
222.670,2.545e+9,5.724e-10,2.545e+9,
222.675,1.147e+9,5.721e-10,1.147e+9,
222.680,4.674e+8,5.717e-10,4.674e+8,
222.685,1.722e+8,5.714e-10,1.722e+8,
222.690,5.734e+7,5.710e-10,5.734e+7,
222.695,1.726e+7,5.707e-10,1.726e+7,
222.700,4.699e+6,5.704e-10,4.699e+6,
222.705,1.156e+6,5.700e-10,1.156e+6,
222.710,2.572e+5,5.697e-10,2.572e+5,
222.715,5.172e+4,5.693e-10,5.172e+4,
222.720,9.403e+3,5.690e-10,9.403e+3,
222.725,1.545e+3,5.686e-10,1.545e+3,
222.730,2.296e+2,5.683e-10,2.296e+2,
222.735,3.085e+1,5.680e-10,3.085e+1,
222.740,3.746e+0,5.676e-10,3.746e+0,
222.745,4.113e-1,5.673e-10,4.113e-1,
222.750,4.082e-2,5.669e-10,4.082e-2,
222.755,3.663e-3,5.666e-10,3.663e-3,
222.760,2.971e-4,5.662e-10,2.971e-4,
222.765,2.179e-5,5.659e-10,2.179e-5,
222.770,1.445e-6,5.656e-10,1.445e-6,
222.775,8.659e-8,5.652e-10,8.659e-8,
224.307,4.602e-10,4.602e-10,4.522e-8,
224.312,7.943e-9,7.943e-9,4.509e-8,
224.317,1.241e-7,1.241e-7,4.495e-8,
224.322,1.757e-6,1.757e-6,4.482e-8,
224.327,2.252e-5,2.252e-5,4.468e-8,
224.332,2.613e-4,2.613e-4,4.455e-8,
224.337,2.746e-3,2.746e-3,4.441e-8,
224.342,2.613e-2,2.613e-2,4.428e-8,
224.347,2.251e-1,2.251e-1,4.414e-8,
224.352,1.757e+0,1.757e+0,4.401e-8,
224.357,1.241e+1,1.241e+1,4.387e-8,
224.362,7.940e+1,7.940e+1,4.374e-8,
224.367,4.600e+2,4.600e+2,4.360e-8,
224.372,2.413e+3,2.413e+3,4.347e-8,
224.377,1.146e+4,1.146e+4,4.333e-8,
224.382,4.930e+4,4.930e+4,4.320e-8,
224.387,1.920e+5,1.920e+5,4.306e-8,
224.392,6.773e+5,6.773e+5,4.293e-8,
224.397,2.163e+6,2.163e+6,4.279e-8,
224.402,6.255e+6,6.255e+6,4.266e-8,
224.407,1.638e+7,1.638e+7,4.252e-8,
224.412,3.885e+7,3.885e+7,4.239e-8,
224.417,8.341e+7,8.341e+7,4.225e-8,
224.422,1.622e+8,1.622e+8,4.212e-8,
224.427,2.856e+8,2.856e+8,4.198e-8,
224.432,4.553e+8,4.553e+8,4.185e-8,
224.437,6.573e+8,6.573e+8,4.171e-8,
224.442,8.593e+8,8.593e+8,4.158e-8,
224.447,1.017e+9,1.017e+9,4.144e-8,
224.452,1.090e+9,1.090e+9,4.131e-8,
224.457,1.058e+9,1.058e+9,4.117e-8,
224.462,9.303e+8,9.303e+8,4.104e-8,
224.467,7.405e+8,7.405e+8,4.090e-8,
224.472,5.337e+8,5.337e+8,4.077e-8,
224.477,3.483e+8,3.483e+8,4.063e-8,
224.482,2.058e+8,2.058e+8,4.050e-8,
224.487,1.101e+8,1.101e+8,4.036e-8,
224.492,5.337e+7,5.337e+7,4.023e-8,
224.497,2.342e+7,2.342e+7,4.009e-8,
224.502,9.304e+6,9.304e+6,3.996e-8,
224.507,3.347e+6,3.347e+6,3.982e-8,
224.512,1.091e+6,1.091e+6,3.969e-8,
224.517,3.217e+5,3.217e+5,3.955e-8,
224.522,8.595e+4,8.595e+4,3.942e-8,
224.527,2.079e+4,2.079e+4,3.928e-8,
224.532,4.554e+3,4.554e+3,3.915e-8,
224.537,9.033e+2,9.033e+2,3.901e-8,
224.542,1.622e+2,1.622e+2,3.888e-8,
224.547,2.638e+1,2.638e+1,3.874e-8,
224.552,3.886e+0,3.886e+0,3.861e-8,
224.557,5.182e-1,5.182e-1,3.847e-8,
224.562,6.257e-2,6.257e-2,3.834e-8,
224.567,6.842e-3,6.842e-3,3.820e-8,
224.572,6.775e-4,6.775e-4,3.807e-8,
224.577,6.075e-5,6.075e-5,3.793e-8,
224.582,4.932e-6,4.932e-6,3.780e-8,
224.587,3.626e-7,3.626e-7,3.766e-8,
224.592,2.414e-8,2.414e-8,3.753e-8,
224.597,1.455e-9,1.455e-9,3.739e-8,
225.208,8.727e-11,8.727e-11,2.090e-8,
225.213,1.562e-9,1.562e-9,2.076e-8,
225.218,2.533e-8,2.533e-8,2.063e-8,
225.223,3.724e-7,3.724e-7,2.049e-8,
225.228,4.960e-6,4.960e-6,2.036e-8,
225.233,5.988e-5,5.988e-5,2.022e-8,
225.238,6.551e-4,6.551e-4,2.009e-8,
225.243,6.495e-3,6.494e-3,3.454e-7,
225.248,5.835e-2,5.835e-2,5.382e-6,
225.253,4.751e-1,4.751e-1,7.601e-5,
225.258,3.506e+0,3.505e+0,9.727e-4,
225.263,2.345e+1,2.344e+1,1.128e-2,
225.268,1.422e+2,1.420e+2,1.186e-1,
225.273,7.812e+2,7.800e+2,1.130e+0,
225.278,3.892e+3,3.882e+3,9.752e+0,
225.283,1.758e+4,1.751e+4,7.630e+1,
225.288,7.210e+4,7.156e+4,5.410e+2,
225.293,2.685e+5,2.651e+5,3.476e+3,
225.298,9.100e+5,8.897e+5,2.024e+4,
225.303,2.813e+6,2.707e+6,1.068e+5,
225.308,7.972e+6,7.461e+6,5.109e+5,
225.313,2.086e+7,1.864e+7,2.215e+6,
225.318,5.090e+7,4.220e+7,8.699e+6,
225.323,1.176e+8,8.659e+7,3.097e+7,
225.328,2.609e+8,1.610e+8,9.991e+7,
225.333,5.634e+8,2.713e+8,2.921e+8,
225.338,1.188e+9,4.143e+8,7.740e+8,
225.343,2.432e+9,5.734e+8,1.859e+9,
225.348,4.764e+9,7.191e+8,4.045e+9,
225.353,8.794e+9,8.172e+8,7.977e+9,
225.358,1.510e+10,8.417e+8,1.426e+10,
225.363,2.388e+10,7.857e+8,2.309e+10,
225.368,3.457e+10,6.646e+8,3.390e+10,
225.373,4.561e+10,5.095e+8,4.510e+10,
225.378,5.473e+10,3.539e+8,5.438e+10,
225.383,5.964e+10,2.228e+8,5.941e+10,
225.388,5.896e+10,1.271e+8,5.883e+10,
225.393,5.286e+10,6.573e+7,5.279e+10,
225.398,4.297e+10,3.080e+7,4.294e+10,
225.403,3.166e+10,1.308e+7,3.165e+10,
225.408,2.114e+10,5.054e+6,2.114e+10,
225.413,1.280e+10,1.837e+6,1.279e+10,
225.418,7.020e+9,8.477e+5,7.019e+9,
225.423,3.491e+9,1.103e+6,3.490e+9,
225.428,1.575e+9,2.800e+6,1.572e+9,
225.433,6.493e+8,7.314e+6,6.420e+8,
225.438,2.551e+8,1.753e+7,2.376e+8,
225.443,1.178e+8,3.812e+7,7.967e+7,
225.448,9.935e+7,7.513e+7,2.421e+7,
225.453,1.409e+8,1.342e+8,6.669e+6,
225.458,2.190e+8,2.173e+8,1.665e+6,
225.463,3.193e+8,3.189e+8,3.766e+5,
225.468,4.243e+8,4.242e+8,7.720e+4,
225.473,5.113e+8,5.113e+8,1.434e+4,
225.478,5.586e+8,5.586e+8,2.415e+3,
225.483,5.532e+8,5.532e+8,3.685e+2,
225.488,4.965e+8,4.965e+8,5.096e+1,
225.493,4.038e+8,4.038e+8,6.387e+0,
225.498,2.977e+8,2.977e+8,7.254e-1,
225.503,1.989e+8,1.989e+8,7.467e-2,
225.508,1.205e+8,1.205e+8,6.965e-3,
225.513,6.612e+7,6.612e+7,5.888e-4,
225.518,3.289e+7,3.289e+7,4.511e-5,
225.523,1.483e+7,1.483e+7,3.132e-6,
225.528,6.059e+6,6.059e+6,1.971e-7,
225.533,2.244e+6,2.244e+6,1.960e-7,
225.538,7.533e+5,7.533e+5,1.949e-7,
225.543,2.292e+5,2.292e+5,1.939e-7,
225.548,6.319e+4,6.319e+4,1.928e-7,
225.553,1.579e+4,1.579e+4,1.917e-7,
225.558,3.577e+3,3.577e+3,1.906e-7,
225.563,7.343e+2,7.343e+2,1.896e-7,
225.568,1.366e+2,1.366e+2,1.885e-7,
225.573,2.304e+1,2.304e+1,1.874e-7,
225.578,3.521e+0,3.521e+0,1.863e-7,
225.583,4.877e-1,4.877e-1,1.853e-7,
225.588,6.123e-2,6.123e-2,1.842e-7,
225.593,6.967e-3,6.967e-3,1.831e-7,
225.598,7.185e-4,7.185e-4,1.820e-7,
225.603,6.716e-5,6.716e-5,1.810e-7,
225.608,5.689e-6,5.689e-6,1.799e-7,
225.613,4.368e-7,4.368e-7,1.788e-7,
225.618,3.040e-8,3.040e-8,1.777e-7,
225.623,1.917e-9,1.917e-9,1.767e-7,
225.668,2.141e-10,2.141e-10,1.670e-7,
225.673,3.642e-9,3.642e-9,1.659e-7,
225.678,5.616e-8,5.616e-8,1.648e-7,
225.683,7.851e-7,7.851e-7,1.638e-7,
225.688,9.951e-6,9.951e-6,1.627e-7,
225.693,1.143e-4,1.143e-4,1.616e-7,
225.698,1.191e-3,1.191e-3,1.605e-7,
225.703,1.125e-2,1.125e-2,1.595e-7,
225.708,9.633e-2,9.633e-2,1.584e-7,
225.713,7.478e-1,7.478e-1,1.573e-7,
225.718,5.262e+0,5.262e+0,1.562e-7,
225.723,3.358e+1,3.358e+1,1.552e-7,
225.728,1.942e+2,1.942e+2,1.541e-7,
225.733,1.019e+3,1.019e+3,1.530e-7,
225.738,4.842e+3,4.842e+3,1.519e-7,
225.743,2.087e+4,2.087e+4,1.509e-7,
225.748,8.156e+4,8.156e+4,1.498e-7,
225.753,2.889e+5,2.889e+5,1.487e-7,
225.758,9.280e+5,9.280e+5,1.476e-7,
225.763,2.702e+6,2.702e+6,1.466e-7,
225.768,7.134e+6,7.134e+6,1.455e-7,
225.773,1.707e+7,1.707e+7,1.444e-7,
225.778,3.704e+7,3.704e+7,1.433e-7,
225.783,7.287e+7,7.287e+7,1.423e-7,
225.788,1.300e+8,1.300e+8,1.412e-7,
225.793,2.101e+8,2.101e+8,1.401e-7,
225.798,3.080e+8,3.080e+8,1.390e-7,
225.803,4.093e+8,4.093e+8,1.380e-7,
225.808,4.931e+8,4.931e+8,1.369e-7,
225.813,5.386e+8,5.386e+8,1.358e-7,
225.818,5.334e+8,5.334e+8,1.347e-7,
225.823,4.788e+8,4.788e+8,1.337e-7,
225.828,3.897e+8,3.897e+8,1.326e-7,
225.833,2.876e+8,2.876e+8,1.315e-7,
225.838,1.924e+8,1.924e+8,1.304e-7,
225.843,1.167e+8,1.167e+8,1.294e-7,
225.848,6.415e+7,6.415e+7,1.283e-7,
225.853,3.198e+7,3.198e+7,1.272e-7,
225.858,1.445e+7,1.445e+7,1.261e-7,
225.863,5.921e+6,5.921e+6,1.251e-7,
225.868,2.199e+6,2.199e+6,1.240e-7,
225.873,7.407e+5,7.407e+5,1.229e-7,
225.878,2.261e+5,2.261e+5,1.218e-7,
225.883,6.259e+4,6.259e+4,1.208e-7,
225.888,1.571e+4,1.571e+4,1.197e-7,
225.893,3.573e+3,3.573e+3,1.186e-7,
225.898,7.369e+2,7.369e+2,1.175e-7,
225.903,1.378e+2,1.378e+2,1.165e-7,
225.908,2.336e+1,2.336e+1,1.154e-7,
225.913,3.590e+0,3.590e+0,1.143e-7,
225.918,5.002e-1,5.002e-1,1.132e-7,
225.923,6.319e-2,6.319e-2,1.122e-7,
225.928,7.237e-3,7.237e-3,1.111e-7,
225.933,7.513e-4,7.513e-4,1.100e-7,
225.938,7.072e-5,7.072e-5,1.089e-7,
225.943,6.035e-6,6.035e-6,1.079e-7,
225.948,4.669e-7,4.669e-7,1.068e-7,
225.953,3.275e-8,3.275e-8,1.057e-7,
225.958,2.083e-9,2.083e-9,1.046e-7,
225.963,1.201e-10,1.201e-10,1.036e-7,
226.299,3.133e-8,1.122e-10,3.133e-8,
226.304,5.245e-7,1.121e-10,5.245e-7,
226.309,7.966e-6,1.120e-10,7.966e-6,
226.314,1.097e-4,1.119e-10,1.097e-4,
226.319,1.371e-3,1.118e-10,1.371e-3,
226.324,1.555e-2,1.116e-10,1.555e-2,
226.329,1.599e-1,1.115e-10,1.599e-1,
226.334,1.491e+0,1.114e-10,1.491e+0,
226.339,1.261e+1,1.113e-10,1.261e+1,
226.344,9.681e+1,1.112e-10,9.681e+1,
226.349,6.740e+2,1.111e-10,6.740e+2,
226.354,4.256e+3,1.109e-10,4.256e+3,
226.359,2.438e+4,1.108e-10,2.438e+4,
226.364,1.267e+5,1.107e-10,1.267e+5,
226.369,5.971e+5,1.106e-10,5.971e+5,
226.374,2.553e+6,1.105e-10,2.553e+6,
226.379,9.900e+6,1.104e-10,9.900e+6,
226.384,3.483e+7,1.102e-10,3.483e+7,
226.389,1.111e+8,1.101e-10,1.111e+8,
226.394,3.217e+8,1.100e-10,3.217e+8,
226.399,8.446e+8,1.099e-10,8.446e+8,
226.404,2.012e+9,1.098e-10,2.012e+9,
226.409,4.346e+9,1.097e-10,4.346e+9,
226.414,8.517e+9,1.095e-10,8.517e+9,
226.419,1.514e+10,1.094e-10,1.514e+10,
226.424,2.441e+10,1.093e-10,2.441e+10,
226.429,3.571e+10,1.092e-10,3.571e+10,
226.434,4.738e+10,1.091e-10,4.738e+10,
226.439,5.702e+10,1.090e-10,5.702e+10,
226.444,6.225e+10,1.088e-10,6.225e+10,
226.449,6.165e+10,1.087e-10,6.165e+10,
226.454,5.538e+10,1.086e-10,5.538e+10,
226.459,4.512e+10,1.085e-10,4.512e+10,
226.464,3.335e+10,1.084e-10,3.335e+10,
226.469,2.236e+10,1.083e-10,2.236e+10,
226.474,1.360e+10,1.081e-10,1.360e+10,
226.479,7.503e+9,1.080e-10,7.503e+9,
226.484,3.755e+9,1.079e-10,3.755e+9,
226.489,1.704e+9,1.078e-10,1.704e+9,
226.494,7.018e+8,1.077e-10,7.018e+8,
226.499,2.621e+8,1.076e-10,2.621e+8,
226.504,8.880e+7,1.074e-10,8.880e+7,
226.509,2.729e+7,1.073e-10,2.729e+7,
226.514,7.608e+6,1.072e-10,7.608e+6,
226.519,1.924e+6,1.071e-10,1.924e+6,
226.524,4.413e+5,1.070e-10,4.413e+5,
226.529,9.182e+4,1.069e-10,9.182e+4,
226.534,1.733e+4,1.067e-10,1.733e+4,
226.539,2.967e+3,1.066e-10,2.967e+3,
226.544,4.608e+2,1.065e-10,4.608e+2,
226.549,6.491e+1,1.064e-10,6.491e+1,
226.554,8.295e+0,1.063e-10,8.295e+0,
226.559,9.614e-1,1.061e-10,9.614e-1,
226.564,1.011e-1,1.060e-10,1.011e-1,
226.569,9.641e-3,1.059e-10,9.641e-3,
226.574,8.341e-4,1.058e-10,8.341e-4,
226.579,6.546e-5,1.057e-10,6.546e-5,
226.584,4.660e-6,1.056e-10,4.660e-6,
226.589,3.009e-7,1.054e-10,3.009e-7,
226.594,1.762e-8,1.053e-10,1.762e-8,
226.874,5.880e-8,9.880e-11,5.880e-8,
226.879,9.705e-7,9.868e-11,9.705e-7,
226.884,1.454e-5,9.856e-11,1.454e-5,
226.889,1.976e-4,9.845e-11,1.976e-4,
226.894,2.439e-3,9.833e-11,2.439e-3,
226.899,2.730e-2,9.821e-11,2.730e-2,
226.904,2.775e-1,9.810e-11,2.775e-1,
226.909,2.559e+0,9.798e-11,2.559e+0,
226.914,2.142e+1,9.786e-11,2.142e+1,
226.919,1.627e+2,9.775e-11,1.627e+2,
226.924,1.121e+3,9.763e-11,1.121e+3,
226.929,7.016e+3,9.751e-11,7.016e+3,
226.934,3.984e+4,9.740e-11,3.984e+4,
226.939,2.053e+5,9.728e-11,2.053e+5,
226.944,9.599e+5,9.716e-11,9.599e+5,
226.949,4.074e+6,9.705e-11,4.074e+6,
226.954,1.569e+7,9.693e-11,1.569e+7,
226.959,5.485e+7,9.681e-11,5.485e+7,
226.964,1.740e+8,9.670e-11,1.740e+8,
226.969,5.010e+8,9.658e-11,5.010e+8,
226.974,1.309e+9,9.646e-11,1.309e+9,
226.979,3.104e+9,9.635e-11,3.104e+9,
226.984,6.680e+9,9.623e-11,6.680e+9,
226.989,1.305e+10,9.611e-11,1.305e+10,
226.994,2.312e+10,9.600e-11,2.312e+10,
226.999,3.720e+10,9.588e-11,3.720e+10,
227.004,5.430e+10,9.576e-11,5.430e+10,
227.009,7.195e+10,9.565e-11,7.195e+10,
227.014,8.651e+10,9.553e-11,8.651e+10,
227.019,9.441e+10,9.541e-11,9.441e+10,
227.024,9.349e+10,9.530e-11,9.349e+10,
227.029,8.403e+10,9.518e-11,8.403e+10,
227.034,6.854e+10,9.506e-11,6.854e+10,
227.039,5.074e+10,9.495e-11,5.074e+10,
227.044,3.409e+10,9.483e-11,3.409e+10,
227.049,2.078e+10,9.471e-11,2.078e+10,
227.054,1.150e+10,9.460e-11,1.150e+10,
227.059,5.775e+9,9.448e-11,5.775e+9,
227.064,2.632e+9,9.436e-11,2.632e+9,
227.069,1.089e+9,9.425e-11,1.089e+9,
227.074,4.086e+8,9.413e-11,4.086e+8,
227.079,1.392e+8,9.401e-11,1.392e+8,
227.084,4.304e+7,9.390e-11,4.304e+7,
227.089,1.208e+7,9.378e-11,1.208e+7,
227.094,3.075e+6,9.366e-11,3.075e+6,
227.099,7.106e+5,9.355e-11,7.106e+5,
227.104,1.490e+5,9.343e-11,1.490e+5,
227.109,2.837e+4,9.331e-11,2.837e+4,
227.114,4.900e+3,9.320e-11,4.900e+3,
227.119,7.682e+2,9.308e-11,7.682e+2,
227.124,1.093e+2,9.296e-11,1.093e+2,
227.129,1.411e+1,9.285e-11,1.411e+1,
227.134,1.654e+0,9.273e-11,1.654e+0,
227.139,1.759e-1,9.261e-11,1.759e-1,
227.144,1.697e-2,9.250e-11,1.697e-2,
227.149,1.487e-3,9.238e-11,1.487e-3,
227.154,1.182e-4,9.226e-11,1.182e-4,
227.159,8.527e-6,9.215e-11,8.527e-6,
227.164,5.583e-7,9.203e-11,5.583e-7,
227.169,3.317e-8,9.191e-11,3.317e-8,
227.730,5.205e-8,7.882e-11,5.205e-8,
227.735,8.413e-7,7.870e-11,8.413e-7,
227.740,1.235e-5,7.858e-11,1.235e-5,
227.745,1.646e-4,7.847e-11,1.646e-4,
227.750,1.993e-3,7.835e-11,1.993e-3,
227.755,2.192e-2,7.823e-11,2.192e-2,
227.760,2.189e-1,7.812e-11,2.189e-1,
227.765,1.986e+0,7.800e-11,1.986e+0,
227.770,1.636e+1,7.788e-11,1.636e+1,
227.775,1.224e+2,7.777e-11,1.224e+2,
227.780,8.314e+2,7.765e-11,8.314e+2,
227.785,5.130e+3,7.753e-11,5.130e+3,
227.790,2.875e+4,7.742e-11,2.875e+4,
227.795,1.463e+5,7.730e-11,1.463e+5,
227.800,6.765e+5,7.718e-11,6.765e+5,
227.805,2.840e+6,7.707e-11,2.840e+6,
227.810,1.083e+7,7.695e-11,1.083e+7,
227.815,3.750e+7,7.683e-11,3.750e+7,
227.820,1.179e+8,7.672e-11,1.179e+8,
227.825,3.369e+8,7.660e-11,3.369e+8,
227.830,8.739e+8,7.648e-11,8.739e+8,
227.835,2.059e+9,7.637e-11,2.059e+9,
227.840,4.405e+9,7.625e-11,4.405e+9,
227.845,8.561e+9,7.613e-11,8.561e+9,
227.850,1.511e+10,7.602e-11,1.511e+10,
227.855,2.422e+10,7.590e-11,2.422e+10,
227.860,3.526e+10,7.578e-11,3.526e+10,
227.865,4.661e+10,7.567e-11,4.661e+10,
227.870,5.597e+10,7.555e-11,5.597e+10,
227.875,6.104e+10,7.543e-11,6.104e+10,
227.880,6.045e+10,7.532e-11,6.045e+10,
227.885,5.438e+10,7.520e-11,5.438e+10,
227.890,4.442e+10,7.508e-11,4.442e+10,
227.895,3.296e+10,7.497e-11,3.296e+10,
227.900,2.221e+10,7.485e-11,2.221e+10,
227.905,1.359e+10,7.473e-11,1.359e+10,
227.910,7.554e+9,7.462e-11,7.554e+9,
227.915,3.813e+9,7.450e-11,3.813e+9,
