Wavelength (nm),Sum(calc),Mn I (3.3e-2),Mn II (9.6e-1)
284.663,1.522e+7,1.616e-9,1.522e+7
284.668,7.124e+6,1.616e-9,7.124e+6
284.673,3.134e+6,1.615e-9,3.134e+6
284.678,1.297e+6,1.615e-9,1.297e+6
284.683,5.042e+5,1.614e-9,5.042e+5
284.688,1.843e+5,1.614e-9,1.843e+5
284.693,6.336e+4,1.613e-9,6.336e+4
284.698,2.048e+4,1.613e-9,2.048e+4
284.703,6.221e+3,1.612e-9,6.221e+3
284.708,1.777e+3,1.612e-9,1.777e+3
284.713,4.771e+2,1.611e-9,4.771e+2
284.718,1.204e+2,1.610e-9,1.204e+2
284.723,2.858e+1,1.610e-9,2.858e+1
284.728,6.378e+0,1.609e-9,6.378e+0
284.733,1.338e+0,1.609e-9,1.338e+0
284.738,2.639e-1,1.608e-9,2.639e-1
284.743,4.892e-2,1.608e-9,4.892e-2
284.748,8.527e-3,1.607e-9,8.527e-3
284.753,1.397e-3,1.607e-9,1.397e-3
284.758,2.153e-4,1.606e-9,2.153e-4
284.763,3.118e-5,1.606e-9,3.118e-5
284.768,4.246e-6,1.605e-9,4.246e-6
284.773,5.436e-7,1.605e-9,5.436e-7
284.778,6.542e-8,1.604e-9,6.542e-8
284.783,7.403e-9,1.604e-9,7.403e-9
284.788,7.875e-10,1.603e-9,7.875e-10
285.333,8.495e-11,1.548e-9,8.495e-11
285.338,8.167e-10,1.548e-9,8.167e-10
285.343,7.384e-9,1.547e-9,7.384e-9
285.348,6.280e-8,1.547e-9,6.280e-8
285.353,5.022e-7,1.546e-9,5.022e-7
285.358,3.778e-6,1.546e-9,3.778e-6
285.363,2.673e-5,1.545e-9,2.673e-5
285.367,1.223e-4,1.545e-9,1.223e-4
285.372,7.750e-4,1.544e-9,7.750e-4
285.377,4.618e-3,1.544e-9,4.618e-3
285.382,2.588e-2,1.543e-9,2.588e-2
285.387,1.364e-1,1.543e-9,1.364e-1
285.392,6.761e-1,1.542e-9,6.761e-1
285.397,3.152e+0,1.542e-9,3.152e+0
285.402,1.382e+1,1.541e-9,1.382e+1
285.407,5.700e+1,1.541e-9,5.700e+1
285.412,2.211e+2,1.540e-9,2.211e+2
285.417,8.064e+2,1.540e-9,8.064e+2
285.422,2.767e+3,1.539e-9,2.767e+3
285.427,8.927e+3,1.539e-9,8.927e+3
285.432,2.709e+4,1.538e-9,2.709e+4
285.437,7.733e+4,1.538e-9,7.733e+4
285.442,2.076e+5,1.537e-9,2.076e+5
285.447,5.241e+5,1.537e-9,5.241e+5
285.452,1.244e+6,1.536e-9,1.244e+6
285.457,2.779e+6,1.536e-9,2.779e+6
285.462,5.837e+6,1.535e-9,5.837e+6
285.467,1.153e+7,1.535e-9,1.153e+7
285.472,2.142e+7,1.534e-9,2.142e+7
285.477,3.744e+7,1.534e-9,3.744e+7
285.482,6.153e+7,1.533e-9,6.153e+7
285.487,9.510e+7,1.533e-9,9.510e+7
285.492,1.382e+8,1.532e-9,1.382e+8
285.497,1.890e+8,1.532e-9,1.890e+8
285.502,2.431e+8,1.531e-9,2.431e+8
285.507,2.940e+8,1.531e-9,2.940e+8
285.512,3.344e+8,1.530e-9,3.344e+8
285.517,3.577e+8,1.530e-9,3.577e+8
285.522,3.599e+8,1.529e-9,3.599e+8
285.527,3.406e+8,1.529e-9,3.406e+8
285.532,3.031e+8,1.528e-9,3.031e+8
285.537,2.538e+8,1.528e-9,2.538e+8
285.542,1.998e+8,1.527e-9,1.998e+8
285.547,1.481e+8,1.527e-9,1.481e+8
285.552,1.036e+8,1.526e-9,1.036e+8
285.557,6.884e+7,1.526e-9,6.884e+7
285.562,4.461e+7,1.525e-9,4.461e+7
285.567,3.041e+7,1.525e-9,3.041e+7
285.572,2.548e+7,1.524e-9,2.548e+7
285.577,2.941e+7,1.524e-9,2.941e+7
285.582,4.238e+7,1.523e-9,4.238e+7
285.587,6.499e+7,1.522e-9,6.499e+7
285.592,9.758e+7,1.522e-9,9.758e+7
285.597,1.394e+8,1.521e-9,1.394e+8
285.602,1.880e+8,1.521e-9,1.880e+8
285.607,2.387e+8,1.520e-9,2.387e+8
285.612,2.851e+8,1.520e-9,2.851e+8
285.617,3.203e+8,1.519e-9,3.203e+8
285.622,3.385e+8,1.519e-9,3.385e+8
285.627,3.364e+8,1.518e-9,3.364e+8
285.632,3.145e+8,1.518e-9,3.145e+8
285.637,2.765e+8,1.517e-9,2.765e+8
285.642,2.287e+8,1.517e-9,2.287e+8
285.647,1.779e+8,1.516e-9,1.779e+8
285.652,1.301e+8,1.516e-9,1.301e+8
285.657,8.953e+7,1.515e-9,8.953e+7
285.662,5.794e+7,1.515e-9,5.794e+7
285.667,3.527e+7,1.514e-9,3.527e+7
285.672,2.019e+7,1.514e-9,2.019e+7
285.677,1.087e+7,1.513e-9,1.087e+7
285.682,5.506e+6,1.513e-9,5.506e+6
285.687,2.623e+6,1.512e-9,2.623e+6
285.692,1.175e+6,1.512e-9,1.175e+6
285.697,4.952e+5,1.511e-9,4.952e+5
285.702,1.963e+5,1.511e-9,1.963e+5
285.707,7.317e+4,1.510e-9,7.317e+4
285.712,2.566e+4,1.510e-9,2.566e+4
285.717,8.461e+3,1.509e-9,8.461e+3
285.722,2.624e+3,1.509e-9,2.624e+3
285.727,7.656e+2,1.508e-9,7.656e+2
285.732,2.101e+2,1.508e-9,2.101e+2
285.737,5.422e+1,1.507e-9,5.422e+1
285.742,1.316e+1,1.507e-9,1.316e+1
285.747,3.005e+0,1.506e-9,3.005e+0
285.752,6.452e-1,1.506e-9,6.452e-1
285.757,1.303e-1,1.505e-9,1.303e-1
285.762,2.475e-2,1.505e-9,2.475e-2
285.767,4.423e-3,1.504e-9,4.423e-3
285.772,7.432e-4,1.504e-9,7.432e-4
285.777,1.175e-4,1.503e-9,1.175e-4
285.782,1.746e-5,1.503e-9,1.746e-5
285.787,2.442e-6,1.502e-9,2.442e-6
285.792,3.211e-7,1.502e-9,3.211e-7
285.797,3.972e-8,1.501e-9,3.972e-8
285.802,4.621e-9,1.501e-9,4.621e-9
285.807,5.057e-10,1.500e-9,5.057e-10
285.812,5.204e-11,1.500e-9,5.204e-11
285.942,9.009e-12,1.487e-9,9.009e-12
285.947,8.683e-11,1.486e-9,8.683e-11
285.952,7.874e-10,1.486e-9,7.874e-10
285.957,6.717e-9,1.485e-9,6.717e-9
285.962,5.390e-8,1.485e-9,5.390e-8
285.967,4.070e-7,1.484e-9,4.070e-7
285.972,2.890e-6,1.484e-9,2.890e-6
285.977,1.931e-5,1.483e-9,1.931e-5
285.982,1.214e-4,1.482e-9,1.214e-4
285.987,7.180e-4,1.482e-9,7.180e-4
285.992,3.995e-3,1.481e-9,3.995e-3
285.997,2.091e-2,1.481e-9,2.091e-2
286.002,1.030e-1,1.480e-9,1.030e-1
286.007,4.770e-1,1.480e-9,4.770e-1
286.012,2.079e+0,1.479e-9,2.079e+0
286.017,8.528e+0,1.479e-9,8.528e+0
286.022,3.291e+1,1.478e-9,3.291e+1
286.027,1.195e+2,1.478e-9,1.195e+2
286.032,4.083e+2,1.477e-9,4.083e+2
286.037,1.313e+3,1.477e-9,1.313e+3
286.042,3.976e+3,1.476e-9,3.976e+3
286.047,1.133e+4,1.476e-9,1.133e+4
286.052,3.041e+4,1.475e-9,3.041e+4
286.057,7.689e+4,1.475e-9,7.689e+4
286.062,1.832e+5,1.474e-9,1.832e+5
286.067,4.117e+5,1.474e-9,4.117e+5
286.072,8.730e+5,1.473e-9,8.730e+5
286.077,1.749e+6,1.473e-9,1.749e+6
286.082,3.312e+6,1.472e-9,3.312e+6
286.087,5.942e+6,1.472e-9,5.942e+6
286.092,1.011e+7,1.471e-9,1.011e+7
286.097,1.637e+7,1.471e-9,1.637e+7
286.102,2.525e+7,1.470e-9,2.525e+7
286.107,3.720e+7,1.470e-9,3.720e+7
286.112,5.248e+7,1.469e-9,5.248e+7
286.117,7.101e+7,1.469e-9,7.101e+7
286.122,9.231e+7,1.468e-9,9.231e+7
286.127,1.153e+8,1.468e-9,1.153e+8
286.132,1.384e+8,1.467e-9,1.384e+8
286.137,1.595e+8,1.467e-9,1.595e+8
286.142,1.759e+8,1.466e-9,1.759e+8
286.147,1.855e+8,1.466e-9,1.855e+8
286.152,1.864e+8,1.465e-9,1.864e+8
286.157,1.783e+8,1.465e-9,1.783e+8
286.162,1.618e+8,1.464e-9,1.618e+8
286.167,1.392e+8,1.464e-9,1.392e+8
286.172,1.136e+8,1.463e-9,1.136e+8
286.177,8.798e+7,1.463e-9,8.798e+7
286.182,6.533e+7,1.462e-9,6.533e+7
286.187,4.768e+7,1.462e-9,4.768e+7
286.192,3.630e+7,1.461e-9,3.630e+7
286.197,3.173e+7,1.461e-9,3.173e+7
286.202,3.403e+7,1.460e-9,3.403e+7
286.207,4.280e+7,1.460e-9,4.280e+7
286.212,5.720e+7,1.459e-9,5.720e+7
286.217,7.575e+7,1.459e-9,7.575e+7
286.222,9.624e+7,1.458e-9,9.624e+7
286.227,1.158e+8,1.458e-9,1.158e+8
286.232,1.315e+8,1.457e-9,1.315e+8
286.237,1.406e+8,1.457e-9,1.406e+8
286.241,1.419e+8,1.456e-9,1.419e+8
286.246,1.360e+8,1.456e-9,1.360e+8
286.251,1.226e+8,1.455e-9,1.226e+8
286.256,1.040e+8,1.455e-9,1.040e+8
286.261,8.294e+7,1.454e-9,8.294e+7
286.266,6.226e+7,1.454e-9,6.226e+7
286.271,4.397e+7,1.453e-9,4.397e+7
286.276,2.921e+7,1.453e-9,2.921e+7
286.281,1.826e+7,1.452e-9,1.826e+7
286.286,1.074e+7,1.452e-9,1.074e+7
286.291,5.941e+6,1.451e-9,5.941e+6
286.296,3.092e+6,1.451e-9,3.092e+6
286.301,1.514e+6,1.450e-9,1.514e+6
286.306,6.976e+5,1.450e-9,6.976e+5
286.311,3.024e+5,1.449e-9,3.024e+5
286.316,1.233e+5,1.449e-9,1.233e+5
286.321,4.730e+4,1.448e-9,4.730e+4
286.326,1.707e+4,1.448e-9,1.707e+4
286.331,5.796e+3,1.447e-9,5.796e+3
286.336,1.851e+3,1.447e-9,1.851e+3
286.341,5.565e+2,1.446e-9,5.565e+2
286.346,1.574e+2,1.446e-9,1.574e+2
286.351,4.222e+1,1.445e-9,4.222e+1
286.356,1.220e+1,1.445e-9,1.220e+1
286.361,1.005e+1,1.444e-9,1.005e+1
286.366,3.189e+1,1.444e-9,3.189e+1
286.371,1.221e+2,1.443e-9,1.221e+2
286.376,4.464e+2,1.443e-9,4.464e+2
286.381,1.538e+3,1.442e-9,1.538e+3
286.386,4.983e+3,1.442e-9,4.983e+3
286.391,1.519e+4,1.441e-9,1.519e+4
286.396,4.359e+4,1.441e-9,4.359e+4
286.401,1.177e+5,1.440e-9,1.177e+5
286.406,2.989e+5,1.440e-9,2.989e+5
286.411,7.143e+5,1.439e-9,7.143e+5
286.416,1.606e+6,1.439e-9,1.606e+6
286.421,3.398e+6,1.438e-9,3.398e+6
286.426,6.766e+6,1.438e-9,6.766e+6
286.431,1.267e+7,1.437e-9,1.267e+7
286.436,2.234e+7,1.437e-9,2.234e+7
286.441,3.706e+7,1.436e-9,3.706e+7
286.446,5.786e+7,1.435e-9,5.786e+7
286.451,8.503e+7,1.435e-9,8.503e+7
286.456,1.177e+8,1.434e-9,1.177e+8
286.461,1.534e+8,1.434e-9,1.534e+8
286.466,1.884e+8,1.433e-9,1.884e+8
286.471,2.184e+8,1.433e-9,2.184e+8
286.476,2.392e+8,1.432e-9,2.392e+8
286.481,2.481e+8,1.432e-9,2.481e+8
286.486,2.446e+8,1.431e-9,2.446e+8
286.491,2.305e+8,1.431e-9,2.305e+8
286.496,2.088e+8,1.430e-9,2.088e+8
286.501,1.836e+8,1.430e-9,1.836e+8
286.506,1.580e+8,1.429e-9,1.580e+8
286.511,1.343e+8,1.429e-9,1.343e+8
286.516,1.132e+8,1.428e-9,1.132e+8
286.521,9.454e+7,1.428e-9,9.454e+7
286.526,7.786e+7,1.427e-9,7.786e+7
286.531,6.266e+7,1.427e-9,6.266e+7
286.536,4.883e+7,1.426e-9,4.883e+7
286.541,3.655e+7,1.426e-9,3.655e+7
286.546,2.610e+7,1.425e-9,2.610e+7
286.551,1.770e+7,1.425e-9,1.770e+7
286.556,1.137e+7,1.424e-9,1.137e+7
286.561,6.894e+6,1.424e-9,6.894e+6
286.566,3.948e+6,1.423e-9,3.948e+6
286.571,2.139e+6,1.423e-9,2.139e+6
286.576,1.116e+6,1.422e-9,1.116e+6
286.581,6.061e+5,1.422e-9,6.061e+5
286.586,4.423e+5,1.421e-9,4.423e+5
286.591,5.589e+5,1.421e-9,5.589e+5
286.596,9.894e+5,1.420e-9,9.894e+5
286.601,1.859e+6,1.420e-9,1.859e+6
286.606,3.374e+6,1.419e-9,3.374e+6
286.611,5.792e+6,1.419e-9,5.792e+6
286.616,9.365e+6,1.418e-9,9.365e+6
286.621,1.425e+7,1.418e-9,1.425e+7
286.626,2.040e+7,1.417e-9,2.040e+7
286.631,2.749e+7,1.417e-9,2.749e+7
286.636,3.486e+7,1.416e-9,3.486e+7
286.641,4.158e+7,1.416e-9,4.158e+7
286.646,4.668e+7,1.415e-9,4.668e+7
286.651,4.931e+7,1.415e-9,4.931e+7
286.656,4.901e+7,1.414e-9,4.901e+7
286.661,4.584e+7,1.414e-9,4.584e+7
286.666,4.034e+7,1.413e-9,4.034e+7
286.671,3.340e+7,1.413e-9,3.340e+7
286.676,2.603e+7,1.412e-9,2.603e+7
286.681,1.908e+7,1.412e-9,1.908e+7
286.686,1.317e+7,1.411e-9,1.317e+7
286.691,8.547e+6,1.411e-9,8.547e+6
286.696,5.222e+6,1.410e-9,5.222e+6
286.701,3.002e+6,1.410e-9,3.002e+6
286.706,1.627e+6,1.409e-9,1.627e+6
286.711,8.367e+5,1.409e-9,8.367e+5
286.716,4.254e+5,1.408e-9,4.254e+5
286.721,2.576e+5,1.408e-9,2.576e+5
286.726,2.742e+5,1.407e-9,2.742e+5
286.731,4.982e+5,1.407e-9,4.982e+5
286.736,1.049e+6,1.406e-9,1.049e+6
286.741,2.169e+6,1.406e-9,2.169e+6
286.746,4.253e+6,1.405e-9,4.253e+6
286.751,7.856e+6,1.405e-9,7.856e+6
286.756,1.366e+7,1.404e-9,1.366e+7
286.761,2.235e+7,1.404e-9,2.235e+7
286.766,3.441e+7,1.403e-9,3.441e+7
286.771,4.986e+7,1.403e-9,4.986e+7
286.776,6.798e+7,1.402e-9,6.798e+7
286.781,8.722e+7,1.402e-9,8.722e+7
286.786,1.053e+8,1.401e-9,1.053e+8
286.791,1.196e+8,1.401e-9,1.196e+8
286.796,1.279e+8,1.400e-9,1.279e+8
286.801,1.287e+8,1.400e-9,1.287e+8
286.806,1.219e+8,1.399e-9,1.219e+8
286.811,1.086e+8,1.399e-9,1.086e+8
286.816,9.115e+7,1.398e-9,9.115e+7
286.821,7.212e+7,1.398e-9,7.212e+7
286.826,5.403e+7,1.397e-9,5.403e+7
286.831,3.877e+7,1.397e-9,3.877e+7
286.836,2.752e+7,1.396e-9,2.752e+7
286.841,2.082e+7,1.395e-9,2.082e+7
286.846,1.880e+7,1.395e-9,1.880e+7
286.851,2.136e+7,1.394e-9,2.136e+7
286.856,2.825e+7,1.394e-9,2.825e+7
286.861,3.898e+7,1.393e-9,3.898e+7
286.866,5.267e+7,1.393e-9,5.267e+7
286.871,6.792e+7,1.392e-9,6.792e+7
286.876,8.283e+7,1.392e-9,8.283e+7
286.881,9.523e+7,1.391e-9,9.523e+7
286.886,1.032e+8,1.391e-9,1.032e+8
286.891,1.055e+8,1.390e-9,1.055e+8
286.896,1.020e+8,1.390e-9,1.020e+8
286.901,9.404e+7,1.389e-9,9.404e+7
286.906,8.402e+7,1.389e-9,8.402e+7
286.911,7.527e+7,1.388e-9,7.527e+7
286.916,7.154e+7,1.388e-9,7.154e+7
286.921,7.652e+7,1.387e-9,7.652e+7
286.926,9.339e+7,1.387e-9,9.339e+7
286.931,1.246e+8,1.386e-9,1.246e+8
286.936,1.720e+8,1.386e-9,1.720e+8
286.941,2.371e+8,1.385e-9,2.371e+8
286.946,3.231e+8,1.385e-9,3.231e+8
286.951,4.371e+8,1.384e-9,4.371e+8
286.956,5.934e+8,1.384e-9,5.934e+8
286.961,8.154e+8,1.383e-9,8.154e+8
286.966,1.135e+9,1.383e-9,1.135e+9
286.971,1.585e+9,1.382e-9,1.585e+9
286.976,2.192e+9,1.382e-9,2.192e+9
286.981,2.956e+9,1.381e-9,2.956e+9
286.986,3.839e+9,1.381e-9,3.839e+9
286.991,4.761e+9,1.380e-9,4.761e+9
286.996,5.606e+9,1.380e-9,5.606e+9
287.001,6.245e+9,1.379e-9,6.245e+9
287.006,6.568e+9,1.379e-9,6.568e+9
287.011,6.512e+9,1.378e-9,6.512e+9
287.016,6.083e+9,1.378e-9,6.083e+9
287.021,5.351e+9,1.377e-9,5.351e+9
287.026,4.433e+9,1.377e-9,4.433e+9
287.031,3.457e+9,1.376e-9,3.457e+9
287.036,2.540e+9,1.376e-9,2.540e+9
287.041,1.759e+9,1.375e-9,1.759e+9
287.046,1.150e+9,1.375e-9,1.150e+9
287.051,7.116e+8,1.374e-9,7.116e+8
287.056,4.197e+8,1.374e-9,4.197e+8
287.061,2.387e+8,1.373e-9,2.387e+8
287.066,1.337e+8,1.373e-9,1.337e+8
287.071,7.609e+7,1.372e-9,7.609e+7
287.076,4.557e+7,1.372e-9,4.557e+7
287.081,2.933e+7,1.371e-9,2.933e+7
287.086,2.021e+7,1.371e-9,2.021e+7
287.091,1.470e+7,1.370e-9,1.470e+7
287.096,1.142e+7,1.370e-9,1.142e+7
287.101,1.008e+7,1.369e-9,1.008e+7
287.106,1.091e+7,1.369e-9,1.091e+7
287.110,1.344e+7,1.368e-9,1.344e+7
287.115,1.942e+7,1.368e-9,1.942e+7
287.120,2.893e+7,1.367e-9,2.893e+7
287.125,4.219e+7,1.367e-9,4.219e+7
287.130,5.893e+7,1.366e-9,5.893e+7
287.135,7.824e+7,1.366e-9,7.824e+7
287.140,9.846e+7,1.365e-9,9.846e+7
287.145,1.174e+8,1.365e-9,1.174e+8
287.150,1.327e+8,1.364e-9,1.327e+8
287.155,1.422e+8,1.364e-9,1.422e+8
287.160,1.445e+8,1.363e-9,1.445e+8
287.165,1.394e+8,1.363e-9,1.394e+8
287.170,1.275e+8,1.362e-9,1.275e+8
287.175,1.107e+8,1.362e-9,1.107e+8
287.180,9.123e+7,1.361e-9,9.123e+7
287.185,7.131e+7,1.361e-9,7.131e+7
287.190,5.287e+7,1.360e-9,5.287e+7
287.195,3.718e+7,1.360e-9,3.718e+7
287.200,2.482e+7,1.359e-9,2.482e+7
287.205,1.583e+7,1.359e-9,1.583e+7
287.210,9.966e+6,1.358e-9,9.966e+6
287.215,7.006e+6,1.358e-9,7.006e+6
287.220,7.220e+6,1.357e-9,7.220e+6
287.225,1.191e+7,1.357e-9,1.191e+7
287.230,2.417e+7,1.356e-9,2.417e+7
287.235,4.981e+7,1.356e-9,4.981e+7
287.240,9.833e+7,1.355e-9,9.833e+7
287.245,1.834e+8,1.355e-9,1.834e+8
287.250,3.223e+8,1.354e-9,3.223e+8
287.255,5.332e+8,1.354e-9,5.332e+8
287.260,8.305e+8,1.353e-9,8.305e+8
287.265,1.218e+9,1.353e-9,1.218e+9
287.270,1.681e+9,1.352e-9,1.681e+9
287.275,2.185e+9,1.352e-9,2.185e+9
287.280,2.674e+9,1.351e-9,2.674e+9
287.285,3.082e+9,1.351e-9,3.082e+9
287.290,3.346e+9,1.350e-9,3.346e+9
287.295,3.421e+9,1.350e-9,3.421e+9
287.300,3.295e+9,1.349e-9,3.295e+9
287.305,2.991e+9,1.349e-9,2.991e+9
287.310,2.560e+9,1.348e-9,2.560e+9
287.315,2.065e+9,1.347e-9,2.065e+9
287.320,1.572e+9,1.347e-9,1.572e+9
287.325,1.129e+9,1.346e-9,1.129e+9
287.330,7.654e+8,1.346e-9,7.654e+8
287.335,4.904e+8,1.345e-9,4.904e+8
287.340,2.971e+8,1.345e-9,2.971e+8
287.345,1.703e+8,1.344e-9,1.703e+8
287.350,9.250e+7,1.344e-9,9.250e+7
287.355,4.763e+7,1.343e-9,4.763e+7
287.360,2.327e+7,1.343e-9,2.327e+7
287.365,1.080e+7,1.342e-9,1.080e+7
287.370,4.767e+6,1.342e-9,4.767e+6
287.375,2.002e+6,1.341e-9,2.002e+6
287.380,8.005e+5,1.341e-9,8.005e+5
287.385,3.050e+5,1.340e-9,3.050e+5
287.390,1.110e+5,1.340e-9,1.110e+5
287.395,3.951e+4,1.339e-9,3.951e+4
287.400,1.629e+4,1.339e-9,1.629e+4
287.405,1.381e+4,1.338e-9,1.381e+4
287.410,2.581e+4,1.338e-9,2.581e+4
287.415,5.816e+4,1.337e-9,5.816e+4
287.420,1.278e+5,1.337e-9,1.278e+5
287.425,2.656e+5,1.336e-9,2.656e+5
287.430,5.199e+5,1.336e-9,5.199e+5
287.435,9.578e+5,1.335e-9,9.578e+5
287.440,1.661e+6,1.335e-9,1.661e+6
287.445,2.711e+6,1.334e-9,2.711e+6
287.450,4.166e+6,1.334e-9,4.166e+6
287.455,6.026e+6,1.333e-9,6.026e+6
287.460,8.204e+6,1.333e-9,8.204e+6
287.465,1.051e+7,1.332e-9,1.051e+7
287.470,1.268e+7,1.332e-9,1.268e+7
287.475,1.440e+7,1.331e-9,1.440e+7
287.480,1.539e+7,1.331e-9,1.539e+7
287.485,1.548e+7,1.330e-9,1.548e+7
287.490,1.466e+7,1.330e-9,1.466e+7
287.495,1.307e+7,1.329e-9,1.307e+7
287.500,1.097e+7,1.329e-9,1.097e+7
287.505,8.663e+6,1.328e-9,8.663e+6
287.510,6.440e+6,1.328e-9,6.440e+6
287.515,4.507e+6,1.327e-9,4.507e+6
287.520,2.969e+6,1.327e-9,2.969e+6
287.525,1.841e+6,1.326e-9,1.841e+6
287.530,1.074e+6,1.326e-9,1.074e+6
287.535,5.903e+5,1.325e-9,5.903e+5
287.540,3.053e+5,1.325e-9,3.053e+5
287.545,1.486e+5,1.324e-9,1.486e+5
287.550,6.809e+4,1.324e-9,6.809e+4
287.555,2.937e+4,1.323e-9,2.937e+4
287.560,1.192e+4,1.323e-9,1.192e+4
287.565,4.556e+3,1.322e-9,4.556e+3
287.570,1.639e+3,1.322e-9,1.639e+3
287.575,5.550e+2,1.321e-9,5.550e+2
287.580,1.769e+2,1.321e-9,1.769e+2
287.585,5.307e+1,1.320e-9,5.307e+1
287.590,1.499e+1,1.320e-9,1.499e+1
287.595,3.984e+0,1.319e-9,3.984e+0
287.600,9.968e-1,1.319e-9,9.968e-1
287.605,2.348e-1,1.318e-9,2.348e-1
287.610,5.205e-2,1.318e-9,5.205e-2
287.615,1.086e-2,1.317e-9,1.086e-2
287.620,2.134e-3,1.317e-9,2.134e-3
287.625,3.945e-4,1.316e-9,3.945e-4
287.630,6.867e-5,1.316e-9,6.867e-5
287.635,1.125e-5,1.315e-9,1.125e-5
287.640,1.735e-6,1.315e-9,1.735e-6
287.645,2.519e-7,1.314e-9,2.519e-7
287.650,3.441e-8,1.314e-9,3.441e-8
287.655,4.426e-9,1.313e-9,4.426e-9
287.660,5.359e-10,1.313e-9,5.359e-10
287.665,6.107e-11,1.312e-9,6.107e-11
287.670,6.551e-12,1.312e-9,6.551e-12
287.745,6.314e-13,1.304e-9,6.314e-13
287.750,6.208e-12,1.303e-9,6.208e-12
287.755,5.747e-11,1.303e-9,5.747e-11
287.760,2.071e-9,1.302e-9,2.071e-9
287.765,1.900e-8,1.302e-9,1.900e-8
287.770,1.646e-7,1.301e-9,1.646e-7
287.775,1.348e-6,1.301e-9,1.348e-6
287.780,1.042e-5,1.300e-9,1.042e-5
287.785,7.601e-5,1.300e-9,7.601e-5
287.790,5.235e-4,1.299e-9,5.235e-4
287.795,3.401e-3,1.299e-9,3.401e-3
287.800,2.085e-2,1.298e-9,2.085e-2
287.805,1.205e-1,1.298e-9,1.205e-1
287.810,6.569e-1,1.297e-9,6.569e-1
287.815,3.376e+0,1.297e-9,3.376e+0
287.820,1.635e+1,1.296e-9,1.635e+1
287.825,7.465e+1,1.296e-9,7.465e+1
287.830,3.212e+2,1.295e-9,3.212e+2
287.835,1.302e+3,1.295e-9,1.302e+3
287.840,4.972e+3,1.294e-9,4.972e+3
287.845,1.789e+4,1.294e-9,1.789e+4
287.850,6.062e+4,1.293e-9,6.062e+4
287.855,1.935e+5,1.293e-9,1.935e+5
287.860,5.819e+5,1.292e-9,5.819e+5
287.865,1.648e+6,1.292e-9,1.648e+6
287.870,4.394e+6,1.291e-9,4.394e+6
287.875,1.104e+7,1.291e-9,1.104e+7
287.880,2.610e+7,1.290e-9,2.610e+7
287.885,5.814e+7,1.290e-9,5.814e+7
287.890,1.219e+8,1.289e-9,1.219e+8
287.895,2.408e+8,1.289e-9,2.408e+8
287.900,4.478e+8,1.288e-9,4.478e+8
287.905,7.843e+8,1.288e-9,7.843e+8
287.910,1.293e+9,1.287e-9,1.293e+9
287.915,2.009e+9,1.287e-9,2.009e+9
287.920,2.938e+9,1.286e-9,2.938e+9
287.925,4.049e+9,1.286e-9,4.049e+9
287.930,5.257e+9,1.285e-9,5.257e+9
287.935,6.433e+9,1.285e-9,6.433e+9
287.940,7.426e+9,1.284e-9,7.426e+9
287.945,8.093e+9,1.284e-9,8.093e+9
287.950,8.338e+9,1.283e-9,8.338e+9
287.955,8.139e+9,1.283e-9,8.139e+9
287.960,7.549e+9,1.282e-9,7.549e+9
287.965,6.682e+9,1.282e-9,6.682e+9
287.970,5.676e+9,1.281e-9,5.676e+9
287.975,4.660e+9,1.281e-9,4.660e+9
287.980,3.726e+9,1.280e-9,3.726e+9
287.984,3.071e+9,1.280e-9,3.071e+9
287.989,2.380e+9,1.279e-9,2.380e+9
287.994,1.821e+9,1.279e-9,1.821e+9
287.999,1.372e+9,1.278e-9,1.372e+9
288.004,1.013e+9,1.278e-9,1.013e+9
288.009,7.289e+8,1.277e-9,7.289e+8
288.014,5.089e+8,1.277e-9,5.089e+8
288.019,3.446e+8,1.276e-9,3.446e+8
288.024,2.278e+8,1.276e-9,2.278e+8
288.029,1.496e+8,1.275e-9,1.496e+8
288.034,1.005e+8,1.275e-9,1.005e+8
288.039,7.178e+7,1.274e-9,7.178e+7
288.044,5.612e+7,1.274e-9,5.612e+7
288.049,4.812e+7,1.273e-9,4.812e+7
288.054,4.421e+7,1.273e-9,4.421e+7
288.059,4.220e+7,1.272e-9,4.220e+7
288.064,4.084e+7,1.272e-9,4.084e+7
288.069,3.934e+7,1.271e-9,3.934e+7
288.074,3.724e+7,1.271e-9,3.724e+7
288.079,3.427e+7,1.270e-9,3.427e+7
288.084,3.041e+7,1.270e-9,3.041e+7
288.089,2.584e+7,1.269e-9,2.584e+7
288.094,2.091e+7,1.269e-9,2.091e+7
288.099,1.607e+7,1.268e-9,1.607e+7
288.104,1.169e+7,1.268e-9,1.169e+7
288.109,8.037e+6,1.267e-9,8.037e+6
288.114,5.215e+6,1.267e-9,5.215e+6
288.119,3.191e+6,1.266e-9,3.191e+6
288.124,1.841e+6,1.266e-9,1.841e+6
288.129,1.000e+6,1.265e-9,1.000e+6
288.134,5.120e+5,1.265e-9,5.120e+5
288.139,2.468e+5,1.264e-9,2.468e+5
288.144,1.121e+5,1.264e-9,1.121e+5
288.149,4.791e+4,1.263e-9,4.791e+4
288.154,1.928e+4,1.263e-9,1.928e+4
288.159,7.310e+3,1.262e-9,7.310e+3
288.164,2.609e+3,1.262e-9,2.609e+3
288.169,8.766e+2,1.261e-9,8.766e+2
288.174,2.773e+2,1.260e-9,2.773e+2
288.179,8.262e+1,1.260e-9,8.262e+1
