Wavelength (nm),Sum(calc),Mn I (3.3e-2),Mn II (9.6e-1)
207.492,2.047e-8,,2.047e-8
207.497,3.942e-7,,3.942e-7
207.502,6.759e-6,,6.759e-6
207.507,1.032e-4,,1.032e-4
207.512,1.403e-3,,1.403e-3
207.517,1.699e-2,,1.699e-2
207.522,1.831e-1,,1.831e-1
207.527,1.758e+0,,1.758e+0
207.532,1.503e+1,,1.503e+1
207.537,1.144e+2,,1.144e+2
207.542,7.758e+2,,7.758e+2
207.547,4.683e+3,,4.683e+3
207.552,2.517e+4,,2.517e+4
207.557,1.205e+5,,1.205e+5
207.562,5.137e+5,,5.137e+5
207.567,1.950e+6,,1.950e+6
207.572,6.591e+6,,6.591e+6
207.577,1.984e+7,,1.984e+7
207.582,5.317e+7,,5.317e+7
207.587,1.269e+8,,1.269e+8
207.592,2.697e+8,,2.697e+8
207.597,5.105e+8,,5.105e+8
207.602,8.603e+8,,8.603e+8
207.607,1.291e+9,,1.291e+9
207.612,1.725e+9,,1.725e+9
207.617,2.053e+9,,2.053e+9
207.622,2.176e+9,,2.176e+9
207.627,2.053e+9,,2.053e+9
207.632,1.725e+9,,1.725e+9
207.637,1.291e+9,,1.291e+9
207.642,8.603e+8,,8.603e+8
207.647,5.105e+8,,5.105e+8
207.652,2.697e+8,,2.697e+8
207.657,1.269e+8,,1.269e+8
207.662,5.317e+7,,5.317e+7
207.667,1.984e+7,,1.984e+7
207.672,6.591e+6,,6.591e+6
207.677,1.950e+6,,1.950e+6
207.682,5.137e+5,,5.137e+5
207.687,1.205e+5,,1.205e+5
207.692,2.517e+4,,2.517e+4
207.697,4.683e+3,,4.683e+3
207.702,7.758e+2,,7.758e+2
207.707,1.144e+2,,1.144e+2
207.712,1.503e+1,,1.503e+1
207.717,1.758e+0,,1.758e+0
207.722,1.831e-1,,1.831e-1
207.727,1.699e-2,,1.699e-2
207.732,1.403e-3,,1.403e-3
207.737,1.032e-4,,1.032e-4
207.742,6.759e-6,,6.759e-6
207.747,3.942e-7,,3.942e-7
207.752,2.047e-8,,2.047e-8
207.757,9.467e-10,,9.467e-10
207.762,3.899e-11,,3.899e-11
208.336,3.360e-11,,3.360e-11
208.341,8.134e-10,,8.134e-10
208.346,1.755e-8,,1.755e-8
208.351,3.375e-7,,3.375e-7
208.356,5.786e-6,,5.786e-6
208.361,8.841e-5,,8.841e-5
208.366,1.204e-3,,1.204e-3
208.371,1.462e-2,,1.462e-2
208.376,1.581e-1,,1.581e-1
208.381,1.525e+0,,1.525e+0
208.386,1.311e+1,,1.311e+1
208.391,1.004e+2,,1.004e+2
208.396,6.859e+2,,6.859e+2
208.401,4.175e+3,,4.175e+3
208.406,2.265e+4,,2.265e+4
208.411,1.095e+5,,1.095e+5
208.416,4.722e+5,,4.722e+5
208.421,1.814e+6,,1.814e+6
208.426,6.212e+6,,6.212e+6
208.431,1.896e+7,,1.896e+7
208.436,5.159e+7,,5.159e+7
208.441,1.251e+8,,1.251e+8
208.446,2.704e+8,,2.704e+8
208.451,5.209e+8,,5.209e+8
208.456,8.945e+8,,8.945e+8
208.461,1.369e+9,,1.369e+9
208.466,1.868e+9,,1.868e+9
208.471,2.271e+9,,2.271e+9
208.476,2.462e+9,,2.462e+9
