Wavelength (nm),Au I
212.09,8.790e-21
212.11,8.212e-19
212.13,6.543e-17
212.14,5.502e-16
212.16,3.453e-14
212.18,1.848e-12
212.20,8.432e-11
212.21,5.367e-10
212.23,1.929e-8
212.25,5.913e-7
212.27,1.546e-5
212.28,7.446e-5
212.30,1.533e-3
212.32,2.692e-2
212.34,4.031e-1
212.35,1.470e+0
212.37,1.733e+1
212.39,1.743e+2
212.41,1.495e+3
212.42,4.126e+3
212.44,2.787e+4
212.46,1.606e+5
212.48,7.891e+5
212.49,1.648e+6
212.51,6.376e+6
212.53,2.104e+7
212.55,5.922e+7
212.56,9.360e+7
212.58,2.075e+8
212.60,3.922e+8
212.62,6.323e+8
212.63,7.564e+8
212.65,9.604e+8
212.67,1.040e+9
212.69,9.604e+8
212.71,7.564e+8
212.72,6.323e+8
212.74,3.922e+8
212.76,2.075e+8
212.78,9.360e+7
212.79,5.922e+7
212.81,2.104e+7
212.83,6.376e+6
212.85,1.648e+6
212.86,7.891e+5
212.88,1.606e+5
212.90,2.787e+4
212.92,4.126e+3
212.93,1.495e+3
212.95,1.743e+2
212.97,1.733e+1
212.99,1.470e+0
213.00,4.031e-1
213.02,2.692e-2
213.04,1.533e-3
213.06,7.446e-5
213.07,1.546e-5
213.09,5.913e-7
213.11,1.929e-8
213.13,5.367e-10
213.14,8.432e-11
213.16,1.848e-12
213.18,3.453e-14
213.20,5.502e-16
213.21,6.543e-17
234.64,9.331e-19
234.66,4.932e-17
234.68,2.289e-15
234.69,1.485e-14
234.71,5.671e-13
234.73,1.901e-11
234.75,5.596e-10
234.77,1.446e-8
234.78,7.003e-8
234.80,1.489e-6
234.82,2.780e-5
234.84,4.557e-4
234.85,1.757e-3
234.87,2.370e-2
234.89,2.807e-1
234.91,2.918e+0
234.92,8.961e+0
234.94,7.666e+1
234.96,5.757e+2
234.98,3.797e+3
234.99,9.286e+3
235.01,5.038e+4
235.03,2.400e+5
235.05,1.004e+6
235.06,1.955e+6
235.08,6.728e+6
235.10,2.033e+7
235.12,5.393e+7
235.13,8.366e+7
235.15,1.826e+8
235.17,3.499e+8
235.19,5.887e+8
235.20,7.273e+8
235.22,1.007e+9
235.24,1.224e+9
235.26,1.306e+9
235.27,1.285e+9
235.29,1.128e+9
235.31,8.698e+8
235.33,5.887e+8
235.35,3.499e+8
235.36,2.569e+8
235.38,1.256e+8
235.40,5.393e+7
235.42,2.033e+7
235.43,1.189e+7
235.45,3.686e+6
235.47,1.004e+6
235.49,2.400e+5
235.50,1.118e+5
235.52,2.198e+4
235.54,3.797e+3
235.56,5.757e+2
235.57,2.135e+2
235.59,2.664e+1
235.61,2.918e+0
235.63,2.807e-1
235.64,8.290e-2
235.66,6.560e-3
235.68,4.557e-4
235.70,2.780e-5
235.71,6.540e-6
235.73,3.282e-7
235.75,1.446e-8
235.77,5.596e-10
235.78,1.048e-10
235.80,3.337e-12
235.82,9.327e-14
235.84,2.289e-15
235.85,3.415e-16
242.17,3.339e-15
242.18,2.183e-14
242.20,8.520e-13
242.22,2.943e-11
242.24,8.995e-10
242.25,4.750e-9
