Wavelength (nm),Au I
212.10,2.568e-20
212.12,2.215e-18
212.13,1.938e-17
212.15,1.317e-15
212.17,7.633e-14
212.19,3.772e-12
212.20,2.498e-11
212.22,9.723e-10
212.24,3.228e-8
212.26,9.137e-7
212.27,4.580e-6
212.29,1.021e-4
212.31,1.941e-3
212.33,3.148e-2
212.34,1.194e-1
212.36,1.525e+0
212.38,1.661e+1
212.40,1.543e+2
212.41,4.430e+2
212.43,3.241e+3
212.45,2.022e+4
212.47,1.076e+5
212.48,2.338e+5
212.50,9.795e+5
212.52,3.501e+6
212.54,1.067e+7
212.55,1.755e+7
212.57,4.211e+7
212.59,8.621e+7
212.61,1.505e+8
212.62,1.873e+8
212.64,2.576e+8
212.66,3.020e+8
212.68,3.020e+8
212.70,2.576e+8
212.71,2.241e+8
212.73,1.505e+8
212.75,8.621e+7
212.77,4.211e+7
212.78,2.773e+7
212.80,1.067e+7
212.82,3.501e+6
212.84,9.795e+5
212.85,4.881e+5
212.87,1.076e+5
212.89,2.022e+4
212.91,3.241e+3
212.92,1.222e+3
212.94,1.543e+2
212.96,1.661e+1
212.98,1.525e+0
212.99,4.354e-1
213.01,3.148e-2
213.03,1.941e-3
213.05,1.021e-4
213.06,2.206e-5
213.08,9.137e-7
213.10,3.228e-8
213.12,9.723e-10
213.13,1.590e-10
213.15,3.772e-12
213.17,7.633e-14
213.19,1.317e-15
213.20,1.630e-16
213.22,2.215e-18
234.65,2.043e-18
234.67,1.012e-16
234.68,6.781e-16
234.70,2.763e-14
234.72,9.887e-13
234.74,3.106e-11
234.75,1.658e-10
234.77,4.285e-9
234.79,9.724e-8
234.81,1.937e-6
234.82,8.236e-6
234.84,1.350e-4
234.86,1.943e-3
234.88,2.456e-2
234.89,8.315e-2
234.91,8.645e-1
234.93,7.892e+0
234.95,6.326e+1
234.96,1.706e+2
234.98,1.125e+3
235.00,6.513e+3
235.02,3.311e+4
235.04,1.478e+5
235.05,2.974e+5
235.07,1.092e+6
235.09,3.521e+6
235.11,9.970e+6
235.12,1.598e+7
235.14,3.721e+7
235.16,7.611e+7
235.18,1.367e+8
235.19,1.744e+8
235.21,2.577e+8
