Wavelength (nm),Au I
212.07,5.832e-23
212.09,6.389e-21
212.11,5.969e-19
212.13,4.756e-17
212.14,3.999e-16
212.16,2.509e-14
212.18,1.343e-12
212.20,6.129e-11
212.21,3.901e-10
212.23,1.402e-8
212.25,4.298e-7
212.27,1.124e-5
212.28,5.412e-5
212.30,1.114e-3
212.32,1.957e-2
212.34,2.930e-1
212.35,1.068e+0
212.37,1.260e+1
212.39,1.267e+2
212.41,1.087e+3
212.42,2.999e+3
212.44,2.026e+4
212.46,1.167e+5
212.48,5.735e+5
212.49,1.198e+6
212.51,4.634e+6
212.53,1.529e+7
212.55,4.305e+7
212.57,1.033e+8
212.58,1.508e+8
212.60,2.851e+8
212.62,4.596e+8
212.64,6.319e+8
212.65,6.980e+8
212.67,7.559e+8
212.69,6.980e+8
212.71,5.497e+8
212.72,4.596e+8
212.74,2.851e+8
212.76,1.508e+8
212.78,6.803e+7
212.79,4.305e+7
212.81,1.529e+7
212.83,4.634e+6
212.85,1.198e+6
212.86,5.735e+5
212.88,1.167e+5
212.90,2.026e+4
212.92,2.999e+3
212.93,1.087e+3
212.95,1.267e+2
212.97,1.260e+1
212.99,1.068e+0
213.00,2.930e-1
213.02,1.957e-2
213.04,1.114e-3
213.06,5.412e-5
213.08,2.242e-6
213.09,4.298e-7
213.11,1.402e-8
213.13,3.901e-10
213.15,9.254e-12
213.16,1.343e-12
213.18,2.509e-14
213.20,3.999e-16
213.22,5.435e-18
213.23,5.969e-19
234.64,7.832e-19
234.66,4.140e-17
234.67,2.867e-16
234.69,1.247e-14
234.71,4.760e-13
234.73,1.596e-11
234.75,4.697e-10
234.76,2.427e-9
234.78,5.878e-8
234.80,1.250e-6
234.82,2.334e-5
234.83,9.604e-5
234.85,1.475e-3
234.87,1.989e-2
234.89,2.356e-1
234.90,7.721e-1
234.92,7.522e+0
234.94,6.435e+1
234.96,4.833e+2
234.97,1.261e+3
234.99,7.795e+3
235.01,4.229e+4
235.03,2.015e+5
235.04,4.188e+5
235.06,1.641e+6
235.08,5.648e+6
235.10,1.706e+7
235.11,2.825e+7
235.13,7.022e+7
235.15,1.533e+8
235.17,2.937e+8
235.18,3.872e+8
235.20,6.105e+8
235.22,8.452e+8
235.24,1.027e+9
235.26,1.096e+9
235.27,1.079e+9
235.29,9.471e+8
235.31,7.301e+8
235.33,4.942e+8
235.34,3.872e+8
235.36,2.156e+8
235.38,1.054e+8
235.40,4.527e+7
235.41,2.825e+7
235.43,9.978e+6
235.45,3.094e+6
235.47,8.426e+5
235.48,4.188e+5
235.50,9.381e+4
235.52,1.845e+4
235.54,3.187e+3
235.55,1.261e+3
235.57,1.792e+2
235.59,2.236e+1
235.61,2.449e+0
235.62,7.721e-1
235.64,6.958e-2
235.66,5.506e-3
235.68,3.826e-4
235.70,2.334e-5
235.71,5.489e-6
235.73,2.755e-7
235.75,1.214e-8
235.77,4.697e-10
235.78,8.800e-11
235.80,2.801e-12
235.82,7.829e-14
235.84,1.921e-15
235.85,2.867e-16
235.87,5.788e-18
242.15,4.321e-17
242.17,2.025e-15
242.19,8.401e-14
242.20,5.169e-13
242.22,1.785e-11
242.24,5.456e-10
242.26,1.476e-8
242.27,7.333e-8
242.29,1.652e-6
242.31,3.293e-5
242.33,5.809e-4
242.34,2.331e-3
242.36,3.423e-2
242.38,4.450e-1
242.40,5.120e+0
242.41,1.659e+1
242.43,1.589e+2
242.45,1.347e+3
242.47,1.011e+4
242.48,2.645e+4
242.50,1.652e+5
242.52,9.134e+5
242.54,4.469e+6
242.55,9.443e+6
242.57,3.847e+7
242.59,1.387e+8
242.61,4.426e+8
242.63,1.250e+9
242.64,2.006e+9
242.66,4.718e+9
242.68,9.818e+9
242.70,1.808e+10
242.71,2.344e+10
242.73,3.594e+10
242.75,4.878e+10
242.77,5.859e+10
242.78,6.133e+10
242.80,6.133e+10
242.82,5.428e+10
242.84,4.252e+10
242.85,3.594e+10
242.87,2.344e+10
242.89,1.353e+10
242.91,6.911e+9
242.92,4.718e+9
242.94,2.006e+9
242.96,7.552e+8
242.98,2.516e+8
242.99,1.387e+8
243.01,3.847e+7
243.03,9.443e+6
243.05,2.051e+6
243.06,9.134e+5
243.08,1.652e+5
243.10,2.645e+4
243.12,3.747e+3
243.14,4.698e+2
243.15,1.589e+2
243.17,1.659e+1
243.19,1.533e+0
243.21,1.253e-1
243.22,3.423e-2
243.24,2.331e-3
243.26,1.404e-4
243.28,7.488e-6
243.29,1.652e-6
243.31,7.333e-8
243.33,2.882e-9
243.35,1.002e-10
243.36,1.785e-11
243.38,5.169e-13
243.40,1.324e-14
243.42,3.004e-16
243.43,4.321e-17
263.45,2.017e-19
263.47,7.094e-18
263.49,2.250e-16
263.50,1.219e-15
263.52,3.312e-14
263.54,8.116e-13
263.56,1.794e-11
263.57,8.113e-11
263.59,1.536e-9
263.61,2.623e-8
263.63,4.040e-7
263.64,1.525e-6
263.66,2.013e-5
263.68,2.395e-4
263.70,2.571e-3
263.71,8.103e-3
263.73,7.450e-2
263.75,6.178e-1
263.77,4.621e+0
263.78,1.216e+1
263.80,7.790e+1
263.82,4.502e+2
263.84,2.347e+3
263.86,1.103e+4
263.87,2.301e+4
263.89,9.267e+4
263.91,3.366e+5
263.93,1.103e+6
263.94,1.920e+6
263.96,5.389e+6
263.98,1.364e+7
264.00,3.115e+7
264.01,4.527e+7
264.03,8.854e+7
264.05,1.562e+8
264.07,2.485e+8
264.08,3.015e+8
264.10,4.109e+8
264.12,5.051e+8
264.14,5.600e+8
264.15,5.673e+8
264.17,5.388e+8
264.19,4.615e+8
264.21,3.566e+8
264.22,3.015e+8
264.24,1.996e+8
264.26,1.191e+8
264.28,6.414e+7
264.30,3.115e+7
264.31,2.088e+7
264.33,8.686e+6
264.35,3.259e+6
264.37,1.103e+6
264.38,6.172e+5
264.40,1.789e+5
264.42,4.678e+4
264.44,1.103e+4
264.45,5.154e+3
264.47,1.041e+3
264.49,1.897e+2
264.51,3.118e+1
264.52,1.216e+1
264.54,1.712e+0
264.56,2.173e-1
264.58,2.489e-2
264.59,8.103e-3
264.61,7.949e-4
264.63,7.033e-5
264.65,5.613e-6
264.66,1.525e-6
264.68,1.043e-7
264.70,6.430e-9
264.72,3.576e-10
264.73,8.113e-11
264.75,3.865e-12
264.77,1.661e-13
264.79,6.436e-15
264.81,2.250e-16
264.82,4.047e-17
266.90,3.503e-16
266.92,1.069e-14
266.93,5.690e-14
266.95,1.494e-12
266.97,3.547e-11
266.99,7.617e-10
267.00,3.399e-9
267.02,6.276e-8
267.04,1.048e-6
267.06,1.583e-5
267.07,5.924e-5
267.09,7.694e-4
267.11,9.037e-3
267.13,9.599e-2
267.14,3.013e-1
267.16,2.752e+0
267.18,2.273e+1
267.20,1.698e+2
267.21,4.470e+2
267.23,2.872e+3
267.25,1.669e+4
267.27,8.768e+4
267.29,4.167e+5
267.30,8.746e+5
