Wavelength (nm),Au I
212.10,3.468e-20
212.12,2.993e-18
212.13,2.619e-17
212.15,1.779e-15
212.17,1.031e-13
212.19,5.096e-12
212.20,3.375e-11
212.22,1.314e-9
212.24,4.360e-8
212.26,1.234e-6
212.27,6.187e-6
212.29,1.379e-4
212.31,2.623e-3
212.33,4.253e-2
212.34,1.613e-1
212.36,2.060e+0
212.38,2.244e+1
212.40,2.084e+2
212.41,5.985e+2
212.43,4.378e+3
212.45,2.731e+4
212.47,1.453e+5
212.48,3.158e+5
212.50,1.323e+6
212.52,4.729e+6
212.54,1.441e+7
212.55,2.370e+7
212.57,5.689e+7
212.59,1.165e+8
212.61,2.033e+8
212.62,2.531e+8
212.64,3.479e+8
212.66,4.080e+8
212.68,4.080e+8
212.70,3.479e+8
212.71,3.027e+8
212.73,2.033e+8
212.75,1.165e+8
212.77,5.689e+7
212.78,3.746e+7
212.80,1.441e+7
212.82,4.729e+6
212.84,1.323e+6
212.85,6.594e+5
212.87,1.453e+5
212.89,2.731e+4
212.91,4.378e+3
212.92,1.651e+3
212.94,2.084e+2
212.96,2.244e+1
212.98,2.060e+0
212.99,5.881e-1
213.01,4.253e-2
213.03,2.623e-3
213.05,1.379e-4
213.06,2.980e-5
213.08,1.234e-6
213.10,4.360e-8
213.12,1.314e-9
213.13,2.148e-10
213.15,5.096e-12
213.17,1.031e-13
213.19,1.779e-15
213.20,2.202e-16
213.22,2.993e-18
234.65,2.490e-18
234.67,1.233e-16
234.68,8.265e-16
234.70,3.368e-14
234.72,1.205e-12
234.74,3.785e-11
234.75,2.021e-10
234.77,5.222e-9
234.79,1.185e-7
234.81,2.361e-6
234.82,1.004e-5
234.84,1.646e-4
234.86,2.369e-3
234.88,2.993e-2
234.89,1.013e-1
234.91,1.054e+0
234.93,9.619e+0
234.95,7.710e+1
234.96,2.079e+2
234.98,1.371e+3
235.00,7.938e+3
235.02,4.035e+4
235.04,1.801e+5
235.05,3.625e+5
235.07,1.331e+6
235.09,4.292e+6
235.11,1.215e+7
235.12,1.947e+7
235.14,4.536e+7
235.16,9.276e+7
235.18,1.666e+8
235.19,2.126e+8
235.21,3.141e+8
235.23,4.074e+8
235.25,4.640e+8
235.26,4.716e+8
235.28,4.419e+8
235.30,3.636e+8
235.32,2.626e+8
235.33,2.126e+8
235.35,1.263e+8
235.37,6.593e+7
235.39,3.021e+7
235.40,1.947e+7
235.42,7.340e+6
235.44,2.429e+6
235.46,7.060e+5
235.47,3.625e+5
235.49,8.666e+4
235.51,1.819e+4
235.53,3.353e+3
235.54,1.371e+3
235.56,2.079e+2
235.58,2.768e+1
235.60,3.236e+0
235.62,3.321e-1
235.63,1.013e-1
235.65,8.558e-3
235.67,6.345e-4
235.69,4.131e-5
235.70,1.004e-5
235.72,5.377e-7
235.74,2.529e-8
235.76,1.044e-9
235.77,2.021e-10
235.79,6.865e-12
235.81,2.048e-13
235.83,5.362e-15
235.84,8.265e-16
235.86,1.781e-17
242.17,1.520e-15
242.19,6.307e-14
242.21,2.315e-12
242.22,1.340e-11
242.24,4.096e-10
242.26,1.108e-8
242.28,2.653e-7
242.29,1.240e-6
242.31,2.472e-5
242.33,4.360e-4
242.35,6.808e-3
242.36,2.570e-2
242.38,3.341e-1
242.40,3.843e+0
242.42,3.913e+1
242.43,1.193e+2
242.45,1.011e+3
242.47,7.587e+3
242.49,5.038e+4
242.51,2.961e+5
242.52,6.856e+5
242.54,3.355e+6
242.56,1.453e+7
242.58,5.568e+7
242.59,1.041e+8
242.61,3.323e+8
242.63,9.383e+8
242.65,2.345e+9
242.66,3.542e+9
242.68,7.370e+9
242.70,1.357e+10
242.72,2.212e+10
242.73,2.698e+10
242.75,3.662e+10
242.77,4.398e+10
242.79,4.675e+10
242.80,4.604e+10
242.82,4.075e+10
242.84,3.192e+10
242.86,2.212e+10
242.87,1.760e+10
242.89,1.016e+10
242.91,5.188e+9
242.93,2.345e+9
242.94,1.506e+9
242.96,5.669e+8
242.98,1.889e+8
243.00,5.568e+7
243.01,2.888e+7
243.03,7.089e+6
243.05,1.540e+6
243.07,2.961e+5
243.09,5.038e+4
243.10,1.985e+4
243.12,2.813e+3
243.14,3.527e+2
243.16,3.913e+1
243.17,1.245e+1
243.19,1.151e+0
243.21,9.408e-2
243.23,6.808e-3
243.24,1.749e-3
243.26,1.054e-4
243.28,5.621e-6
243.30,2.653e-7
243.31,5.505e-8
243.33,2.163e-9
243.35,7.523e-11
243.37,2.315e-12
243.38,3.880e-13
243.40,9.942e-15
243.42,2.255e-16
263.47,3.906e-18
263.49,1.239e-16
263.51,3.544e-15
263.53,9.144e-14
263.54,4.469e-13
263.56,9.877e-12
263.58,1.969e-10
263.60,3.541e-9
263.61,1.444e-8
263.63,2.225e-7
263.65,3.091e-6
263.67,3.873e-5
263.69,4.377e-4
263.70,1.416e-3
