Wavelength (nm),Au I
212.09,7.229e-21
212.11,6.754e-19
212.13,5.381e-17
212.14,4.525e-16
212.16,2.839e-14
212.18,1.519e-12
212.20,6.935e-11
212.21,4.413e-10
212.23,1.586e-8
212.25,4.863e-7
212.27,1.271e-5
212.28,6.124e-5
212.30,1.261e-3
212.32,2.214e-2
212.34,3.315e-1
212.35,1.209e+0
212.37,1.425e+1
212.39,1.434e+2
212.41,1.230e+3
212.42,3.393e+3
212.44,2.292e+4
212.46,1.321e+5
212.48,6.489e+5
212.49,1.355e+6
212.51,5.244e+6
212.53,1.731e+7
212.55,4.871e+7
212.56,7.698e+7
212.58,1.706e+8
212.60,3.226e+8
212.62,5.200e+8
212.63,6.220e+8
212.65,7.898e+8
212.67,8.553e+8
212.69,7.898e+8
212.71,6.220e+8
212.72,5.200e+8
212.74,3.226e+8
212.76,1.706e+8
212.78,7.698e+7
212.79,4.871e+7
212.81,1.731e+7
212.83,5.244e+6
212.85,1.355e+6
212.86,6.489e+5
212.88,1.321e+5
212.90,2.292e+4
212.92,3.393e+3
212.93,1.230e+3
212.95,1.434e+2
212.97,1.425e+1
212.99,1.209e+0
213.00,3.315e-1
213.02,2.214e-2
213.04,1.261e-3
213.06,6.124e-5
213.07,1.271e-5
213.09,4.863e-7
213.11,1.586e-8
213.13,4.413e-10
213.14,6.935e-11
213.16,1.519e-12
213.18,2.839e-14
213.20,4.525e-16
213.21,5.381e-17
234.64,7.674e-19
234.66,4.056e-17
234.68,1.882e-15
234.69,1.221e-14
234.71,4.664e-13
234.73,1.563e-11
234.75,4.602e-10
234.77,1.189e-8
234.78,5.759e-8
234.80,1.225e-6
234.82,2.286e-5
234.84,3.748e-4
234.85,1.445e-3
234.87,1.949e-2
234.89,2.308e-1
234.91,2.400e+0
234.92,7.370e+0
234.94,6.304e+1
234.96,4.735e+2
234.98,3.122e+3
234.99,7.637e+3
235.01,4.143e+4
235.03,1.974e+5
235.05,8.255e+5
235.06,1.608e+6
235.08,5.533e+6
235.10,1.672e+7
235.12,4.435e+7
235.13,6.880e+7
235.15,1.502e+8
235.17,2.878e+8
235.19,4.842e+8
235.20,5.982e+8
235.22,8.280e+8
235.24,1.006e+9
235.26,1.074e+9
235.27,1.057e+9
235.29,9.279e+8
235.31,7.153e+8
235.33,4.842e+8
235.35,2.878e+8
235.36,2.113e+8
235.38,1.033e+8
235.40,4.435e+7
235.42,1.672e+7
235.43,9.776e+6
235.45,3.032e+6
235.47,8.255e+5
235.49,1.974e+5
235.50,9.191e+4
235.52,1.808e+4
235.54,3.122e+3
235.56,4.735e+2
235.57,1.756e+2
235.59,2.191e+1
235.61,2.400e+0
235.63,2.308e-1
235.64,6.817e-2
235.66,5.395e-3
235.68,3.748e-4
235.70,2.286e-5
235.71,5.378e-6
235.73,2.699e-7
235.75,1.189e-8
235.77,4.602e-10
235.78,8.622e-11
235.80,2.745e-12
235.82,7.671e-14
235.84,1.882e-15
235.85,2.809e-16
242.17,2.746e-15
242.18,1.796e-14
242.20,7.007e-13
242.22,2.420e-11
242.24,7.397e-10
242.25,3.907e-9
242.27,9.942e-8
242.29,2.239e-6
242.31,4.464e-5
242.32,1.904e-4
242.34,3.160e-3
242.36,4.641e-2
242.38,6.033e-1
242.39,2.078e+0
242.41,2.249e+1
242.43,2.154e+2
242.45,1.826e+3
242.46,5.079e+3
242.48,3.585e+4
242.50,2.240e+5
242.52,1.238e+6
242.53,2.781e+6
242.55,1.280e+7
242.57,5.216e+7
242.59,1.880e+8
242.60,3.411e+8
242.62,1.024e+9
242.64,2.720e+9
242.66,6.396e+9
242.67,9.369e+9
242.69,1.834e+10
242.71,3.178e+10
242.73,4.873e+10
242.75,6.613e+10
242.76,7.359e+10
242.78,8.315e+10
242.80,8.315e+10
242.82,7.359e+10
242.83,6.613e+10
242.85,4.873e+10
242.87,3.178e+10
242.89,1.834e+10
242.90,1.331e+10
242.92,6.396e+9
242.94,2.720e+9
242.96,1.024e+9
242.97,6.001e+8
242.99,1.880e+8
243.01,5.216e+7
243.03,1.280e+7
243.04,6.059e+6
243.06,1.238e+6
243.08,2.240e+5
243.10,3.585e+4
243.11,1.370e+4
243.13,1.826e+3
243.15,2.154e+2
243.17,2.249e+1
243.18,6.941e+0
243.20,6.033e-1
243.22,4.641e-2
243.24,3.160e-3
243.25,7.875e-4
243.27,4.464e-5
243.29,2.239e-6
243.31,9.942e-8
243.33,3.907e-9
243.34,7.397e-10
243.36,2.420e-11
243.38,7.007e-13
243.40,1.796e-14
243.41,2.746e-15
263.47,8.026e-18
263.49,2.546e-16
263.50,1.379e-15
263.52,3.747e-14
263.54,9.183e-13
263.56,2.030e-11
263.57,9.180e-11
263.59,1.738e-9
263.61,2.968e-8
263.63,4.572e-7
263.64,1.726e-6
263.66,2.277e-5
263.68,2.710e-4
263.70,2.909e-3
263.72,2.816e-2
263.73,8.430e-2
263.75,6.991e-1
263.77,5.229e+0
263.79,3.528e+1
263.80,8.815e+1
263.82,5.094e+2
263.84,2.655e+3
263.86,1.248e+4
263.87,2.604e+4
263.89,1.049e+5
263.91,3.809e+5
263.93,1.248e+6
263.94,2.173e+6
263.96,6.098e+6
263.98,1.544e+7
264.00,3.524e+7
264.01,5.123e+7
264.03,1.002e+8
264.05,1.767e+8
264.07,2.812e+8
264.08,3.412e+8
264.10,4.650e+8
264.12,5.715e+8
264.14,6.337e+8
264.15,6.419e+8
264.17,6.096e+8
264.19,5.222e+8
264.21,4.035e+8
264.22,3.412e+8
264.24,2.258e+8
264.26,1.348e+8
264.28,7.257e+7
264.30,3.524e+7
264.31,2.363e+7
264.33,9.828e+6
264.35,3.687e+6
264.37,1.248e+6
264.38,6.984e+5
264.40,2.024e+5
264.42,5.293e+4
264.44,1.248e+4
264.45,5.832e+3
264.47,1.178e+3
264.49,2.146e+2
264.51,3.528e+1
264.52,1.376e+1
264.54,1.937e+0
264.56,2.459e-1
264.58,2.816e-2
264.59,9.168e-3
264.61,8.994e-4
264.63,7.958e-5
264.65,6.351e-6
264.66,1.726e-6
264.68,1.180e-7
264.70,7.276e-9
264.72,4.046e-10
264.73,9.180e-11
264.75,4.373e-12
264.77,1.879e-13
264.79,7.283e-15
264.80,1.379e-15
266.91,2.991e-15
266.93,8.683e-14
266.95,2.280e-12
266.97,5.413e-11
266.98,2.540e-10
267.00,5.186e-9
267.02,9.577e-8
267.04,1.599e-6
267.05,6.294e-6
267.07,9.039e-5
267.09,1.174e-3
267.11,1.379e-2
267.13,1.465e-1
267.14,4.597e-1
267.16,4.199e+0
267.18,3.469e+1
267.20,2.592e+2
267.21,6.821e+2
267.23,4.383e+3
267.25,2.546e+4
267.27,1.338e+5
267.28,2.954e+5
267.30,1.335e+6
267.32,5.454e+6
267.34,2.016e+7
267.35,3.731e+7
267.37,1.186e+8
267.39,3.409e+8
267.41,8.860e+8
267.42,1.376e+9
267.44,3.075e+9
267.46,6.216e+9
267.48,1.136e+10
267.49,1.480e+10
267.51,2.326e+10
267.53,3.307e+10
267.55,4.253e+10
267.56,4.644e+10
267.58,5.135e+10
267.60,5.135e+10
267.62,4.644e+10
267.63,4.253e+10
267.65,3.307e+10
267.67,2.326e+10
267.69,1.480e+10
267.71,8.510e+9
267.72,6.216e+9
267.74,3.075e+9
267.76,1.376e+9
267.78,5.565e+8
267.79,3.409e+8
267.81,1.186e+8
267.83,3.731e+7
267.85,1.062e+7
267.86,5.454e+6
267.88,1.335e+6
267.90,2.954e+5
267.92,5.911e+4
267.93,2.546e+4
267.95,4.383e+3
267.97,6.821e+2
267.99,9.602e+1
268.00,3.469e+1
268.02,4.199e+0
268.04,4.597e-1
268.06,4.551e-2
268.07,1.379e-2
268.09,1.174e-3
268.11,9.039e-5
268.13,6.294e-6
268.14,1.599e-6
268.16,9.577e-8
268.18,5.186e-9
268.20,2.540e-10
268.21,5.413e-11
268.23,2.280e-12
268.25,8.683e-14
268.27,2.991e-15
274.14,8.018e-16
274.16,2.050e-14
274.17,9.999e-14
274.19,2.215e-12
274.21,4.462e-11
274.23,8.171e-10
274.24,3.374e-9
274.26,5.354e-8
274.28,7.725e-7
274.30,1.013e-5
274.31,3.541e-5
274.33,4.025e-4
274.35,4.160e-3
274.37,3.909e-2
274.38,1.156e-1
274.40,9.414e-1
274.42,6.969e+0
274.44,4.690e+1
274.45,1.174e+2
