Wavelength (nm),Au I
267.00,5.199e-9
267.02,9.600e-8
267.04,1.603e-6
267.05,6.309e-6
267.07,9.061e-5
267.09,1.177e-3
267.11,1.382e-2
267.13,1.468e-1
267.14,4.608e-1
267.16,4.209e+0
267.18,3.477e+1
267.20,2.598e+2
267.21,6.838e+2
267.23,4.393e+3
267.25,2.553e+4
267.27,1.341e+5
267.28,2.961e+5
267.30,1.338e+6
267.32,5.467e+6
267.34,2.020e+7
267.35,3.740e+7
267.37,1.189e+8
267.39,3.417e+8
267.41,8.881e+8
267.42,1.379e+9
267.44,3.082e+9
267.46,6.231e+9
267.48,1.139e+10
267.49,1.483e+10
267.51,2.332e+10
267.53,3.315e+10
267.55,4.263e+10
267.56,4.655e+10
267.58,5.147e+10
267.60,5.147e+10
267.62,4.655e+10
267.63,4.263e+10
267.65,3.315e+10
267.67,2.332e+10
267.69,1.483e+10
267.71,8.531e+9
267.72,6.231e+9
267.74,3.082e+9
267.76,1.379e+9
267.78,5.578e+8
267.79,3.417e+8
267.81,1.189e+8
267.83,3.740e+7
267.85,1.064e+7
267.86,5.467e+6
267.88,1.338e+6
267.90,2.961e+5
267.92,5.925e+4
267.93,2.553e+4
267.95,4.393e+3
267.97,6.838e+2
267.99,9.625e+1
268.00,3.477e+1
268.02,4.209e+0
268.04,4.608e-1
268.06,4.562e-2
268.07,1.382e-2
268.09,1.177e-3
268.11,9.061e-5
268.13,6.309e-6
268.14,1.603e-6
268.16,9.600e-8
268.18,5.199e-9
268.20,2.546e-10
268.21,5.426e-11
268.23,2.285e-12
268.25,8.703e-14
268.27,2.998e-15
274.14,9.252e-16
274.16,2.365e-14
274.17,1.154e-13
274.19,2.557e-12
274.21,5.149e-11
274.23,9.429e-10
274.24,3.893e-9
274.26,6.179e-8
274.28,8.915e-7
274.30,1.169e-5
274.31,4.086e-5
274.33,4.645e-4
274.35,4.801e-3
274.37,4.511e-2
274.38,1.334e-1
274.40,1.086e+0
274.42,8.042e+0
274.44,5.412e+1
274.45,1.355e+2
274.47,7.903e+2
274.49,4.191e+3
274.51,2.020e+4
274.53,8.853e+4
274.54,1.788e+5
274.56,6.792e+5
274.58,2.345e+6
274.60,7.362e+6
274.61,1.259e+7
274.63,3.425e+7
274.65,8.470e+7
274.67,1.905e+8
274.68,2.756e+8
274.70,5.371e+8
274.72,9.516e+8
274.74,1.533e+9
