Wavelength (nm),Au I
212.09,1.640e-20
212.11,1.532e-18
212.13,1.221e-16
212.14,1.027e-15
212.16,6.443e-14
212.18,3.448e-12
212.20,1.574e-10
212.21,1.001e-9
212.23,3.600e-8
212.25,1.103e-6
212.27,2.885e-5
212.28,1.390e-4
212.30,2.861e-3
212.32,5.024e-2
212.34,7.523e-1
212.35,2.742e+0
212.37,3.234e+1
212.39,3.253e+2
212.41,2.791e+3
212.42,7.699e+3
212.44,5.202e+4
212.46,2.997e+5
212.48,1.472e+6
212.49,3.075e+6
212.51,1.190e+7
212.53,3.927e+7
212.55,1.105e+8
212.56,1.747e+8
212.58,3.872e+8
212.60,7.320e+8
212.62,1.180e+9
212.63,1.412e+9
212.65,1.792e+9
212.67,1.941e+9
212.69,1.792e+9
212.71,1.412e+9
212.72,1.180e+9
212.74,7.320e+8
212.76,3.872e+8
212.78,1.747e+8
212.79,1.105e+8
212.81,3.927e+7
212.83,1.190e+7
212.85,3.075e+6
212.86,1.472e+6
212.88,2.997e+5
212.90,5.202e+4
212.92,7.699e+3
212.93,2.791e+3
212.95,3.253e+2
212.97,3.234e+1
212.99,2.742e+0
213.00,7.523e-1
213.02,5.024e-2
213.04,2.861e-3
213.06,1.390e-4
213.07,2.885e-5
213.09,1.103e-6
213.11,3.600e-8
213.13,1.001e-9
213.14,1.574e-10
213.16,3.448e-12
213.18,6.443e-14
213.20,1.027e-15
213.21,1.221e-16
234.64,1.886e-18
234.66,9.971e-17
234.68,4.627e-15
234.69,3.002e-14
234.71,1.146e-12
234.73,3.843e-11
234.75,1.131e-9
234.77,2.924e-8
234.78,1.416e-7
234.80,3.010e-6
234.82,5.620e-5
234.84,9.213e-4
234.85,3.553e-3
234.87,4.791e-2
234.89,5.674e-1
234.91,5.899e+0
234.92,1.812e+1
234.94,1.550e+2
234.96,1.164e+3
234.98,7.676e+3
234.99,1.877e+4
235.01,1.018e+5
235.03,4.852e+5
235.05,2.029e+6
235.06,3.953e+6
235.08,1.360e+7
235.10,4.110e+7
235.12,1.090e+8
235.13,1.691e+8
235.15,3.691e+8
235.17,7.074e+8
235.19,1.190e+9
235.20,1.470e+9
235.22,2.035e+9
235.24,2.474e+9
235.26,2.640e+9
235.27,2.598e+9
235.29,2.281e+9
235.31,1.758e+9
235.33,1.190e+9
235.35,7.074e+8
235.36,5.194e+8
235.38,2.539e+8
235.40,1.090e+8
235.42,4.110e+7
235.43,2.403e+7
235.45,7.453e+6
235.47,2.029e+6
235.49,4.852e+5
235.50,2.259e+5
235.52,4.444e+4
235.54,7.676e+3
235.56,1.164e+3
235.57,4.317e+2
235.59,5.385e+1
235.61,5.899e+0
235.63,5.674e-1
235.64,1.676e-1
235.66,1.326e-2
235.68,9.213e-4
235.70,5.620e-5
235.71,1.322e-5
235.73,6.635e-7
235.75,2.924e-8
235.77,1.131e-9
235.78,2.119e-10
235.80,6.746e-12
235.82,1.886e-13
235.84,4.627e-15
235.85,6.904e-16
242.17,5.635e-15
242.18,3.685e-14
242.20,1.438e-12
242.22,4.967e-11
242.24,1.518e-9
242.25,8.018e-9
242.27,2.040e-7
242.29,4.596e-6
242.31,9.161e-5
242.32,3.907e-4
242.34,6.484e-3
242.36,9.525e-2
242.38,1.238e+0
242.39,4.264e+0
242.41,4.615e+1
242.43,4.421e+2
242.45,3.748e+3
242.46,1.042e+4
242.48,7.358e+4
242.50,4.597e+5
242.52,2.541e+6
242.53,5.708e+6
242.55,2.627e+7
242.57,1.070e+8
242.59,3.859e+8
242.60,7.000e+8
242.62,2.101e+9
242.64,5.583e+9
242.66,1.313e+10
242.67,1.923e+10
242.69,3.764e+10
242.71,6.522e+10
242.73,1.000e+11
242.75,1.357e+11
242.76,1.510e+11
242.78,1.706e+11
242.80,1.706e+11
242.82,1.510e+11
242.83,1.357e+11
242.85,1.000e+11
242.87,6.522e+10
242.89,3.764e+10
242.90,2.732e+10
242.92,1.313e+10
242.94,5.583e+9
242.96,2.101e+9
242.97,1.231e+9
242.99,3.859e+8
243.01,1.070e+8
243.03,2.627e+7
243.04,1.243e+7
243.06,2.541e+6
243.08,4.597e+5
243.10,7.358e+4
243.11,2.812e+4
243.13,3.748e+3
243.15,4.421e+2
243.17,4.615e+1
243.18,1.425e+1
243.20,1.238e+0
243.22,9.525e-2
243.24,6.484e-3
243.25,1.616e-3
243.27,9.161e-5
243.29,4.596e-6
243.31,2.040e-7
243.33,8.018e-9
243.34,1.518e-9
243.36,4.967e-11
243.38,1.438e-12
243.40,3.685e-14
243.41,5.635e-15
263.47,1.821e-17
263.49,5.777e-16
263.50,3.130e-15
263.52,8.503e-14
263.54,2.084e-12
263.56,4.606e-11
263.57,2.083e-10
263.59,3.944e-9
263.61,6.735e-8
263.63,1.037e-6
263.64,3.917e-6
263.66,5.168e-5
263.68,6.150e-4
263.70,6.601e-3
263.72,6.390e-2
263.73,1.913e-1
263.75,1.586e+0
263.77,1.186e+1
263.79,8.005e+1
263.80,2.000e+2
263.82,1.156e+3
263.84,6.025e+3
263.86,2.833e+4
263.87,5.909e+4
263.89,2.379e+5
263.91,8.643e+5
263.93,2.832e+6
263.94,4.931e+6
263.96,1.384e+7
263.98,3.503e+7
264.00,7.997e+7
264.01,1.162e+8
264.03,2.273e+8
264.05,4.010e+8
264.07,6.380e+8
264.08,7.742e+8
264.10,1.055e+9
264.12,1.297e+9
264.14,1.438e+9
264.15,1.457e+9
264.17,1.383e+9
264.19,1.185e+9
264.21,9.155e+8
264.22,7.742e+8
264.24,5.124e+8
264.26,3.059e+8
264.28,1.647e+8
264.30,7.997e+7
264.31,5.361e+7
264.33,2.230e+7
264.35,8.367e+6
264.37,2.832e+6
264.38,1.585e+6
264.40,4.594e+5
264.42,1.201e+5
264.44,2.833e+4
264.45,1.323e+4
264.47,2.673e+3
264.49,4.871e+2
264.51,8.005e+1
264.52,3.122e+1
264.54,4.395e+0
264.56,5.580e-1
264.58,6.390e-2
264.59,2.080e-2
264.61,2.041e-3
264.63,1.806e-4
264.65,1.441e-5
264.66,3.917e-6
264.68,2.678e-7
264.70,1.651e-8
264.72,9.182e-10
264.73,2.083e-10
264.75,9.924e-12
264.77,4.264e-13
264.79,1.653e-14
264.80,3.130e-15
266.91,5.747e-15
266.93,1.669e-13
266.95,4.381e-12
266.97,1.040e-10
266.98,4.881e-10
267.00,9.967e-9
267.02,1.841e-7
267.04,3.074e-6
267.05,1.210e-5
267.07,1.737e-4
267.09,2.256e-3
267.11,2.650e-2
267.13,2.815e-1
267.14,8.834e-1
267.16,8.070e+0
267.18,6.667e+1
267.20,4.981e+2
267.21,1.311e+3
267.23,8.423e+3
267.25,4.894e+4
267.27,2.571e+5
267.28,5.676e+5
267.30,2.565e+6
267.32,1.048e+7
267.34,3.874e+7
267.35,7.171e+7
267.37,2.279e+8
267.39,6.551e+8
267.41,1.703e+9
267.42,2.643e+9
267.44,5.909e+9
267.46,1.195e+10
267.48,2.184e+10
267.49,2.843e+10
267.51,4.470e+10
267.53,6.356e+10
267.55,8.172e+10
267.56,8.924e+10
267.58,9.868e+10
267.60,9.868e+10
267.62,8.924e+10
267.63,8.172e+10
267.65,6.356e+10
267.67,4.470e+10
267.69,2.843e+10
267.71,1.636e+10
267.72,1.195e+10
267.74,5.909e+9
267.76,2.643e+9
267.78,1.069e+9
267.79,6.551e+8
267.81,2.279e+8
267.83,7.171e+7
267.85,2.040e+7
267.86,1.048e+7
267.88,2.565e+6
267.90,5.676e+5
267.92,1.136e+5
267.93,4.894e+4
267.95,8.423e+3
267.97,1.311e+3
267.99,1.845e+2
268.00,6.667e+1
268.02,8.070e+0
268.04,8.834e-1
268.06,8.746e-2
268.07,2.650e-2
268.09,2.256e-3
268.11,1.737e-4
268.13,1.210e-5
268.14,3.074e-6
268.16,1.841e-7
268.18,9.967e-9
268.20,4.881e-10
268.21,1.040e-10
268.23,4.381e-12
268.25,1.669e-13
268.27,5.747e-15
274.14,1.774e-15
274.16,4.534e-14
274.17,2.212e-13
274.19,4.901e-12
274.21,9.873e-11
274.23,1.808e-9
274.24,7.464e-9
274.26,1.185e-7
274.28,1.709e-6
274.30,2.242e-5
274.31,7.834e-5
274.33,8.906e-4
274.35,9.204e-3
274.37,8.648e-2
274.38,2.558e-1
274.40,2.083e+0
274.42,1.542e+1
274.44,1.038e+2
274.45,2.597e+2
274.47,1.515e+3
274.49,8.034e+3
274.51,3.873e+4
274.53,1.697e+5
274.54,3.428e+5
274.56,1.302e+6
274.58,4.497e+6
274.60,1.412e+7
274.61,2.413e+7
274.63,6.566e+7
274.65,1.624e+8
274.67,3.652e+8
274.68,5.283e+8
274.70,1.030e+9
274.72,1.824e+9
274.74,2.938e+9
274.75,3.598e+9
274.77,5.023e+9
274.79,6.375e+9
274.81,7.355e+9
274.82,7.623e+9
274.84,7.623e+9
274.86,6.930e+9
274.88,5.727e+9
274.89,5.023e+9
274.91,3.598e+9
274.93,2.343e+9
274.95,1.387e+9
274.96,1.030e+9
274.98,5.283e+8
275.00,2.464e+8
275.02,1.045e+8
275.04,4.028e+7
275.05,2.413e+7
275.07,8.062e+6
275.09,2.449e+6
275.11,6.762e+5
275.12,3.428e+5
275.14,8.205e+4
275.16,1.785e+4
275.18,3.531e+3
275.19,1.515e+3
275.21,2.597e+2
275.23,4.048e+1
275.25,5.735e+0
275.26,2.083e+0
275.28,2.558e-1
275.30,2.855e-2
275.32,2.897e-3
275.33,8.906e-4
275.35,7.834e-5
275.37,6.264e-6
275.39,4.554e-7
275.40,1.185e-7
275.42,7.464e-9
275.44,4.275e-10
275.46,2.226e-11
275.47,4.901e-12
275.49,2.212e-13
275.51,9.076e-15
311.51,1.730e-14
311.53,2.860e-13
311.54,1.131e-12
311.56,1.675e-11
311.58,2.303e-10
311.60,2.941e-9
311.61,1.023e-8
311.63,1.169e-7
311.65,1.241e-6
311.67,1.224e-5
311.68,3.740e-5
311.70,3.302e-4
311.72,2.708e-3
311.74,2.063e-2
311.75,5.538e-2
311.77,3.776e-1
311.79,2.391e+0
311.81,1.407e+1
311.82,3.319e+1
311.84,1.748e+2
311.86,8.548e+2
311.88,3.883e+3
311.90,1.639e+4
311.91,3.274e+4
311.93,1.237e+5
311.95,4.339e+5
311.97,1.414e+6
311.98,2.483e+6
312.00,7.242e+6
312.02,1.962e+7
312.04,4.938e+7
312.05,7.619e+7
312.07,1.716e+8
312.09,3.592e+8
312.11,6.980e+8
312.12,9.465e+8
312.14,1.647e+9
312.16,2.661e+9
312.18,3.994e+9
312.19,4.759e+9
312.21,6.395e+9
312.23,7.980e+9
312.25,9.250e+9
312.26,9.687e+9
312.28,1.005e+10
312.30,9.687e+9
312.32,8.671e+9
312.33,7.980e+9
312.35,6.395e+9
312.37,4.759e+9
312.39,3.290e+9
312.40,2.661e+9
312.42,1.647e+9
312.44,9.465e+8
312.46,5.053e+8
312.48,2.506e+8
312.49,1.716e+8
312.51,7.619e+7
312.53,3.141e+7
312.55,1.203e+7
312.56,7.242e+6
312.58,2.483e+6
312.60,7.905e+5
312.62,2.338e+5
312.63,1.237e+5
312.65,3.274e+4
312.67,8.051e+3
312.69,1.839e+3
312.70,8.548e+2
312.72,1.748e+2
312.74,3.319e+1
312.76,5.854e+0
312.77,2.391e+0
312.79,3.776e-1
