Wavelength (nm),Sum(calc),Cu I (8.1e-1),Cu II (1.9e-1)
200.87,1.764e-13,,1.764e-13
200.89,7.363e-12,,7.363e-12
200.90,4.450e-11,,4.450e-11
200.92,1.423e-9,,1.423e-9
200.94,3.809e-8,,3.809e-8
200.95,1.844e-7,,1.844e-7
200.97,3.780e-6,,3.780e-6
200.99,6.489e-5,,6.489e-5
201.00,2.515e-4,,2.515e-4
201.02,3.308e-3,,3.308e-3
201.04,3.642e-2,,3.642e-2
201.05,1.130e-1,,1.130e-1
201.07,9.534e-1,,9.534e-1
201.09,6.732e+0,,6.732e+0
201.10,1.673e+1,,1.673e+1
201.12,9.051e+1,,9.051e+1
201.14,4.099e+2,,4.099e+2
201.15,8.160e+2,,8.160e+2
201.17,2.830e+3,,2.830e+3
201.19,8.220e+3,,8.220e+3
201.20,1.310e+4,,1.310e+4
201.22,2.915e+4,,2.915e+4
201.24,5.430e+4,,5.430e+4
201.25,6.932e+4,,6.932e+4
201.27,9.890e+4,,9.890e+4
201.29,1.181e+5,,1.181e+5
201.30,1.208e+5,,1.208e+5
201.32,1.105e+5,,1.105e+5
201.34,8.484e+4,,8.484e+4
201.35,6.978e+4,,6.978e+4
201.37,4.338e+4,,4.338e+4
201.39,3.331e+4,,3.331e+4
201.40,4.079e+4,,4.079e+4
201.42,1.095e+5,,1.095e+5
201.44,3.325e+5,,3.325e+5
201.45,5.517e+5,,5.517e+5
201.47,1.336e+6,,1.336e+6
201.49,2.715e+6,,2.715e+6
201.50,3.621e+6,,3.621e+6
201.52,5.640e+6,,5.640e+6
201.54,7.357e+6,,7.357e+6
201.55,7.863e+6,,7.863e+6
201.57,7.863e+6,,7.863e+6
201.59,6.586e+6,,6.586e+6
201.60,5.640e+6,,5.640e+6
201.62,3.621e+6,,3.621e+6
201.64,1.947e+6,,1.947e+6
201.65,1.336e+6,,1.336e+6
201.67,5.509e+5,,5.509e+5
201.69,1.902e+5,,1.902e+5
201.70,1.046e+5,,1.046e+5
201.72,2.768e+4,,2.768e+4
201.74,6.137e+3,,6.137e+3
201.75,2.704e+3,,2.704e+3
201.77,4.595e+2,,4.595e+2
201.79,6.541e+1,,6.541e+1
201.80,2.309e+1,,2.309e+1
201.82,2.520e+0,,2.520e+0
201.84,2.303e-1,,2.303e-1
201.85,6.514e-2,,6.514e-2
201.87,4.564e-3,,4.564e-3
201.89,2.678e-4,,2.678e-4
201.90,6.070e-5,,6.070e-5
201.92,2.730e-6,,2.730e-6
201.94,1.029e-7,,1.029e-7
201.95,1.868e-8,,1.868e-8
201.97,5.396e-10,,5.396e-10
202.02,8.813e-8,8.813e-8,3.960e-10
202.04,2.959e-6,2.959e-6,3.385e-10
202.05,1.606e-5,1.606e-5,3.098e-10
202.07,4.143e-4,4.143e-4,2.523e-10
202.09,8.967e-3,8.967e-3,1.948e-10
202.10,3.906e-2,3.906e-2,1.661e-10
202.12,6.495e-1,6.495e-1,1.086e-10
202.14,9.060e+0,9.060e+0,4.329e-9
202.15,3.168e+1,3.168e+1,2.559e-8
202.17,3.396e+2,3.396e+2,7.841e-7
202.19,3.053e+3,3.053e+3,2.016e-5
202.20,8.571e+3,8.571e+3,9.569e-5
202.22,5.921e+4,5.921e+4,1.890e-3
202.24,3.431e+5,3.431e+5,3.134e-2
202.25,7.733e+5,7.733e+5,1.195e-1
202.27,3.443e+6,3.443e+6,1.522e+0
202.29,1.286e+7,1.286e+7,1.627e+1
202.30,2.327e+7,2.327e+7,4.980e+1
202.32,6.677e+7,6.677e+7,4.091e+2
202.34,1.607e+8,1.607e+8,2.820e+3
202.35,2.335e+8,2.335e+8,6.932e+3
202.37,4.319e+8,4.318e+8,3.672e+4
202.39,6.702e+8,6.700e+8,1.632e+5
202.40,7.817e+8,7.813e+8,3.222e+5
202.42,9.325e+8,9.314e+8,1.101e+6
202.44,9.346e+8,9.314e+8,3.155e+6
