Wavelength (nm),Sum(calc),Cu I (4.7e-1),Cu II (5.3e-1)
200.88,3.714e-11,,3.714e-11
200.89,2.347e-10,,2.347e-10
200.91,8.201e-9,,8.201e-9
200.93,2.399e-7,,2.399e-7
200.94,1.214e-6,,1.214e-6
200.96,2.720e-5,,2.720e-5
200.98,5.104e-4,,5.104e-4
200.99,2.068e-3,,2.068e-3
201.01,2.973e-2,,2.973e-2
201.03,3.577e-1,,3.577e-1
201.04,1.161e+0,,1.161e+0
201.06,1.070e+1,,1.070e+1
201.08,8.256e+1,,8.256e+1
201.09,2.146e+2,,2.146e+2
201.11,1.268e+3,,1.268e+3
201.13,6.277e+3,,6.277e+3
201.14,1.306e+4,,1.306e+4
201.16,4.952e+4,,4.952e+4
201.18,1.572e+5,,1.572e+5
201.19,2.620e+5,,2.620e+5
201.21,6.369e+5,,6.369e+5
201.23,1.296e+6,,1.296e+6
201.24,1.730e+6,,1.730e+6
201.26,2.698e+6,,2.698e+6
201.28,3.522e+6,,3.522e+6
201.29,3.765e+6,,3.765e+6
201.31,3.765e+6,,3.765e+6
201.33,3.153e+6,,3.153e+6
201.34,2.701e+6,,2.701e+6
201.36,1.745e+6,,1.745e+6
201.38,1.006e+6,,1.006e+6
201.39,8.027e+5,,8.027e+5
201.41,9.464e+5,,9.464e+5
201.43,2.457e+6,,2.457e+6
201.44,4.167e+6,,4.167e+6
201.46,1.093e+7,,1.093e+7
201.48,2.423e+7,,2.423e+7
201.49,3.378e+7,,3.378e+7
201.51,5.749e+7,,5.749e+7
201.53,8.194e+7,,8.194e+7
201.54,9.154e+7,,9.154e+7
201.56,1.000e+8,,1.000e+8
201.58,9.154e+7,,9.154e+7
201.59,8.194e+7,,8.194e+7
201.61,5.749e+7,,5.749e+7
201.63,3.378e+7,,3.378e+7
201.64,2.423e+7,,2.423e+7
201.66,1.091e+7,,1.091e+7
201.68,4.118e+6,,4.118e+6
201.69,2.367e+6,,2.367e+6
201.71,6.845e+5,,6.845e+5
201.73,1.658e+5,,1.658e+5
201.74,7.636e+4,,7.636e+4
201.76,1.418e+4,,1.418e+4
201.78,2.205e+3,,2.205e+3
201.79,8.138e+2,,8.138e+2
201.81,9.703e+1,,9.703e+1
201.83,9.690e+0,,9.690e+0
201.84,2.865e+0,,2.865e+0
201.86,2.193e-1,,2.193e-1
201.88,1.406e-2,,1.406e-2
201.89,3.332e-3,,3.332e-3
201.91,1.638e-4,,1.638e-4
201.93,6.742e-6,,6.742e-6
201.94,1.280e-6,,1.280e-6
201.96,4.039e-8,,4.039e-8
201.98,1.068e-9,,1.068e-9
202.01,2.135e-8,2.135e-8,2.589e-9
202.03,7.827e-7,7.827e-7,3.603e-9
202.04,4.437e-6,4.437e-6,4.110e-9
202.06,1.250e-4,1.250e-4,5.125e-9
202.08,2.954e-3,2.954e-3,6.139e-9
202.09,1.344e-2,1.344e-2,6.646e-9
202.11,2.441e-1,2.441e-1,7.660e-9
202.13,3.718e+0,3.718e+0,8.674e-9
202.14,1.358e+1,1.358e+1,5.358e-8
202.16,1.590e+2,1.590e+2,1.792e-6
202.18,1.561e+3,1.561e+3,5.029e-5
202.19,4.578e+3,4.578e+3,2.495e-4
202.21,3.453e+4,3.453e+4,5.380e-3
202.23,2.184e+5,2.184e+5,9.737e-2
202.24,5.144e+5,5.144e+5,3.878e-1
202.26,2.501e+6,2.501e+6,5.394e+0
202.28,1.020e+7,1.020e+7,6.294e+1
202.29,1.928e+7,1.928e+7,2.013e+2
202.31,6.041e+7,6.041e+7,1.806e+3
202.33,1.588e+8,1.588e+8,1.359e+4
202.34,2.410e+8,2.410e+8,3.490e+4
202.36,4.869e+8,4.867e+8,2.018e+5
202.38,8.254e+8,8.244e+8,9.793e+5
202.39,1.007e+9,1.005e+9,2.020e+6
202.41,1.315e+9,1.307e+9,7.533e+6
202.42,1.410e+9,1.397e+9,1.362e+7
202.44,1.436e+9,1.397e+9,3.904e+7
202.46,1.265e+9,1.172e+9,9.389e+7
202.47,1.141e+9,1.005e+9,1.363e+8
202.49,8.994e+8,6.475e+8,2.520e+8
202.51,7.408e+8,3.501e+8,3.907e+8
202.52,6.966e+8,2.410e+8,4.556e+8
202.54,6.431e+8,1.001e+8,5.430e+8
202.56,5.779e+8,3.489e+7,5.430e+8
202.57,5.277e+8,1.928e+7,5.084e+8
202.59,3.959e+8,5.162e+6,3.908e+8
202.61,2.532e+8,1.159e+6,2.520e+8
202.62,1.901e+8,5.144e+5,1.896e+8
202.64,9.422e+7,8.877e+4,9.413e+7
202.66,3.946e+7,1.285e+4,3.945e+7
202.67,2.407e+7,4.578e+3,2.407e+7
202.69,8.182e+6,5.091e+2,8.181e+6
202.71,2.728e+6,4.750e+1,2.728e+6
202.72,1.672e+6,1.358e+1,1.672e+6
202.74,7.830e+5,9.738e-1,7.830e+5
202.76,4.442e+5,5.856e-2,4.442e+5
202.77,3.353e+5,1.344e-2,3.353e+5
202.79,1.761e+5,6.211e-4,1.761e+5
202.81,7.987e+4,2.407e-5,7.987e+4
202.82,5.107e+4,4.437e-6,5.107e+4
202.84,2.155e+4,1.321e-7,2.155e+4
202.86,1.895e+4,1.320e-7,1.895e+4
202.87,2.649e+4,1.319e-7,2.649e+4
202.89,6.326e+4,1.317e-7,6.326e+4
202.91,1.389e+5,1.315e-7,1.389e+5
202.92,1.943e+5,1.314e-7,1.943e+5
202.94,3.403e+5,1.313e-7,3.403e+5
202.96,5.272e+5,1.311e-7,5.272e+5
202.97,6.377e+5,1.310e-7,6.377e+5
202.99,9.252e+5,1.308e-7,9.252e+5
203.01,1.397e+6,1.307e-7,1.397e+6
203.02,1.743e+6,1.306e-7,1.743e+6
203.04,2.694e+6,1.304e-7,2.694e+6
203.06,3.862e+6,1.302e-7,3.862e+6
203.07,4.415e+6,1.301e-7,4.415e+6
203.09,5.156e+6,1.300e-7,5.156e+6
203.11,5.118e+6,1.298e-7,5.118e+6
203.12,4.785e+6,1.297e-7,4.785e+6
203.14,3.676e+6,1.295e-7,3.676e+6
203.16,2.375e+6,1.294e-7,2.375e+6
203.17,1.788e+6,1.293e-7,1.788e+6
203.19,8.893e+5,1.291e-7,8.893e+5
203.21,3.716e+5,1.289e-7,3.716e+5
203.22,2.250e+5,1.288e-7,2.250e+5
203.24,7.234e+4,1.287e-7,7.234e+4
203.26,1.954e+4,1.285e-7,1.954e+4
203.27,9.510e+3,1.284e-7,9.510e+3
203.29,1.983e+3,1.282e-7,1.983e+3
203.31,4.204e+2,1.281e-7,4.204e+2
203.32,3.838e+2,1.280e-7,3.838e+2
203.34,2.398e+3,1.278e-7,2.398e+3
203.36,1.914e+4,1.276e-7,1.914e+4
203.37,5.085e+4,1.275e-7,5.085e+4
203.39,3.151e+5,1.274e-7,3.151e+5
203.41,1.641e+6,1.272e-7,1.641e+6
203.42,3.509e+6,1.271e-7,3.509e+6
203.44,1.409e+7,1.269e-7,1.409e+7
203.46,4.752e+7,1.268e-7,4.752e+7
203.47,8.179e+7,1.267e-7,8.179e+7
203.49,2.127e+8,1.265e-7,2.127e+8
203.51,4.649e+8,1.263e-7,4.649e+8
203.52,6.443e+8,1.262e-7,6.443e+8
203.54,1.087e+9,1.261e-7,1.087e+9
203.56,1.548e+9,1.259e-7,1.548e+9
203.57,1.737e+9,1.258e-7,1.737e+9
203.59,1.949e+9,1.256e-7,1.949e+9
203.61,1.929e+9,1.255e-7,1.929e+9
203.62,1.865e+9,1.254e-7,1.865e+9
203.64,1.747e+9,1.252e-7,1.747e+9
203.66,1.760e+9,1.250e-7,1.760e+9
