Wavelength (nm),Sum(calc),Cu I (8.6e-2),Cu II (9.1e-1)
200.87,2.588e-10,,2.588e-10
200.89,1.080e-8,,1.080e-8
200.90,6.529e-8,,6.529e-8
200.92,2.088e-6,,2.088e-6
200.94,5.588e-5,,5.588e-5
200.95,2.705e-4,,2.705e-4
200.97,5.546e-3,,5.546e-3
200.99,9.521e-2,,9.521e-2
201.00,3.690e-1,,3.690e-1
201.02,4.853e+0,,4.853e+0
201.04,5.343e+1,,5.343e+1
201.05,1.659e+2,,1.659e+2
201.07,1.399e+3,,1.399e+3
201.09,9.876e+3,,9.876e+3
201.10,2.455e+4,,2.455e+4
201.12,1.328e+5,,1.328e+5
201.14,6.013e+5,,6.013e+5
201.15,1.197e+6,,1.197e+6
201.17,4.153e+6,,4.153e+6
201.19,1.206e+7,,1.206e+7
201.20,1.923e+7,,1.923e+7
201.22,4.277e+7,,4.277e+7
201.24,7.966e+7,,7.966e+7
201.25,1.017e+8,,1.017e+8
201.27,1.451e+8,,1.451e+8
201.29,1.733e+8,,1.733e+8
201.30,1.772e+8,,1.772e+8
201.32,1.621e+8,,1.621e+8
201.34,1.242e+8,,1.242e+8
201.35,1.018e+8,,1.018e+8
201.37,6.010e+7,,6.010e+7
201.39,3.136e+7,,3.136e+7
201.40,2.347e+7,,2.347e+7
201.42,2.329e+7,,2.329e+7
201.44,5.308e+7,,5.308e+7
201.45,8.575e+7,,8.575e+7
201.47,2.054e+8,,2.054e+8
201.49,4.168e+8,,4.168e+8
201.50,5.558e+8,,5.558e+8
201.52,8.656e+8,,8.656e+8
201.54,1.129e+9,,1.129e+9
201.55,1.207e+9,,1.207e+9
201.57,1.207e+9,,1.207e+9
201.59,1.011e+9,,1.011e+9
201.60,8.656e+8,,8.656e+8
201.62,5.558e+8,,5.558e+8
201.64,2.989e+8,,2.989e+8
201.65,2.051e+8,,2.051e+8
201.67,8.455e+7,,8.455e+7
201.69,2.919e+7,,2.919e+7
201.70,1.605e+7,,1.605e+7
201.72,4.249e+6,,4.249e+6
201.74,9.419e+5,,9.419e+5
201.75,4.150e+5,,4.150e+5
201.77,7.053e+4,,7.053e+4
201.79,1.004e+4,,1.004e+4
201.80,3.544e+3,,3.544e+3
201.82,3.867e+2,,3.867e+2
201.84,3.534e+1,,3.534e+1
201.85,9.998e+0,,9.998e+0
201.87,7.004e-1,,7.004e-1
201.89,4.110e-2,,4.110e-2
201.90,9.316e-3,,9.316e-3
201.92,4.191e-4,,4.191e-4
201.94,1.579e-5,,1.579e-5
201.95,2.868e-6,,2.868e-6
201.97,8.282e-8,,8.282e-8
202.02,7.980e-8,7.980e-8,6.070e-8
202.04,2.680e-6,2.680e-6,5.185e-8
202.05,1.454e-5,1.454e-5,4.743e-8
202.07,3.751e-4,3.751e-4,3.858e-8
202.09,8.119e-3,8.119e-3,2.973e-8
202.10,3.536e-2,3.536e-2,2.531e-8
202.12,5.881e-1,5.881e-1,1.646e-8
202.14,8.204e+0,8.204e+0,6.560e-7
202.15,2.869e+1,2.869e+1,3.878e-6
202.17,3.075e+2,3.075e+2,1.188e-4
202.19,2.764e+3,2.764e+3,3.054e-3
202.20,7.761e+3,7.761e+3,1.450e-2
202.22,5.361e+4,5.361e+4,2.864e-1
202.24,3.107e+5,3.107e+5,4.748e+0
202.25,7.002e+5,7.002e+5,1.810e+1
202.27,3.118e+6,3.118e+6,2.306e+2
202.29,1.165e+7,1.164e+7,2.465e+3
202.30,2.108e+7,2.107e+7,7.545e+3
202.32,6.052e+7,6.046e+7,6.199e+4
202.34,1.460e+8,1.455e+8,4.273e+5
202.35,2.125e+8,2.114e+8,1.050e+6
202.37,3.966e+8,3.910e+8,5.564e+6
202.39,6.314e+8,6.067e+8,2.473e+7
202.40,7.563e+8,7.075e+8,4.882e+7
202.42,1.010e+9,8.434e+8,1.668e+8
202.44,1.321e+9,8.434e+8,4.780e+8
202.45,1.547e+9,7.896e+8,7.577e+8
202.47,2.276e+9,6.067e+8,1.669e+9
202.48,2.817e+9,4.979e+8,2.319e+9
202.50,4.221e+9,2.939e+8,3.927e+9
202.52,5.723e+9,1.455e+8,5.578e+9
202.53,6.320e+9,9.589e+7,6.224e+9
202.55,6.832e+9,3.648e+7,6.795e+9
202.57,6.237e+9,1.164e+7,6.225e+9
202.58,5.585e+9,6.159e+6,5.579e+9
202.60,3.931e+9,1.510e+6,3.929e+9
202.62,2.325e+9,3.107e+5,2.325e+9
202.63,1.677e+9,1.319e+5,1.677e+9
202.65,7.730e+8,2.085e+4,7.730e+8
202.67,3.124e+8,2.764e+3,3.124e+8
202.68,1.945e+8,9.424e+2,1.945e+8
202.70,8.185e+7,9.600e+1,8.185e+7
202.72,4.502e+7,8.204e+0,4.502e+7
202.73,3.649e+7,2.245e+0,3.649e+7
202.75,2.483e+7,1.474e-1,2.483e+7
202.77,1.551e+7,8.119e-3,1.551e+7
202.78,1.161e+7,1.784e-3,1.161e+7
202.80,5.745e+6,7.549e-5,5.745e+6
202.82,2.432e+6,2.680e-6,2.432e+6
