Wavelength (nm),Sum(calc),Cu I (9.3e-3),Cu II (9.9e-1)
203.27,4.666e+5,4.941e-8,4.666e+5
203.28,2.174e+5,4.937e-8,2.174e+5
203.30,4.170e+4,4.929e-8,4.170e+4
203.32,9.891e+3,4.922e-8,9.891e+3
203.33,1.280e+4,4.918e-8,1.280e+4
203.35,9.084e+4,4.910e-8,9.084e+4
203.37,6.674e+5,4.903e-8,6.674e+5
203.38,1.698e+6,4.899e-8,1.698e+6
203.40,9.646e+6,4.891e-8,9.646e+6
203.42,4.606e+7,4.884e-8,4.606e+7
203.43,9.431e+7,4.880e-8,9.431e+7
203.45,3.470e+8,4.873e-8,3.470e+8
203.47,1.073e+9,4.865e-8,1.073e+9
203.48,1.769e+9,4.861e-8,1.769e+9
203.50,4.218e+9,4.854e-8,4.218e+9
203.52,8.456e+9,4.846e-8,8.456e+9
203.53,1.122e+10,4.842e-8,1.122e+10
203.55,1.739e+10,4.835e-8,1.739e+10
203.57,2.279e+10,4.827e-8,2.279e+10
203.58,2.458e+10,4.823e-8,2.458e+10
203.60,2.572e+10,4.816e-8,2.572e+10
203.62,2.434e+10,4.808e-8,2.434e+10
203.63,2.337e+10,4.804e-8,2.337e+10
203.65,2.235e+10,4.797e-8,2.235e+10
203.67,2.330e+10,4.789e-8,2.330e+10
203.68,2.423e+10,4.785e-8,2.423e+10
203.70,2.557e+10,4.778e-8,2.557e+10
203.72,2.442e+10,4.770e-8,2.442e+10
203.73,2.264e+10,4.767e-8,2.264e+10
203.75,1.727e+10,4.759e-8,1.727e+10
203.77,1.115e+10,4.751e-8,1.115e+10
203.78,8.406e+9,4.748e-8,8.406e+9
203.80,4.196e+9,4.740e-8,4.196e+9
203.82,1.761e+9,4.732e-8,1.761e+9
203.83,1.070e+9,4.729e-8,1.070e+9
203.85,3.462e+8,4.721e-8,3.462e+8
203.87,9.423e+7,4.714e-8,9.423e+7
203.88,4.606e+7,4.710e-8,4.606e+7
203.90,9.664e+6,4.702e-8,9.664e+6
203.92,1.705e+6,4.695e-8,1.705e+6
203.93,6.709e+5,4.691e-8,6.709e+5
203.95,9.122e+4,4.683e-8,9.122e+4
203.97,1.043e+4,4.676e-8,1.043e+4
203.98,3.304e+3,4.672e-8,3.304e+3
204.00,2.911e+2,4.664e-8,2.911e+2
204.02,2.159e+1,4.657e-8,2.159e+1
204.03,5.601e+0,4.653e-8,5.601e+0
204.05,2.172e+0,4.645e-8,2.172e+0
204.07,2.931e+1,4.638e-8,2.931e+1
204.08,1.090e+2,4.634e-8,1.090e+2
204.10,1.328e+3,4.626e-8,1.328e+3
204.12,1.360e+4,4.619e-8,1.360e+4
204.13,4.082e+4,4.615e-8,4.082e+4
204.15,3.230e+5,4.608e-8,3.230e+5
204.17,2.151e+6,4.600e-8,2.151e+6
204.18,5.203e+6,4.596e-8,5.203e+6
204.20,2.675e+7,4.589e-8,2.675e+7
204.22,1.158e+8,4.581e-8,1.158e+8
204.23,2.258e+8,4.577e-8,2.258e+8
204.25,7.547e+8,4.570e-8,7.547e+8
204.27,2.123e+9,4.562e-8,2.123e+9
204.28,3.338e+9,4.558e-8,3.338e+9
204.30,7.249e+9,4.551e-8,7.249e+9
204.32,1.325e+10,4.543e-8,1.325e+10
204.33,1.680e+10,4.539e-8,1.680e+10
204.35,2.371e+10,4.532e-8,2.371e+10
204.37,2.817e+10,4.524e-8,2.817e+10
204.38,2.878e+10,4.521e-8,2.878e+10
204.40,2.641e+10,4.513e-8,2.641e+10
204.42,2.039e+10,4.505e-8,2.039e+10
204.43,1.680e+10,4.502e-8,1.680e+10
204.45,1.001e+10,4.494e-8,1.001e+10
204.47,5.026e+9,4.486e-8,5.026e+9
204.48,3.338e+9,4.483e-8,3.338e+9
204.50,1.293e+9,4.475e-8,1.293e+9
204.52,4.218e+8,4.468e-8,4.218e+8
204.53,2.258e+8,4.464e-8,2.258e+8
204.55,5.687e+7,4.456e-8,5.687e+7
204.57,1.206e+7,4.449e-8,1.206e+7
204.58,5.214e+6,4.445e-8,5.214e+6
204.60,9.035e+5,4.437e-8,9.035e+5
204.62,3.222e+5,4.430e-8,3.222e+5
204.63,4.227e+5,4.426e-8,4.227e+5
204.65,1.170e+6,4.418e-8,1.170e+6
204.66,1.911e+6,4.415e-8,1.911e+6
204.68,4.507e+6,4.407e-8,4.507e+6
204.70,8.958e+6,4.399e-8,8.958e+6
204.71,1.184e+7,4.396e-8,1.184e+7
204.73,1.819e+7,4.388e-8,1.819e+7
204.75,2.353e+7,4.380e-8,2.353e+7
204.76,2.510e+7,4.377e-8,2.510e+7
204.78,2.510e+7,4.369e-8,2.510e+7
204.80,2.114e+7,4.362e-8,2.114e+7
204.81,1.819e+7,4.358e-8,1.819e+7
204.83,1.184e+7,4.350e-8,1.184e+7
204.85,6.492e+6,4.343e-8,6.492e+6
204.86,4.507e+6,4.339e-8,4.507e+6
204.88,1.910e+6,4.331e-8,1.910e+6
204.90,6.817e+5,4.324e-8,6.817e+5
204.91,3.818e+5,4.320e-8,3.818e+5
204.93,1.053e+5,4.312e-8,1.053e+5
204.95,2.447e+4,4.305e-8,2.447e+4
204.96,1.106e+4,4.301e-8,1.106e+4
204.98,1.986e+3,4.293e-8,1.986e+3
205.00,3.004e+2,4.286e-8,3.004e+2
205.01,1.095e+2,4.282e-8,1.095e+2
205.03,1.280e+1,4.274e-8,1.280e+1
205.05,1.261e+0,4.267e-8,1.261e+0
205.06,3.709e-1,4.263e-8,3.709e-1
205.08,2.854e-2,4.256e-8,2.854e-2
205.10,7.591e-3,4.248e-8,7.591e-3
205.11,2.383e-2,4.244e-8,2.383e-2
205.13,3.383e-1,4.237e-8,3.383e-1
205.15,4.148e+0,4.229e-8,4.148e+0
205.16,1.367e+1,4.225e-8,1.367e+1
205.18,1.318e+2,4.218e-8,1.318e+2
205.20,1.092e+3,4.210e-8,1.092e+3
205.21,2.978e+3,4.206e-8,2.978e+3
205.23,2.006e+4,4.199e-8,2.006e+4
205.25,1.199e+5,4.191e-8,1.199e+5
205.26,2.819e+5,4.187e-8,2.819e+5
205.28,1.451e+6,4.180e-8,1.451e+6
205.30,6.815e+6,4.172e-8,6.815e+6
205.31,1.425e+7,4.168e-8,1.425e+7
205.33,5.752e+7,4.161e-8,5.752e+7
205.35,2.058e+8,4.153e-8,2.058e+8
205.36,3.704e+8,4.150e-8,3.704e+8
205.38,1.075e+9,4.142e-8,1.075e+9
205.40,2.679e+9,4.134e-8,2.679e+9
205.41,3.983e+9,4.131e-8,3.983e+9
205.43,7.789e+9,4.123e-8,7.789e+9
205.45,1.291e+10,4.115e-8,1.291e+10
205.46,1.560e+10,4.112e-8,1.560e+10
205.48,2.009e+10,4.104e-8,2.009e+10
205.50,2.184e+10,4.097e-8,2.184e+10
205.51,2.137e+10,4.093e-8,2.137e+10
205.53,1.801e+10,4.085e-8,1.801e+10
205.55,1.280e+10,4.078e-8,1.280e+10
