Wavelength (nm),Sum(calc),Cu I (2.0e-1),Cu II (8.0e-1)
200.87,5.339e-11,,5.339e-11
200.89,2.228e-9,,2.228e-9
200.90,1.347e-8,,1.347e-8
200.92,4.306e-7,,4.306e-7
200.94,1.153e-5,,1.153e-5
200.95,5.579e-5,,5.579e-5
200.97,1.144e-3,,1.144e-3
200.99,1.964e-2,,1.964e-2
201.00,7.613e-2,,7.613e-2
201.02,1.001e+0,,1.001e+0
201.04,1.102e+1,,1.102e+1
201.05,3.421e+1,,3.421e+1
201.07,2.885e+2,,2.885e+2
201.09,2.037e+3,,2.037e+3
201.10,5.065e+3,,5.065e+3
201.12,2.739e+4,,2.739e+4
201.14,1.240e+5,,1.240e+5
201.15,2.469e+5,,2.469e+5
201.17,8.566e+5,,8.566e+5
201.19,2.488e+6,,2.488e+6
201.20,3.966e+6,,3.966e+6
201.22,8.823e+6,,8.823e+6
201.24,1.643e+7,,1.643e+7
201.25,2.098e+7,,2.098e+7
201.27,2.993e+7,,2.993e+7
201.29,3.575e+7,,3.575e+7
201.30,3.656e+7,,3.656e+7
201.32,3.345e+7,,3.345e+7
201.34,2.563e+7,,2.563e+7
201.35,2.101e+7,,2.101e+7
201.37,1.246e+7,,1.246e+7
201.39,6.806e+6,,6.806e+6
201.40,5.540e+6,,5.540e+6
201.42,7.438e+6,,7.438e+6
201.44,1.928e+7,,1.928e+7
201.45,3.156e+7,,3.156e+7
201.47,7.602e+7,,7.602e+7
201.49,1.544e+8,,1.544e+8
201.50,2.059e+8,,2.059e+8
201.52,3.206e+8,,3.206e+8
201.54,4.182e+8,,4.182e+8
201.55,4.470e+8,,4.470e+8
201.57,4.470e+8,,4.470e+8
201.59,3.744e+8,,3.744e+8
201.60,3.206e+8,,3.206e+8
201.62,2.059e+8,,2.059e+8
201.64,1.107e+8,,1.107e+8
201.65,7.596e+7,,7.596e+7
201.67,3.132e+7,,3.132e+7
201.69,1.081e+7,,1.081e+7
201.70,5.945e+6,,5.945e+6
201.72,1.574e+6,,1.574e+6
201.74,3.489e+5,,3.489e+5
201.75,1.537e+5,,1.537e+5
201.77,2.612e+4,,2.612e+4
201.79,3.718e+3,,3.718e+3
201.80,1.313e+3,,1.313e+3
201.82,1.432e+2,,1.432e+2
201.84,1.309e+1,,1.309e+1
201.85,3.703e+0,,3.703e+0
201.87,2.594e-1,,2.594e-1
201.89,1.522e-2,,1.522e-2
201.90,3.451e-3,,3.451e-3
201.92,1.552e-4,,1.552e-4
201.94,5.848e-6,,5.848e-6
201.95,1.062e-6,,1.062e-6
201.97,3.068e-8,,3.068e-8
202.02,1.140e-7,1.140e-7,2.249e-8
202.04,3.829e-6,3.829e-6,1.921e-8
202.05,2.077e-5,2.077e-5,1.758e-8
202.07,5.360e-4,5.360e-4,1.430e-8
202.09,1.160e-2,1.160e-2,1.103e-8
202.10,5.053e-2,5.053e-2,9.390e-9
202.12,8.403e-1,8.403e-1,6.115e-9
202.14,1.172e+1,1.172e+1,2.438e-7
202.15,4.099e+1,4.099e+1,1.441e-6
202.17,4.393e+2,4.393e+2,4.415e-5
202.19,3.950e+3,3.950e+3,1.135e-3
202.20,1.109e+4,1.109e+4,5.388e-3
202.22,7.660e+4,7.660e+4,1.064e-1
202.24,4.439e+5,4.439e+5,1.764e+0
202.25,1.000e+6,1.000e+6,6.726e+0
202.27,4.454e+6,4.454e+6,8.569e+1
202.29,1.664e+7,1.664e+7,9.160e+2
202.30,3.011e+7,3.010e+7,2.804e+3
202.32,8.641e+7,8.638e+7,2.303e+4
202.34,2.081e+8,2.079e+8,1.588e+5
202.35,3.025e+8,3.021e+8,3.903e+5
202.37,5.608e+8,5.587e+8,2.068e+6
202.39,8.760e+8,8.668e+8,9.190e+6
202.40,1.029e+9,1.011e+9,1.814e+7
202.42,1.267e+9,1.205e+9,6.197e+7
202.44,1.383e+9,1.205e+9,1.776e+8
202.45,1.410e+9,1.128e+9,2.816e+8
202.47,1.487e+9,8.668e+8,6.202e+8
202.48,1.573e+9,7.114e+8,8.619e+8
202.50,1.879e+9,4.199e+8,1.459e+9
202.52,2.281e+9,2.079e+8,2.073e+9
202.53,2.450e+9,1.370e+8,2.313e+9
202.55,2.577e+9,5.213e+7,2.525e+9
202.57,2.330e+9,1.664e+7,2.313e+9
202.58,2.082e+9,8.800e+6,2.073e+9
202.60,1.462e+9,2.158e+6,1.460e+9
202.62,8.635e+8,4.439e+5,8.631e+8
