Wavelength (nm),Sum(calc),Cu I (8.2e-2),Cu II (9.2e-1)
200.87,9.791e-12,,9.791e-12
200.89,4.086e-10,,4.086e-10
200.90,2.470e-9,,2.470e-9
200.92,7.897e-8,,7.897e-8
200.94,2.114e-6,,2.114e-6
200.95,1.023e-5,,1.023e-5
200.97,2.098e-4,,2.098e-4
200.99,3.601e-3,,3.601e-3
201.00,1.396e-2,,1.396e-2
201.02,1.836e-1,,1.836e-1
201.04,2.021e+0,,2.021e+0
201.05,6.274e+0,,6.274e+0
201.07,5.291e+1,,5.291e+1
201.09,3.736e+2,,3.736e+2
201.10,9.287e+2,,9.287e+2
201.12,5.023e+3,,5.023e+3
201.14,2.275e+4,,2.275e+4
201.15,4.528e+4,,4.528e+4
201.17,1.571e+5,,1.571e+5
201.19,4.562e+5,,4.562e+5
201.20,7.273e+5,,7.273e+5
201.22,1.618e+6,,1.618e+6
201.24,3.013e+6,,3.013e+6
201.25,3.847e+6,,3.847e+6
201.27,5.489e+6,,5.489e+6
201.29,6.556e+6,,6.556e+6
201.30,6.703e+6,,6.703e+6
201.32,6.134e+6,,6.134e+6
201.34,4.702e+6,,4.702e+6
201.35,3.857e+6,,3.857e+6
201.37,2.316e+6,,2.316e+6
201.39,1.398e+6,,1.398e+6
201.40,1.327e+6,,1.327e+6
201.42,2.540e+6,,2.540e+6
201.44,7.256e+6,,7.256e+6
201.45,1.198e+7,,1.198e+7
201.47,2.896e+7,,2.896e+7
201.49,5.882e+7,,5.882e+7
201.50,7.845e+7,,7.845e+7
201.52,1.222e+8,,1.222e+8
201.54,1.594e+8,,1.594e+8
201.55,1.704e+8,,1.704e+8
201.57,1.704e+8,,1.704e+8
201.59,1.427e+8,,1.427e+8
201.60,1.222e+8,,1.222e+8
201.62,7.845e+7,,7.845e+7
201.64,4.219e+7,,4.219e+7
201.65,2.895e+7,,2.895e+7
201.67,1.193e+7,,1.193e+7
201.69,4.121e+6,,4.121e+6
201.70,2.266e+6,,2.266e+6
201.72,5.997e+5,,5.997e+5
201.74,1.330e+5,,1.330e+5
201.75,5.858e+4,,5.858e+4
201.77,9.955e+3,,9.955e+3
201.79,1.417e+3,,1.417e+3
201.80,5.003e+2,,5.003e+2
201.82,5.459e+1,,5.459e+1
201.84,4.989e+0,,4.989e+0
201.85,1.411e+0,,1.411e+0
201.87,9.887e-2,,9.887e-2
201.89,5.802e-3,,5.802e-3
201.90,1.315e-3,,1.315e-3
201.92,5.916e-5,,5.916e-5
201.94,2.229e-6,,2.229e-6
201.95,4.048e-7,,4.048e-7
201.97,1.169e-8,,1.169e-8
202.02,2.301e-8,2.301e-8,8.574e-9
202.04,7.726e-7,7.726e-7,7.328e-9
202.05,4.192e-6,4.192e-6,6.704e-9
202.07,1.082e-4,1.082e-4,5.457e-9
202.09,2.341e-3,2.341e-3,4.211e-9
202.10,1.020e-2,1.020e-2,3.587e-9
202.12,1.696e-1,1.696e-1,2.340e-9
202.14,2.365e+0,2.365e+0,9.330e-8
202.15,8.271e+0,8.271e+0,5.515e-7
202.17,8.865e+1,8.865e+1,1.690e-5
