Wavelength (nm),Sum(calc),Cu I (2.5e-2),Cu II (9.7e-1)
200.87,6.540e-11,,6.540e-11
200.89,2.730e-9,,2.730e-9
200.90,1.650e-8,,1.650e-8
200.92,5.275e-7,,5.275e-7
200.94,1.412e-5,,1.412e-5
200.95,6.834e-5,,6.834e-5
200.97,1.401e-3,,1.401e-3
200.99,2.406e-2,,2.406e-2
201.00,9.325e-2,,9.325e-2
201.02,1.226e+0,,1.226e+0
201.04,1.350e+1,,1.350e+1
201.05,4.191e+1,,4.191e+1
201.07,3.534e+2,,3.534e+2
201.09,2.496e+3,,2.496e+3
201.10,6.204e+3,,6.204e+3
201.12,3.355e+4,,3.355e+4
201.14,1.519e+5,,1.519e+5
201.15,3.025e+5,,3.025e+5
201.17,1.049e+6,,1.049e+6
201.19,3.047e+6,,3.047e+6
201.20,4.858e+6,,4.858e+6
201.22,1.081e+7,,1.081e+7
201.24,2.013e+7,,2.013e+7
201.25,2.570e+7,,2.570e+7
201.27,3.666e+7,,3.666e+7
201.29,4.379e+7,,4.379e+7
201.30,4.478e+7,,4.478e+7
201.32,4.097e+7,,4.097e+7
201.34,3.140e+7,,3.140e+7
201.35,2.573e+7,,2.573e+7
201.37,1.527e+7,,1.527e+7
201.39,8.337e+6,,8.337e+6
201.40,6.786e+6,,6.786e+6
201.42,9.111e+6,,9.111e+6
201.44,2.362e+7,,2.362e+7
201.45,3.866e+7,,3.866e+7
201.47,9.312e+7,,9.312e+7
201.49,1.891e+8,,1.891e+8
201.50,2.522e+8,,2.522e+8
201.52,3.927e+8,,3.927e+8
201.54,5.123e+8,,5.123e+8
201.55,5.475e+8,,5.475e+8
201.57,5.475e+8,,5.475e+8
201.59,4.586e+8,,4.586e+8
201.60,3.927e+8,,3.927e+8
201.62,2.522e+8,,2.522e+8
201.64,1.356e+8,,1.356e+8
201.65,9.305e+7,,9.305e+7
201.67,3.836e+7,,3.836e+7
201.69,1.325e+7,,1.325e+7
201.70,7.283e+6,,7.283e+6
201.72,1.928e+6,,1.928e+6
201.74,4.273e+5,,4.273e+5
201.75,1.883e+5,,1.883e+5
201.77,3.200e+4,,3.200e+4
201.79,4.555e+3,,4.555e+3
201.80,1.608e+3,,1.608e+3
201.82,1.754e+2,,1.754e+2
201.84,1.603e+1,,1.603e+1
201.85,4.536e+0,,4.536e+0
201.87,3.178e-1,,3.178e-1
201.89,1.865e-2,,1.865e-2
201.90,4.227e-3,,4.227e-3
201.92,1.901e-4,,1.901e-4
201.94,7.163e-6,,7.163e-6
201.95,1.301e-6,,1.301e-6
201.97,3.758e-8,,3.758e-8
202.02,1.397e-8,1.397e-8,2.755e-8
202.04,4.690e-7,4.690e-7,2.354e-8
202.05,2.545e-6,2.545e-6,2.153e-8
202.07,6.565e-5,6.565e-5,1.752e-8
202.09,1.421e-3,1.421e-3,1.351e-8
202.10,6.189e-3,6.189e-3,1.150e-8
202.12,1.029e-1,1.029e-1,7.491e-9
202.14,1.436e+0,1.436e+0,2.986e-7
202.15,5.021e+0,5.021e+0,1.765e-6
202.17,5.381e+1,5.381e+1,5.408e-5
202.19,4.838e+2,4.838e+2,1.390e-3
202.20,1.358e+3,1.358e+3,6.600e-3
202.22,9.383e+3,9.383e+3,1.304e-1
202.24,5.438e+4,5.437e+4,2.161e+0
202.25,1.226e+5,1.225e+5,8.239e+0
202.27,5.457e+5,5.456e+5,1.050e+2
202.29,2.039e+6,2.038e+6,1.122e+3
202.30,3.691e+6,3.687e+6,3.435e+3
202.32,1.061e+7,1.058e+7,2.822e+4
202.34,2.567e+7,2.547e+7,1.945e+5
202.35,3.748e+7,3.700e+7,4.781e+5
202.37,7.097e+7,6.844e+7,2.533e+6
202.39,1.174e+8,1.062e+8,1.126e+7
202.40,1.460e+8,1.238e+8,2.222e+7
202.42,2.235e+8,1.476e+8,7.591e+7
202.44,3.652e+8,1.476e+8,2.176e+8
202.45,4.831e+8,1.382e+8,3.449e+8
202.47,8.659e+8,1.062e+8,7.597e+8
202.48,1.143e+9,8.714e+7,1.056e+9
202.50,1.839e+9,5.144e+7,1.787e+9
202.52,2.565e+9,2.547e+7,2.539e+9
202.53,2.850e+9,1.678e+7,2.833e+9
202.55,3.100e+9,6.385e+6,3.093e+9
202.57,2.836e+9,2.038e+6,2.833e+9
202.58,2.540e+9,1.078e+6,2.539e+9
202.60,1.788e+9,2.643e+5,1.788e+9
202.62,1.057e+9,5.437e+4,1.057e+9
202.63,7.618e+8,2.309e+4,7.618e+8
202.65,3.487e+8,3.649e+3,3.487e+8
202.67,1.373e+8,4.838e+2,1.373e+8
202.68,8.281e+7,1.649e+2,8.281e+7
202.70,3.044e+7,1.680e+1,3.044e+7
202.72,1.367e+7,1.436e+0,1.367e+7
202.73,1.023e+7,3.930e-1,1.023e+7
202.75,6.393e+6,2.580e-2,6.393e+6
202.77,3.893e+6,1.421e-3,3.893e+6
202.78,2.900e+6,3.122e-4,2.900e+6
202.80,1.430e+6,1.321e-5,1.430e+6
202.82,6.052e+5,4.690e-7,6.052e+5
202.83,3.824e+5,8.273e-8,3.824e+5
202.85,2.033e+5,8.261e-8,2.033e+5
202.87,3.068e+5,8.249e-8,3.068e+5
202.88,4.716e+5,8.243e-8,4.716e+5
202.90,1.103e+6,8.230e-8,1.103e+6
202.92,2.244e+6,8.218e-8,2.244e+6
202.93,3.023e+6,8.212e-8,3.023e+6
202.95,4.952e+6,8.200e-8,4.952e+6
202.97,7.364e+6,8.187e-8,7.364e+6
202.98,8.853e+6,8.181e-8,8.853e+6
203.00,1.304e+7,8.169e-8,1.304e+7
203.02,2.013e+7,8.157e-8,2.013e+7
203.03,2.514e+7,8.151e-8,2.514e+7
203.05,3.774e+7,8.138e-8,3.774e+7
203.07,5.096e+7,8.126e-8,5.096e+7
203.08,5.617e+7,8.120e-8,5.617e+7
203.10,6.055e+7,8.108e-8,6.055e+7
203.12,5.524e+7,8.096e-8,5.524e+7
203.13,4.947e+7,8.089e-8,4.947e+7
203.15,3.486e+7,8.077e-8,3.486e+7
203.17,2.064e+7,8.065e-8,2.064e+7
203.18,1.488e+7,8.059e-8,1.488e+7
203.20,6.782e+6,8.047e-8,6.782e+6
203.22,2.597e+6,8.034e-8,2.597e+6
203.23,1.505e+6,8.028e-8,1.505e+6
203.25,4.435e+5,8.016e-8,4.435e+5
203.27,1.098e+5,8.004e-8,1.098e+5
203.28,5.116e+4,7.998e-8,5.116e+4
203.30,9.866e+3,7.985e-8,9.866e+3
203.32,2.939e+3,7.973e-8,2.939e+3
203.33,4.948e+3,7.967e-8,4.948e+3
203.35,3.835e+4,7.955e-8,3.835e+4
203.37,2.822e+5,7.942e-8,2.822e+5
203.38,7.178e+5,7.936e-8,7.178e+5
203.40,4.078e+6,7.924e-8,4.078e+6
203.42,1.947e+7,7.912e-8,1.947e+7
203.43,3.987e+7,7.906e-8,3.987e+7
203.45,1.467e+8,7.893e-8,1.467e+8
203.47,4.538e+8,7.881e-8,4.538e+8
203.48,7.479e+8,7.875e-8,7.479e+8
203.50,1.783e+9,7.863e-8,1.783e+9
203.52,3.575e+9,7.850e-8,3.575e+9
203.53,4.745e+9,7.844e-8,4.745e+9
203.55,7.351e+9,7.832e-8,7.351e+9
203.57,9.636e+9,7.820e-8,9.636e+9
203.58,1.039e+10,7.814e-8,1.039e+10
203.60,1.088e+10,7.801e-8,1.088e+10
203.62,1.032e+10,7.789e-8,1.032e+10
203.63,9.919e+9,7.783e-8,9.919e+9
203.65,9.521e+9,7.771e-8,9.521e+9
203.67,9.961e+9,7.759e-8,9.961e+9
203.68,1.037e+10,7.752e-8,1.037e+10
203.70,1.097e+10,7.740e-8,1.097e+10
203.72,1.048e+10,7.728e-8,1.048e+10
203.73,9.719e+9,7.722e-8,9.719e+9
203.75,7.418e+9,7.710e-8,7.418e+9
203.77,4.790e+9,7.697e-8,4.790e+9
203.78,3.610e+9,7.691e-8,3.610e+9
203.80,1.802e+9,7.679e-8,1.802e+9
203.82,7.567e+8,7.667e-8,7.567e+8
203.83,4.594e+8,7.661e-8,4.594e+8
203.85,1.487e+8,7.648e-8,1.487e+8
203.87,4.048e+7,7.636e-8,4.048e+7
203.88,1.979e+7,7.630e-8,1.979e+7
203.90,4.152e+6,7.618e-8,4.152e+6
203.92,7.324e+5,7.605e-8,7.324e+5
203.93,2.882e+5,7.599e-8,2.882e+5
203.95,3.919e+4,7.587e-8,3.919e+4
203.97,4.481e+3,7.575e-8,4.481e+3
203.98,1.420e+3,7.569e-8,1.420e+3
204.00,1.251e+2,7.556e-8,1.251e+2
204.02,9.278e+0,7.544e-8,9.278e+0
204.03,2.407e+0,7.538e-8,2.407e+0
204.05,9.454e-1,7.526e-8,9.454e-1
204.07,1.278e+1,7.514e-8,1.278e+1
204.08,4.756e+1,7.507e-8,4.756e+1
204.10,5.790e+2,7.495e-8,5.790e+2
204.12,5.933e+3,7.483e-8,5.933e+3
204.13,1.780e+4,7.477e-8,1.780e+4
204.15,1.409e+5,7.465e-8,1.409e+5
204.17,9.380e+5,7.452e-8,9.380e+5
204.18,2.269e+6,7.446e-8,2.269e+6
204.20,1.167e+7,7.434e-8,1.167e+7
204.22,5.050e+7,7.422e-8,5.050e+7
204.23,9.849e+7,7.416e-8,9.849e+7
204.25,3.292e+8,7.403e-8,3.292e+8
204.27,9.259e+8,7.391e-8,9.259e+8
204.28,1.456e+9,7.385e-8,1.456e+9
204.30,3.162e+9,7.373e-8,3.162e+9
204.32,5.780e+9,7.360e-8,5.780e+9
204.33,7.326e+9,7.354e-8,7.326e+9
204.35,1.034e+10,7.342e-8,1.034e+10
204.37,1.229e+10,7.330e-8,1.229e+10
204.38,1.255e+10,7.324e-8,1.255e+10
204.40,1.152e+10,7.311e-8,1.152e+10
204.42,8.893e+9,7.299e-8,8.893e+9
204.43,7.326e+9,7.293e-8,7.326e+9
204.45,4.368e+9,7.281e-8,4.368e+9
204.47,2.192e+9,7.268e-8,2.192e+9
204.48,1.456e+9,7.262e-8,1.456e+9
204.50,5.641e+8,7.250e-8,5.641e+8
204.52,1.840e+8,7.238e-8,1.840e+8
204.53,9.849e+7,7.232e-8,9.849e+7
204.55,2.480e+7,7.219e-8,2.480e+7
204.57,5.259e+6,7.207e-8,5.259e+6
204.58,2.272e+6,7.201e-8,2.272e+6
204.60,3.825e+5,7.189e-8,3.825e+5
204.62,9.508e+4,7.177e-8,9.508e+4
204.63,9.964e+4,7.170e-8,9.964e+4
204.65,2.517e+5,7.158e-8,2.517e+5
204.66,4.099e+5,7.152e-8,4.099e+5
204.68,9.660e+5,7.140e-8,9.660e+5
