Wavelength (nm),Sum(calc),Cu I (4.9e-1),Cu II (5.1e-1)
200.87,1.456e-10,,1.456e-10
200.89,6.079e-9,,6.079e-9
200.90,3.674e-8,,3.674e-8
200.92,1.175e-6,,1.175e-6
200.94,3.144e-5,,3.144e-5
200.95,1.522e-4,,1.522e-4
200.97,3.121e-3,,3.121e-3
200.99,5.357e-2,,5.357e-2
201.00,2.077e-1,,2.077e-1
201.02,2.731e+0,,2.731e+0
201.04,3.006e+1,,3.006e+1
201.05,9.333e+1,,9.333e+1
201.07,7.871e+2,,7.871e+2
201.09,5.557e+3,,5.557e+3
201.10,1.382e+4,,1.382e+4
201.12,7.472e+4,,7.472e+4
201.14,3.384e+5,,3.384e+5
201.15,6.736e+5,,6.736e+5
201.17,2.337e+6,,2.337e+6
201.19,6.786e+6,,6.786e+6
201.20,1.082e+7,,1.082e+7
201.22,2.407e+7,,2.407e+7
201.24,4.482e+7,,4.482e+7
201.25,5.723e+7,,5.723e+7
201.27,8.165e+7,,8.165e+7
201.29,9.753e+7,,9.753e+7
201.30,9.972e+7,,9.972e+7
201.32,9.124e+7,,9.124e+7
201.34,6.991e+7,,6.991e+7
201.35,5.727e+7,,5.727e+7
201.37,3.382e+7,,3.382e+7
201.39,1.765e+7,,1.765e+7
201.40,1.321e+7,,1.321e+7
201.42,1.310e+7,,1.310e+7
201.44,2.987e+7,,2.987e+7
201.45,4.825e+7,,4.825e+7
201.47,1.156e+8,,1.156e+8
201.49,2.345e+8,,2.345e+8
201.50,3.128e+8,,3.128e+8
201.52,4.871e+8,,4.871e+8
201.54,6.354e+8,,6.354e+8
201.55,6.791e+8,,6.791e+8
201.57,6.791e+8,,6.791e+8
201.59,5.688e+8,,5.688e+8
201.60,4.871e+8,,4.871e+8
201.62,3.127e+8,,3.127e+8
201.64,1.682e+8,,1.682e+8
201.65,1.154e+8,,1.154e+8
201.67,4.758e+7,,4.758e+7
201.69,1.643e+7,,1.643e+7
201.70,9.032e+6,,9.032e+6
201.72,2.391e+6,,2.391e+6
201.74,5.300e+5,,5.300e+5
201.75,2.335e+5,,2.335e+5
201.77,3.969e+4,,3.969e+4
201.79,5.649e+3,,5.649e+3
201.80,1.994e+3,,1.994e+3
201.82,2.176e+2,,2.176e+2
201.84,1.989e+1,,1.989e+1
201.85,5.626e+0,,5.626e+0
