Wavelength (nm),Sum(calc),Cu I (9.0e-1),Cu II (1.0e-1)
200.88,7.065e-12,,7.065e-12
200.89,4.464e-11,,4.464e-11
200.91,1.560e-9,,1.560e-9
200.93,4.563e-8,,4.563e-8
200.94,2.309e-7,,2.309e-7
200.96,5.175e-6,,5.175e-6
200.98,9.709e-5,,9.709e-5
200.99,3.934e-4,,3.934e-4
201.01,5.654e-3,,5.654e-3
201.03,6.804e-2,,6.804e-2
201.04,2.208e-1,,2.208e-1
201.06,2.035e+0,,2.035e+0
201.08,1.570e+1,,1.570e+1
201.09,4.081e+1,,4.081e+1
201.11,2.413e+2,,2.413e+2
201.13,1.194e+3,,1.194e+3
201.14,2.485e+3,,2.485e+3
201.16,9.420e+3,,9.420e+3
201.18,2.990e+4,,2.990e+4
201.19,4.983e+4,,4.983e+4
201.21,1.212e+5,,1.212e+5
201.23,2.466e+5,,2.466e+5
201.24,3.292e+5,,3.292e+5
201.26,5.133e+5,,5.133e+5
201.28,6.700e+5,,6.700e+5
201.29,7.162e+5,,7.162e+5
201.31,7.162e+5,,7.162e+5
201.33,5.998e+5,,5.998e+5
201.34,5.137e+5,,5.137e+5
201.36,3.319e+5,,3.319e+5
201.38,1.913e+5,,1.913e+5
201.39,1.527e+5,,1.527e+5
201.41,1.800e+5,,1.800e+5
201.43,4.673e+5,,4.673e+5
201.44,7.927e+5,,7.927e+5
201.46,2.079e+6,,2.079e+6
201.48,4.610e+6,,4.610e+6
201.49,6.426e+6,,6.426e+6
201.51,1.094e+7,,1.094e+7
201.53,1.559e+7,,1.559e+7
201.54,1.741e+7,,1.741e+7
201.56,1.903e+7,,1.903e+7
201.58,1.741e+7,,1.741e+7
201.59,1.559e+7,,1.559e+7
201.61,1.094e+7,,1.094e+7
201.63,6.426e+6,,6.426e+6
201.64,4.609e+6,,4.609e+6
201.66,2.076e+6,,2.076e+6
201.68,7.833e+5,,7.833e+5
201.69,4.502e+5,,4.502e+5
201.71,1.302e+5,,1.302e+5
201.73,3.154e+4,,3.154e+4
201.74,1.452e+4,,1.452e+4
201.76,2.697e+3,,2.697e+3
201.78,4.195e+2,,4.195e+2
201.79,1.548e+2,,1.548e+2
201.81,1.846e+1,,1.846e+1
201.83,1.843e+0,,1.843e+0
201.84,5.450e-1,,5.450e-1
201.86,4.172e-2,,4.172e-2
201.88,2.675e-3,,2.675e-3
201.89,6.338e-4,,6.338e-4
201.91,3.115e-5,,3.115e-5
201.93,1.282e-6,,1.282e-6
201.94,2.435e-7,,2.435e-7
201.96,7.684e-9,,7.684e-9
201.98,2.031e-10,,2.031e-10
202.01,4.061e-8,4.061e-8,4.925e-10
202.03,1.489e-6,1.489e-6,6.854e-10
202.04,8.441e-6,8.441e-6,7.819e-10
202.06,2.378e-4,2.378e-4,9.748e-10
202.08,5.619e-3,5.619e-3,1.168e-9
202.09,2.557e-2,2.557e-2,1.264e-9
202.11,4.643e-1,4.643e-1,1.457e-9
202.13,7.072e+0,7.072e+0,1.650e-9
202.14,2.584e+1,2.584e+1,1.019e-8
202.16,3.024e+2,3.024e+2,3.409e-7
202.18,2.968e+3,2.968e+3,9.567e-6
202.19,8.707e+3,8.707e+3,4.745e-5
202.21,6.567e+4,6.567e+4,1.023e-3
202.23,4.155e+5,4.155e+5,1.852e-2
202.24,9.785e+5,9.785e+5,7.377e-2
202.26,4.757e+6,4.757e+6,1.026e+0
202.28,1.940e+7,1.940e+7,1.197e+1
202.29,3.668e+7,3.668e+7,3.829e+1
202.31,1.149e+8,1.149e+8,3.435e+2
202.33,3.020e+8,3.020e+8,2.584e+3
202.34,4.584e+8,4.584e+8,6.638e+3
202.36,9.257e+8,9.257e+8,3.839e+4
202.38,1.568e+9,1.568e+9,1.863e+5
202.39,1.911e+9,1.911e+9,3.842e+5
202.41,2.489e+9,2.487e+9,1.433e+6
202.42,2.659e+9,2.656e+9,2.591e+6
202.44,2.664e+9,2.656e+9,7.426e+6
202.46,2.246e+9,2.228e+9,1.786e+7
202.47,1.937e+9,1.911e+9,2.593e+7
202.49,1.280e+9,1.232e+9,4.793e+7
202.51,7.402e+8,6.659e+8,7.432e+7
202.52,5.451e+8,4.584e+8,8.666e+7
202.54,2.937e+8,1.904e+8,1.033e+8
202.56,1.696e+8,6.636e+7,1.033e+8
202.57,1.334e+8,3.668e+7,9.671e+7
202.59,8.415e+7,9.819e+6,7.433e+7
202.61,5.015e+7,2.205e+6,4.794e+7
202.62,3.704e+7,9.785e+5,3.606e+7
202.64,1.807e+7,1.689e+5,1.790e+7
202.66,7.528e+6,2.444e+4,7.504e+6
202.67,4.587e+6,8.707e+3,4.579e+6
202.69,1.557e+6,9.684e+2,1.556e+6
202.71,5.189e+5,9.036e+1,5.189e+5
202.72,3.180e+5,2.584e+1,3.180e+5
202.74,1.489e+5,1.852e+0,1.489e+5
202.76,8.450e+4,1.114e-1,8.450e+4
202.77,6.378e+4,2.557e-2,6.378e+4
202.79,3.350e+4,1.182e-3,3.350e+4
202.81,1.519e+4,4.579e-5,1.519e+4
202.82,9.714e+3,8.441e-6,9.714e+3
202.84,4.098e+3,2.513e-7,4.098e+3
202.86,3.605e+3,2.510e-7,3.605e+3
202.87,5.039e+3,2.509e-7,5.039e+3
202.89,1.203e+4,2.505e-7,1.203e+4
202.91,2.642e+4,2.502e-7,2.642e+4
202.92,3.697e+4,2.500e-7,3.697e+4
202.94,6.472e+4,2.497e-7,6.472e+4
202.96,1.003e+5,2.494e-7,1.003e+5
202.97,1.213e+5,2.492e-7,1.213e+5
202.99,1.760e+5,2.489e-7,1.760e+5
203.01,2.657e+5,2.485e-7,2.657e+5
203.02,3.316e+5,2.484e-7,3.316e+5
203.04,5.125e+5,2.480e-7,5.125e+5
203.06,7.346e+5,2.477e-7,7.346e+5
203.07,8.398e+5,2.475e-7,8.398e+5
203.09,9.808e+5,2.472e-7,9.808e+5
203.11,9.735e+5,2.469e-7,9.735e+5
203.12,9.102e+5,2.467e-7,9.102e+5
203.14,6.993e+5,2.464e-7,6.993e+5
203.16,4.517e+5,2.461e-7,4.517e+5
203.17,3.401e+5,2.459e-7,3.401e+5
203.19,1.692e+5,2.456e-7,1.692e+5
203.21,7.068e+4,2.452e-7,7.068e+4
203.22,4.279e+4,2.451e-7,4.279e+4
203.24,1.376e+4,2.447e-7,1.376e+4
203.26,3.716e+3,2.444e-7,3.716e+3
203.27,1.809e+3,2.442e-7,1.809e+3
203.29,3.772e+2,2.439e-7,3.772e+2
203.31,7.998e+1,2.436e-7,7.998e+1
203.32,7.301e+1,2.434e-7,7.301e+1
203.34,4.562e+2,2.431e-7,4.562e+2
203.36,3.641e+3,2.428e-7,3.641e+3
203.37,9.672e+3,2.426e-7,9.672e+3
203.39,5.994e+4,2.423e-7,5.994e+4
203.41,3.122e+5,2.419e-7,3.122e+5
203.42,6.675e+5,2.418e-7,6.675e+5
203.44,2.679e+6,2.414e-7,2.679e+6
203.46,9.040e+6,2.411e-7,9.040e+6
203.47,1.556e+7,2.409e-7,1.556e+7
203.49,4.045e+7,2.406e-7,4.045e+7
203.51,8.844e+7,2.403e-7,8.844e+7
203.52,1.225e+8,2.401e-7,1.225e+8
203.54,2.068e+8,2.398e-7,2.068e+8
203.56,2.945e+8,2.395e-7,2.945e+8
203.57,3.304e+8,2.393e-7,3.304e+8
203.59,3.708e+8,2.390e-7,3.708e+8
203.61,3.670e+8,2.386e-7,3.670e+8
203.62,3.548e+8,2.385e-7,3.548e+8
203.64,3.323e+8,2.381e-7,3.323e+8
203.66,3.347e+8,2.378e-7,3.347e+8
203.67,3.465e+8,2.376e-7,3.465e+8
203.69,3.752e+8,2.373e-7,3.752e+8
203.71,3.806e+8,2.370e-7,3.806e+8
203.72,3.663e+8,2.368e-7,3.663e+8
203.74,3.030e+8,2.365e-7,3.030e+8
203.76,2.129e+8,2.362e-7,2.129e+8
203.77,1.675e+8,2.360e-7,1.675e+8
203.79,9.116e+7,2.357e-7,9.116e+7
203.81,4.174e+7,2.353e-7,4.174e+7
203.82,2.647e+7,2.352e-7,2.647e+7
203.84,9.344e+6,2.348e-7,9.344e+6
203.86,2.774e+6,2.345e-7,2.774e+6
203.87,1.416e+6,2.343e-7,1.416e+6
203.89,3.240e+5,2.340e-7,3.240e+5
203.91,6.234e+4,2.337e-7,6.234e+4
203.92,2.562e+4,2.335e-7,2.562e+4
203.94,3.800e+3,2.332e-7,3.800e+3
203.96,4.737e+2,2.328e-7,4.737e+2
203.97,1.567e+2,2.327e-7,1.567e+2
203.99,1.506e+1,2.324e-7,1.506e+1
204.01,1.217e+0,2.320e-7,1.217e+0
204.02,3.246e-1,2.319e-7,3.246e-1
204.04,2.701e-2,2.315e-7,2.701e-2
204.06,1.182e-1,2.312e-7,1.182e-1
204.07,4.556e-1,2.310e-7,4.556e-1
204.09,6.043e+0,2.307e-7,6.043e+0
204.11,6.749e+1,2.304e-7,6.749e+1
204.12,2.114e+2,2.302e-7,2.114e+2
204.14,1.824e+3,2.299e-7,1.824e+3
204.16,1.324e+4,2.295e-7,1.324e+4
204.17,3.343e+4,2.294e-7,3.343e+4
204.19,1.874e+5,2.291e-7,1.874e+5
204.21,8.840e+5,2.287e-7,8.840e+5
204.22,1.800e+6,2.286e-7,1.800e+6
204.24,6.557e+6,2.282e-7,6.557e+6
204.26,2.010e+7,2.279e-7,2.010e+7
204.27,3.300e+7,2.277e-7,3.300e+7
204.29,7.812e+7,2.274e-7,7.812e+7
204.31,1.557e+8,2.271e-7,1.557e+8
204.32,2.060e+8,2.269e-7,2.060e+8
204.34,3.170e+8,2.266e-7,3.170e+8
204.36,4.105e+8,2.262e-7,4.105e+8
204.37,4.379e+8,2.261e-7,4.379e+8
204.39,4.379e+8,2.257e-7,4.379e+8
204.41,3.686e+8,2.254e-7,3.686e+8
204.42,3.170e+8,2.253e-7,3.170e+8
204.44,2.060e+8,2.249e-7,2.060e+8
204.46,1.127e+8,2.246e-7,1.127e+8
204.47,7.812e+7,2.244e-7,7.812e+7
204.49,3.300e+7,2.241e-7,3.300e+7
204.50,2.010e+7,2.239e-7,2.010e+7
204.52,6.557e+6,2.236e-7,6.557e+6
204.54,1.800e+6,2.233e-7,1.800e+6
204.55,8.840e+5,2.231e-7,8.840e+5
204.57,1.874e+5,2.228e-7,1.874e+5
204.59,3.351e+4,2.224e-7,3.351e+4
204.60,1.340e+4,2.223e-7,1.340e+4
204.62,2.468e+3,2.219e-7,2.468e+3
204.64,2.354e+3,2.216e-7,2.354e+3
204.65,3.731e+3,2.215e-7,3.731e+3
204.67,9.427e+3,2.211e-7,9.427e+3
204.69,2.040e+4,2.208e-7,2.040e+4
204.70,2.815e+4,2.206e-7,2.815e+4
204.72,4.712e+4,2.203e-7,4.712e+4
204.74,6.643e+4,2.200e-7,6.643e+4
204.75,7.396e+4,2.198e-7,7.396e+4
204.77,8.059e+4,2.195e-7,8.059e+4
204.79,7.396e+4,2.191e-7,7.396e+4
204.80,6.643e+4,2.190e-7,6.643e+4
204.82,4.712e+4,2.186e-7,4.712e+4
204.84,2.815e+4,2.183e-7,2.815e+4
204.85,2.040e+4,2.182e-7,2.040e+4
204.87,9.421e+3,2.178e-7,9.421e+3
204.89,3.664e+3,2.175e-7,3.664e+3
204.90,2.142e+3,2.173e-7,2.142e+3
204.92,6.439e+2,2.170e-7,6.439e+2
204.94,1.630e+2,2.167e-7,1.630e+2
204.95,7.691e+1,2.165e-7,7.691e+1
204.97,1.505e+1,2.162e-7,1.505e+1
204.99,2.480e+0,2.158e-7,2.480e+0
205.00,9.441e-1,2.157e-7,9.441e-1
205.02,1.203e-1,2.153e-7,1.203e-1
205.04,1.290e-2,2.150e-7,1.290e-2
205.05,3.962e-3,2.148e-7,3.962e-3
205.07,3.288e-4,2.145e-7,3.288e-4
205.09,2.794e-5,2.142e-7,2.794e-5
205.10,2.687e-5,2.140e-7,2.687e-5
205.12,3.381e-4,2.137e-7,3.381e-4
205.14,4.611e-3,2.134e-7,4.611e-3
205.15,1.611e-2,2.132e-7,1.611e-2
205.17,1.772e-1,2.129e-7,1.772e-1
205.19,1.718e+0,2.125e-7,1.718e+0
205.20,5.130e+0,2.124e-7,5.130e+0
205.22,4.243e+1,2.120e-7,4.243e+1
205.24,3.202e+2,2.117e-7,3.202e+2
205.25,8.499e+2,2.115e-7,8.499e+2
205.27,5.559e+3,2.112e-7,5.559e+3
205.29,3.250e+4,2.109e-7,3.250e+4
205.30,7.494e+4,2.107e-7,7.494e+4
205.32,3.590e+5,2.104e-7,3.590e+5
205.34,1.482e+6,2.101e-7,1.482e+6
205.35,2.839e+6,2.099e-7,2.839e+6
205.37,9.232e+6,2.096e-7,9.232e+6
205.39,2.547e+7,2.092e-7,2.547e+7
205.40,3.974e+7,2.091e-7,3.974e+7
205.42,8.529e+7,2.087e-7,8.529e+7
205.44,1.546e+8,2.084e-7,1.546e+8
205.45,1.953e+8,2.082e-7,1.953e+8
205.47,2.744e+8,2.079e-7,2.744e+8
205.49,3.252e+8,2.076e-7,3.252e+8
205.50,3.322e+8,2.074e-7,3.322e+8
205.52,3.050e+8,2.071e-7,3.050e+8
205.54,2.361e+8,2.068e-7,2.361e+8
205.55,1.949e+8,2.066e-7,1.949e+8
205.57,1.169e+8,2.063e-7,1.169e+8
205.59,5.908e+7,2.059e-7,5.908e+7
205.60,3.941e+7,2.058e-7,3.941e+7
205.62,1.543e+7,2.054e-7,1.543e+7
205.64,5.093e+6,2.051e-7,5.093e+6
205.65,2.745e+6,2.049e-7,2.745e+6
205.67,7.018e+5,2.046e-7,7.018e+5
205.69,1.513e+5,2.043e-7,1.513e+5
205.70,6.589e+4,2.041e-7,6.589e+4
205.72,1.100e+4,2.038e-7,1.100e+4
205.74,1.548e+3,2.035e-7,1.548e+3
205.75,5.449e+2,2.033e-7,5.449e+2
205.77,5.939e+1,2.030e-7,5.939e+1
205.79,5.458e+0,2.026e-7,5.458e+0
205.80,1.552e+0,2.025e-7,1.552e+0
205.82,1.105e-1,2.021e-7,1.105e-1
205.84,6.629e-3,2.018e-7,6.629e-3
205.85,1.523e-3,2.016e-7,1.523e-3
205.87,7.088e-5,2.013e-7,7.088e-5
205.89,4.563e-6,2.010e-7,4.563e-6
205.90,8.219e-6,2.008e-7,8.219e-6
205.92,1.258e-4,2.005e-7,1.258e-4
205.94,1.734e-3,2.001e-7,1.734e-3
205.95,6.043e-3,2.000e-7,6.043e-3
205.97,6.463e-2,1.997e-7,6.463e-2
205.99,5.836e-1,1.993e-7,5.836e-1
206.00,1.646e+0,1.992e-7,1.646e+0
206.02,1.153e+1,1.988e-7,1.153e+1
206.04,6.818e+1,1.985e-7,6.818e+1
206.05,1.556e+2,1.983e-7,1.556e+2
206.07,7.139e+2,1.980e-7,7.139e+2
206.09,2.765e+3,1.977e-7,2.765e+3
206.10,5.108e+3,1.975e-7,5.108e+3
206.12,1.535e+4,1.972e-7,1.535e+4
206.14,3.894e+4,1.968e-7,3.894e+4
206.15,5.821e+4,1.967e-7,5.821e+4
206.17,1.146e+5,1.964e-7,1.146e+5
206.19,1.904e+5,1.960e-7,1.904e+5
206.20,2.303e+5,1.959e-7,2.303e+5
206.22,2.968e+5,1.955e-7,2.968e+5
206.24,3.231e+5,1.952e-7,3.231e+5
206.25,3.163e+5,1.950e-7,3.163e+5
206.27,2.670e+5,1.947e-7,2.670e+5
206.29,1.904e+5,1.944e-7,1.904e+5
206.30,1.508e+5,1.942e-7,1.508e+5
206.32,8.340e+4,1.939e-7,8.340e+4
206.34,3.894e+4,1.935e-7,3.894e+4
206.35,2.497e+4,1.934e-7,2.497e+4
206.37,9.043e+3,1.930e-7,9.043e+3
206.39,2.766e+3,1.927e-7,2.766e+3
206.40,1.438e+3,1.926e-7,1.438e+3
206.42,3.587e+2,1.922e-7,3.587e+2
206.44,1.670e+2,1.919e-7,1.670e+2
206.45,2.441e+2,1.917e-7,2.441e+2
206.47,9.080e+2,1.914e-7,9.080e+2
206.49,3.201e+3,1.911e-7,3.201e+3
206.50,5.655e+3,1.909e-7,5.655e+3
206.52,1.555e+4,1.906e-7,1.555e+4
206.54,3.615e+4,1.902e-7,3.615e+4
206.55,5.173e+4,1.901e-7,5.173e+4
206.57,9.333e+4,1.897e-7,9.333e+4
206.58,1.177e+5,1.896e-7,1.177e+5
206.60,1.649e+5,1.892e-7,1.649e+5
206.62,1.952e+5,1.889e-7,1.952e+5
206.63,1.994e+5,1.888e-7,1.994e+5
206.65,1.832e+5,1.884e-7,1.832e+5
206.67,1.423e+5,1.881e-7,1.423e+5
206.68,1.177e+5,1.879e-7,1.177e+5
206.70,7.096e+4,1.876e-7,7.096e+4
206.72,3.615e+4,1.873e-7,3.615e+4
206.73,2.422e+4,1.871e-7,2.422e+4
206.75,9.579e+3,1.868e-7,9.579e+3
206.77,3.203e+3,1.864e-7,3.203e+3
206.78,1.742e+3,1.863e-7,1.742e+3
206.80,4.776e+2,1.859e-7,4.776e+2
206.82,2.212e+2,1.856e-7,2.212e+2
206.83,2.883e+2,1.855e-7,2.883e+2
206.85,8.711e+2,1.851e-7,8.711e+2
206.87,2.576e+3,1.848e-7,2.576e+3
206.88,4.174e+3,1.846e-7,4.174e+3
206.90,9.671e+3,1.843e-7,9.671e+3
206.92,1.894e+4,1.840e-7,1.894e+4
206.93,2.489e+4,1.838e-7,2.489e+4
206.95,3.788e+4,1.835e-7,3.788e+4
206.97,4.874e+4,1.831e-7,4.874e+4
206.98,5.191e+4,1.830e-7,5.191e+4
207.00,5.191e+4,1.826e-7,5.191e+4
207.02,4.388e+4,1.823e-7,4.388e+4
207.03,3.788e+4,1.821e-7,3.788e+4
207.05,2.489e+4,1.818e-7,2.489e+4
207.07,1.382e+4,1.815e-7,1.382e+4
207.08,9.671e+3,1.813e-7,9.671e+3
207.10,4.174e+3,1.810e-7,4.174e+3
207.12,1.523e+3,1.807e-7,1.523e+3
207.13,8.637e+2,1.805e-7,8.637e+2
207.15,2.449e+2,1.802e-7,2.449e+2
207.17,5.871e+1,1.798e-7,5.871e+1
207.18,2.699e+1,1.797e-7,2.699e+1
207.20,5.028e+0,1.793e-7,5.028e+0
207.22,7.917e-1,1.790e-7,7.917e-1
207.23,2.950e-1,1.788e-7,2.950e-1
207.25,3.611e-2,1.785e-7,3.611e-2
207.27,3.735e-3,1.782e-7,3.735e-3
207.28,1.128e-3,1.780e-7,1.128e-3
207.30,9.071e-5,1.777e-7,9.071e-5
207.32,6.166e-6,1.774e-7,6.166e-6
207.33,1.509e-6,1.772e-7,1.509e-6
207.35,7.973e-8,1.769e-7,7.973e-8
207.37,3.560e-9,1.765e-7,3.560e-9
207.38,7.064e-10,1.764e-7,7.064e-10
207.40,2.452e-11,1.760e-7,2.452e-11
207.42,7.193e-13,1.757e-7,7.193e-13
207.43,3.017e-12,1.755e-7,3.017e-12
207.45,1.044e-10,1.752e-7,1.044e-10
