Wavelength (nm),Sum(calc),Cu I (9.8e-1),Cu II (2.2e-2)
200.88,1.399e-13,,1.399e-13
200.89,8.841e-13,,8.841e-13
200.91,3.089e-11,,3.089e-11
200.93,9.037e-10,,9.037e-10
200.94,4.573e-9,,4.573e-9
200.96,1.025e-7,,1.025e-7
200.98,1.923e-6,,1.923e-6
200.99,7.791e-6,,7.791e-6
201.01,1.120e-4,,1.120e-4
201.03,1.347e-3,,1.347e-3
201.04,4.372e-3,,4.372e-3
201.06,4.030e-2,,4.030e-2
201.08,3.110e-1,,3.110e-1
201.09,8.082e-1,,8.082e-1
201.11,4.778e+0,,4.778e+0
201.13,2.364e+1,,2.364e+1
201.14,4.921e+1,,4.921e+1
201.16,1.866e+2,,1.866e+2
201.18,5.921e+2,,5.921e+2
201.19,9.869e+2,,9.869e+2
201.21,2.399e+3,,2.399e+3
201.23,4.884e+3,,4.884e+3
201.24,6.519e+3,,6.519e+3
201.26,1.016e+4,,1.016e+4
201.28,1.327e+4,,1.327e+4
201.29,1.418e+4,,1.418e+4
201.31,1.418e+4,,1.418e+4
201.33,1.188e+4,,1.188e+4
201.34,1.019e+4,,1.019e+4
201.36,6.656e+3,,6.656e+3
201.38,4.237e+3,,4.237e+3
201.39,3.999e+3,,3.999e+3
201.41,7.592e+3,,7.592e+3
201.43,2.318e+4,,2.318e+4
201.44,3.992e+4,,3.992e+4
201.46,1.054e+5,,1.054e+5
201.48,2.338e+5,,2.338e+5
201.49,3.260e+5,,3.260e+5
201.51,5.547e+5,,5.547e+5
201.53,7.907e+5,,7.907e+5
201.54,8.833e+5,,8.833e+5
201.56,9.652e+5,,9.652e+5
201.58,8.833e+5,,8.833e+5
201.59,7.907e+5,,7.907e+5
201.61,5.547e+5,,5.547e+5
201.63,3.260e+5,,3.260e+5
201.64,2.338e+5,,2.338e+5
201.66,1.053e+5,,1.053e+5
201.68,3.973e+4,,3.973e+4
201.69,2.284e+4,,2.284e+4
201.71,6.605e+3,,6.605e+3
201.73,1.600e+3,,1.600e+3
201.74,7.368e+2,,7.368e+2
201.76,1.368e+2,,1.368e+2
201.78,2.128e+1,,2.128e+1
201.79,7.853e+0,,7.853e+0
201.81,9.363e-1,,9.363e-1
201.83,9.350e-2,,9.350e-2
201.84,2.765e-2,,2.765e-2
201.86,2.116e-3,,2.116e-3
201.88,1.357e-4,,1.357e-4
